basis,name,position,base_value,mult_flat,mult_curve,value_flat,value_curve,divergence,rank_flat,rank_curve,rank_shift
ktc,Brenton Strange,TE,3465,0.936,1.033,3243,3578,+10.3%,131,105,26
ktc,Antonio Williams,WR,3022,0.853,0.879,2578,2657,+3.1%,182,175,7
ktc,Jacory Croskey-Merritt,RB,3021,1.296,1.061,3915,3207,-18.1%,97,121,-24
ktc,Jalen McMillan,WR,3016,0.853,0.879,2573,2652,+3.1%,184,177,7
ktc,Rhamondre Stevenson,RB,3011,1.296,1.06,3902,3192,-18.2%,98,125,-27
ktc,Jakobi Meyers,WR,3009,0.853,0.879,2567,2646,+3.1%,185,178,7
ktc,Romeo Doubs,WR,3006,0.853,0.879,2564,2643,+3.1%,187,179,8
ktc,Chris Bell,WR,2967,0.853,0.88,2531,2610,+3.1%,195,183,12
ktc,Chris Godwin,WR,2953,0.853,0.88,2519,2598,+3.1%,197,185,12
ktc,Kenneth Gainwell,RB,2949,1.296,1.053,3822,3104,-18.8%,99,128,-29
ktc,Germie Bernard,WR,2928,0.853,0.88,2498,2577,+3.2%,201,187,14
ktc,Nicholas Singleton,RB,2922,1.296,1.049,3787,3066,-19.0%,102,134,-32
ktc,Khalil Shakir,WR,2889,0.853,0.88,2464,2543,+3.2%,204,189,15
ktc,Rashid Shaheed,WR,2859,0.853,0.881,2439,2518,+3.2%,207,192,15
ktc,Tony Pollard,RB,2827,1.296,1.037,3664,2933,-20.0%,106,145,-39
ktc,Rachaad White,RB,2824,1.296,1.037,3660,2929,-20.0%,107,147,-40
ktc,Terrance Ferguson,TE,3233,0.936,1.043,3026,3371,+11.4%,137,111,26
ktc,Michael Penix Jr.,QB,2814,0.967,1.031,2721,2900,+6.6%,172,151,21
ktc,Chigoziem Okonkwo,TE,3206,0.936,1.044,3001,3347,+11.5%,144,114,30
ktc,AJ Barner,TE,3200,0.936,1.044,2995,3342,+11.6%,146,115,31
ktc,Tyler Allgeier,RB,2758,1.296,1.029,3574,2837,-20.6%,112,154,-42
ktc,Isaac TeSlaa,WR,2751,0.853,0.882,2347,2425,+3.4%,212,197,15
ktc,Mark Andrews,TE,3159,0.936,1.046,2957,3305,+11.8%,147,117,30
ktc,Zachariah Branch,WR,2743,0.853,0.882,2340,2419,+3.4%,213,198,15
ktc,Jordan Mason,RB,2737,1.296,1.026,3547,2808,-20.8%,114,158,-44
ktc,Woody Marks,RB,2726,1.296,1.025,3533,2793,-20.9%,115,161,-46
ktc,Dylan Sampson,RB,2717,1.296,1.023,3521,2780,-21.0%,116,163,-47
ktc,Tua Tagovailoa,QB,2696,0.967,1.038,2607,2799,+7.4%,181,160,21
ktc,Tre Harris,WR,2694,0.853,0.882,2298,2377,+3.4%,217,200,17
ktc,Gunnar Helm,TE,3079,0.936,1.05,2882,3233,+12.2%,159,119,40
ktc,Jacoby Brissett,QB,2654,0.967,1.041,2566,2763,+7.7%,186,164,22
ktc,Elijah Sarratt,WR,2650,0.853,0.883,2260,2339,+3.5%,218,205,13
ktc,Dallas Goedert,TE,3050,0.936,1.051,2855,3206,+12.3%,164,122,42
ktc,Mac Jones,QB,2640,0.967,1.042,2553,2751,+7.8%,189,166,23
ktc,J.J. McCarthy,QB,2637,0.967,1.042,2550,2749,+7.8%,190,167,23
ktc,T.J. Hockenson,TE,3040,0.936,1.052,2845,3197,+12.4%,166,123,43
ktc,Travis Kelce,TE,3035,0.936,1.052,2841,3193,+12.4%,167,124,43
ktc,Chris Rodriguez,RB,2627,1.296,1.012,3405,2657,-22.0%,118,174,-56
ktc,Shedeur Sanders,QB,2625,0.967,1.043,2538,2739,+7.9%,194,169,25
ktc,Tank Bigsby,RB,2623,1.296,1.011,3399,2652,-22.0%,120,176,-56
ktc,Jaylin Noel,WR,2619,0.853,0.883,2234,2312,+3.5%,221,207,14
ktc,Ricky Pearsall,WR,2612,0.853,0.883,2228,2306,+3.5%,222,208,14
ktc,Ted Hurst,WR,2611,0.853,0.883,2227,2306,+3.5%,223,209,14
ktc,Tank Dell,WR,2608,0.853,0.883,2225,2303,+3.5%,224,210,14
ktc,Keaton Mitchell,RB,2606,1.296,1.009,3377,2629,-22.2%,121,180,-59
ktc,Tyrone Tracy,RB,2606,1.296,1.009,3377,2629,-22.2%,122,181,-59
ktc,Adonai Mitchell,WR,2598,0.853,0.883,2216,2294,+3.5%,225,211,14
ktc,Malachi Fields,WR,2593,0.853,0.883,2212,2290,+3.5%,227,212,15
ktc,Jalen Nailor,WR,2592,0.853,0.883,2211,2289,+3.5%,228,213,15
ktc,Tory Horton,WR,2587,0.853,0.883,2207,2285,+3.6%,229,214,15
ktc,Braelon Allen,RB,2586,1.296,1.006,3351,2602,-22.4%,123,184,-61
ktc,Kayshon Boutte,WR,2583,0.853,0.883,2203,2282,+3.6%,230,215,15
ktc,Tyjae Spears,RB,2571,1.296,1.004,3332,2581,-22.5%,125,186,-61
ktc,Malik Washington,WR,2564,0.853,0.884,2187,2265,+3.6%,232,217,15
ktc,Dontayvion Wicks,WR,2542,0.853,0.884,2168,2247,+3.6%,235,221,14
ktc,Tre Tucker,WR,2537,0.853,0.884,2164,2242,+3.6%,236,223,13
ktc,Carson Beck,QB,2533,0.967,1.05,2449,2659,+8.6%,206,173,33
ktc,Jerry Jeudy,WR,2530,0.853,0.884,2158,2236,+3.6%,237,224,13
ktc,Kaytron Allen,RB,2513,1.296,0.996,3257,2503,-23.1%,130,193,-63
ktc,Troy Franklin,WR,2502,0.853,0.884,2134,2212,+3.7%,240,225,15
ktc,Elijah Arroyo,TE,2889,0.936,1.059,2704,3060,+13.2%,175,135,40
ktc,Pat Bryant,WR,2477,0.853,0.884,2113,2191,+3.7%,243,227,16
ktc,Emmett Johnson,RB,2466,1.296,0.99,3196,2441,-23.6%,132,195,-63
ktc,Elic Ayomanor,WR,2449,0.853,0.885,2089,2167,+3.7%,246,229,17
ktc,Ja'Kobi Lane,WR,2442,0.853,0.885,2083,2161,+3.7%,247,231,16
ktc,Brian Robinson,RB,2409,1.296,0.982,3122,2365,-24.2%,134,202,-68
ktc,Jack Bech,WR,2388,0.853,0.885,2037,2114,+3.8%,249,238,11
ktc,Skyler Bell,WR,2367,0.853,0.886,2019,2096,+3.8%,250,242,8
ktc,Jauan Jennings,WR,2365,0.853,0.886,2017,2095,+3.8%,251,243,8
ktc,Mason Taylor,TE,2749,0.936,1.067,2573,2932,+14.0%,183,146,37
ktc,Keon Coleman,WR,2347,0.853,0.886,2002,2079,+3.9%,253,245,8
ktc,Hunter Henry,TE,2739,0.936,1.067,2564,2923,+14.0%,188,148,40
ktc,Aaron Jones,RB,2331,1.296,0.971,3021,2263,-25.1%,138,218,-80
ktc,Greg Dulcich,TE,2722,0.936,1.068,2548,2908,+14.1%,191,149,42
ktc,Mike Washington Jr.,RB,2322,1.296,0.969,3009,2251,-25.2%,141,220,-79
ktc,Juwan Johnson,TE,2718,0.936,1.068,2544,2904,+14.1%,192,150,42
ktc,Chris Brazzell II,WR,2320,0.853,0.886,1979,2056,+3.9%,258,249,9
ktc,Deebo Samuel,WR,2303,0.853,0.886,1964,2041,+3.9%,259,250,9
ktc,Cade Otton,TE,2685,0.936,1.07,2513,2874,+14.3%,198,152,46
ktc,Kimani Vidal,RB,2278,1.296,0.963,2952,2194,-25.7%,149,226,-77
ktc,Max Klare,TE,2672,0.936,1.071,2501,2862,+14.4%,200,153,47
ktc,Isiah Pacheco,RB,2270,1.296,0.962,2942,2183,-25.8%,150,228,-78
ktc,Chimere Dike,WR,2264,0.853,0.887,1931,2008,+4.0%,263,253,10
ktc,Ollie Gordon,RB,2255,1.296,0.96,2922,2164,-26.0%,151,230,-79
ktc,Kaleb Johnson,RB,2246,1.296,0.958,2911,2152,-26.1%,154,233,-79
ktc,David Njoku,TE,2633,0.936,1.073,2464,2826,+14.7%,202,155,47
ktc,Jordan James,RB,2239,1.296,0.957,2902,2143,-26.1%,155,235,-80
ktc,Pat Freiermuth,TE,2633,0.936,1.073,2464,2826,+14.7%,203,156,47
ktc,Jaylen Wright,RB,2230,1.296,0.956,2890,2132,-26.2%,158,236,-78
ktc,Eli Raridon,TE,2623,0.936,1.074,2455,2816,+14.7%,205,157,48
ktc,Geno Smith,QB,2223,0.967,1.074,2150,2388,+11.1%,238,199,39
ktc,Jalen Milroe,QB,2206,0.967,1.075,2133,2373,+11.2%,241,201,40
ktc,Demond Claiborne,RB,2199,1.296,0.951,2850,2092,-26.6%,165,244,-79
ktc,Sean Tucker,RB,2185,1.296,0.949,2832,2074,-26.8%,168,246,-78
ktc,Kaelon Black,RB,2174,1.296,0.948,2818,2060,-26.9%,169,248,-79
ktc,Oscar Delp,TE,2559,0.936,1.077,2395,2757,+15.1%,209,165,44
ktc,Dalton Schultz,TE,2544,0.936,1.078,2381,2743,+15.2%,211,168,43
ktc,Jaydon Blue,RB,2152,1.296,0.944,2789,2032,-27.1%,170,251,-81
ktc,Stefon Diggs,WR,2121,0.853,0.889,1809,1885,+4.2%,274,263,11
ktc,MarShawn Lloyd,RB,2111,1.296,0.938,2736,1980,-27.6%,171,256,-85
ktc,Kyle Williams,WR,2102,0.853,0.889,1793,1868,+4.2%,278,267,11
ktc,Theo Johnson,TE,2491,0.936,1.082,2332,2694,+15.5%,214,171,43
ktc,Michael Mayer,TE,2489,0.936,1.082,2330,2692,+15.6%,215,172,43
ktc,Caleb Douglas,WR,2087,0.853,0.889,1780,1855,+4.2%,279,268,11
ktc,Anthony Richardson,QB,2082,0.967,1.086,2013,2262,+12.4%,252,219,33
ktc,Tez Johnson,WR,2069,0.853,0.889,1765,1840,+4.2%,281,269,12
ktc,Drew Allar,QB,2062,0.967,1.088,1994,2244,+12.5%,256,222,34
ktc,Kevin Coleman,WR,2058,0.853,0.889,1755,1830,+4.3%,283,270,13
ktc,Alvin Kamara,RB,2047,1.296,0.928,2653,1900,-28.4%,176,259,-83
ktc,Marvin Mims,WR,2047,0.853,0.89,1746,1821,+4.3%,285,271,14
ktc,Trey Benson,RB,2046,1.296,0.928,2652,1899,-28.4%,177,260,-83
ktc,Rashod Bateman,WR,2039,0.853,0.89,1739,1814,+4.3%,286,272,14
ktc,DJ Giddens,RB,2037,1.296,0.927,2640,1887,-28.5%,178,262,-84
ktc,LeQuint Allen,RB,2033,1.296,0.926,2635,1882,-28.6%,179,264,-85
ktc,Isaiah Bond,WR,2030,0.853,0.89,1732,1806,+4.3%,288,273,15
ktc,Jake Tonges,TE,2402,0.936,1.087,2248,2611,+16.1%,220,182,38
ktc,Ryan Flournoy,WR,2001,0.853,0.89,1707,1781,+4.4%,290,279,11
ktc,Devin Neal,RB,1960,1.296,0.914,2540,1792,-29.5%,193,277,-84
ktc,Aaron Rodgers,QB,1956,0.967,1.098,1891,2148,+13.6%,269,234,35
ktc,Cole Kmet,TE,2340,0.936,1.091,2190,2553,+16.6%,231,188,43
ktc,Jaylin Lane,WR,1953,0.853,0.891,1666,1740,+4.4%,292,284,8
ktc,Trevor Etienne,RB,1946,1.296,0.912,2522,1775,-29.6%,196,280,-84
ktc,Cyrus Allen,WR,1944,0.853,0.891,1658,1732,+4.4%,294,286,8
ktc,Ja'Tavion Sanders,TE,2329,0.936,1.092,2180,2543,+16.6%,233,190,43
ktc,Darnell Mooney,WR,1942,0.853,0.891,1657,1730,+4.4%,295,287,8
ktc,Ray Davis,RB,1937,1.296,0.911,2510,1764,-29.7%,199,281,-82
ktc,Colby Parkinson,TE,2318,0.936,1.092,2170,2532,+16.7%,234,191,43
ktc,Deshaun Watson,QB,1929,0.967,1.101,1865,2124,+13.9%,270,237,33
ktc,Dont'e Thornton,WR,1928,0.853,0.891,1645,1718,+4.5%,298,288,10
ktc,Demario Douglas,WR,1915,0.853,0.891,1633,1707,+4.5%,301,289,12
ktc,Justin Fields,QB,1914,0.967,1.103,1851,2110,+14.0%,271,240,31
ktc,Cade Klubnik,QB,1913,0.967,1.103,1850,2109,+14.0%,272,241,31
ktc,Xavier Legette,WR,1911,0.853,0.891,1630,1703,+4.5%,302,290,12
ktc,Isaiah Davis,RB,1872,1.296,0.9,2426,1685,-30.6%,208,291,-83
ktc,Kirk Cousins,QB,1869,0.967,1.107,1807,2069,+14.5%,275,247,28
ktc,Darnell Washington,TE,2253,0.936,1.097,2109,2471,+17.2%,244,194,50
ktc,Emanuel Wilson,RB,1840,1.296,0.895,2385,1646,-31.0%,210,293,-83
ktc,Jalen Royals,WR,1838,0.853,0.892,1568,1640,+4.6%,306,294,12
ktc,Justin Joly,TE,2213,0.936,1.1,2071,2433,+17.5%,248,196,52
ktc,Bryce Lance,WR,1826,0.853,0.893,1558,1630,+4.6%,307,297,10
ktc,Christian Kirk,WR,1817,0.853,0.893,1550,1622,+4.7%,309,298,11
ktc,Jalen Tolbert,WR,1804,0.853,0.893,1539,1611,+4.7%,310,299,11
ktc,Will Howard,QB,1788,0.967,1.116,1729,1995,+15.4%,289,255,34
ktc,Eli Heidenreich,RB,1776,1.296,0.884,2302,1569,-31.8%,216,302,-86
ktc,Ben Sinnott,TE,2134,0.936,1.105,1997,2358,+18.1%,255,203,52
ktc,Evan Engram,TE,2126,0.936,1.106,1990,2351,+18.1%,257,204,53
ktc,Brashard Smith,RB,1741,1.296,0.878,2256,1528,-32.3%,219,312,-93
ktc,Calvin Ridley,WR,1737,0.853,0.894,1482,1553,+4.8%,318,304,14
ktc,Brenen Thompson,WR,1730,0.853,0.894,1476,1547,+4.8%,319,305,14
ktc,Tyquan Thornton,WR,1725,0.853,0.894,1471,1542,+4.8%,320,306,14
ktc,Cedric Tillman,WR,1716,0.853,0.894,1464,1535,+4.8%,323,308,15
ktc,Luke Musgrave,TE,2091,0.936,1.108,1957,2318,+18.4%,260,206,54
ktc,Cooper Kupp,WR,1710,0.853,0.894,1459,1529,+4.8%,324,310,14
ktc,James Conner,RB,1708,1.296,0.872,2214,1489,-32.7%,226,316,-90
ktc,Zavion Thomas,WR,1699,0.853,0.895,1449,1520,+4.9%,326,313,13
ktc,Quinn Ewers,QB,1681,0.967,1.128,1626,1896,+16.6%,303,261,42
ktc,Dawson Knox,TE,2044,0.936,1.112,1913,2273,+18.8%,265,216,49
ktc,Savion Williams,WR,1666,0.853,0.895,1421,1491,+4.9%,328,315,13
ktc,Kendre Miller,RB,1657,1.296,0.863,2147,1430,-33.4%,239,325,-86
ktc,Roman Wilson,WR,1652,0.853,0.895,1409,1479,+5.0%,331,318,13
ktc,Andrei Iosivas,WR,1647,0.853,0.895,1405,1475,+5.0%,333,319,14
ktc,Treylon Burks,WR,1644,0.853,0.895,1402,1472,+5.0%,334,320,14
ktc,Jahan Dotson,WR,1641,0.853,0.895,1400,1469,+5.0%,335,321,14
ktc,Tahj Brooks,RB,1639,1.296,0.86,2124,1409,-33.7%,242,328,-86
ktc,George Holani,RB,1620,1.296,0.856,2100,1387,-33.9%,245,331,-86
ktc,Luke McCaffrey,WR,1614,0.853,0.896,1377,1446,+5.0%,337,322,15
ktc,Xavier Hutchinson,WR,1591,0.853,0.896,1357,1426,+5.1%,339,327,12
ktc,Joe Milton,QB,1579,0.967,1.14,1527,1801,+17.9%,315,274,41
ktc,Riley Leonard,QB,1570,0.967,1.141,1518,1792,+18.0%,316,276,40
ktc,Noah Gray,TE,1920,0.936,1.122,1797,2154,+19.8%,277,232,45
ktc,Jarquez Hunter,RB,1544,1.296,0.842,2001,1300,-35.0%,254,342,-88
ktc,Joshua Palmer,WR,1543,0.853,0.897,1316,1384,+5.2%,341,332,9
ktc,Darius Slayton,WR,1535,0.853,0.897,1309,1377,+5.2%,342,333,9
ktc,Chris Brooks,RB,1510,1.296,0.836,1957,1262,-35.5%,261,348,-87
ktc,Will Shipley,RB,1509,1.296,0.835,1956,1261,-35.5%,262,349,-87
ktc,Mike Gesicki,TE,1876,0.936,1.125,1756,2111,+20.2%,282,239,43
ktc,Brandon Aiyuk,WR,1502,0.853,0.898,1281,1349,+5.3%,348,335,13
ktc,Tutu Atwell,WR,1495,0.853,0.898,1275,1342,+5.3%,349,336,13
ktc,Jimmy Horn,WR,1488,0.853,0.898,1269,1336,+5.3%,350,337,13
ktc,Audric Estime,RB,1481,1.296,0.83,1919,1229,-36.0%,264,353,-89
ktc,KeAndre Lambert-Smith,WR,1474,0.853,0.898,1257,1324,+5.3%,351,338,13
ktc,Adam Randall,RB,1474,1.296,0.829,1910,1221,-36.1%,266,355,-89
ktc,Malik Davis,RB,1464,1.296,0.827,1897,1210,-36.2%,267,356,-89
ktc,Justice Hill,RB,1461,1.296,0.826,1893,1207,-36.3%,268,357,-89
ktc,Marquise Brown,WR,1460,0.853,0.899,1245,1312,+5.3%,357,340,17
ktc,Garrett Nussmeier,QB,1454,0.967,1.157,1406,1682,+19.6%,332,292,40
ktc,Tyreek Hill,WR,1428,0.853,0.899,1218,1284,+5.4%,362,343,19
ktc,Jordan Whittington,WR,1427,0.853,0.899,1217,1283,+5.4%,363,344,19
ktc,Devontez Walker,WR,1420,0.853,0.899,1211,1277,+5.4%,365,346,19
ktc,Erick All,TE,1786,0.936,1.133,1672,2024,+21.1%,291,252,39
ktc,John Metchie,WR,1407,0.853,0.9,1200,1266,+5.5%,366,347,19
ktc,Spencer Rattler,QB,1405,0.967,1.164,1359,1635,+20.4%,338,295,43
ktc,Jerome Ford,RB,1403,1.296,0.815,1818,1143,-37.1%,273,366,-93
ktc,Dyami Brown,WR,1393,0.853,0.9,1188,1253,+5.5%,368,351,17
ktc,Seth McGowan,RB,1391,1.296,0.812,1803,1130,-37.3%,276,369,-93
ktc,Noah Fant,TE,1760,0.936,1.135,1647,1998,+21.3%,297,254,43
ktc,Isaac Guerendo,RB,1373,1.296,0.809,1779,1110,-37.6%,280,371,-91
ktc,Devaughn Vele,WR,1364,0.853,0.9,1163,1228,+5.6%,374,354,20
ktc,Daniel Bellinger,TE,1721,0.936,1.139,1611,1960,+21.7%,304,257,47
ktc,Roschon Johnson,RB,1351,1.296,0.804,1751,1086,-38.0%,284,377,-93
ktc,Cade Stover,TE,1708,0.936,1.14,1599,1947,+21.8%,305,258,47
ktc,Damien Martinez,RB,1340,1.296,0.802,1737,1075,-38.1%,287,379,-92
ktc,Calvin Austin III,WR,1338,0.853,0.901,1141,1205,+5.6%,376,358,18
ktc,Tahj Washington,WR,1321,0.853,0.901,1127,1191,+5.7%,379,361,18
ktc,Ja'Lynn Polk,WR,1318,0.853,0.901,1124,1188,+5.7%,381,362,19
ktc,Konata Mumpfield,WR,1299,0.853,0.902,1108,1171,+5.7%,384,363,21
ktc,Taylen Green,QB,1297,0.967,1.18,1254,1531,+22.1%,354,309,45
ktc,Tai Felton,WR,1296,0.853,0.902,1105,1169,+5.7%,385,364,21
ktc,Tyson Bagent,QB,1295,0.967,1.181,1252,1529,+22.1%,356,311,45
ktc,Phil Mafah,RB,1283,1.296,0.79,1663,1013,-39.0%,293,391,-98
ktc,Jalin Hyatt,WR,1279,0.853,0.902,1091,1154,+5.8%,386,365,21
ktc,Jaleel McLaughlin,RB,1274,1.296,0.788,1651,1004,-39.2%,296,393,-97
ktc,Tyler Higbee,TE,1639,0.936,1.147,1534,1880,+22.5%,311,265,46
ktc,Tommy Tremble,TE,1638,0.936,1.147,1533,1879,+22.5%,312,266,46
ktc,Jameis Winston,QB,1264,0.967,1.186,1222,1499,+22.6%,361,314,47
ktc,Rasheen Ali,RB,1263,1.296,0.786,1637,992,-39.4%,299,394,-95
ktc,Ty Johnson,RB,1262,1.296,0.785,1636,991,-39.4%,300,395,-95
ktc,Deion Burks,WR,1258,0.853,0.903,1073,1135,+5.8%,388,367,21
ktc,Malachi Corley,WR,1255,0.853,0.903,1071,1133,+5.8%,389,368,21
ktc,Olamide Zaccheaus,WR,1228,0.853,0.903,1047,1109,+5.9%,391,372,19
ktc,Kameron Johnson,WR,1225,0.853,0.903,1045,1107,+5.9%,392,373,19
ktc,Jordan Watkins,WR,1214,0.853,0.904,1036,1097,+5.9%,393,374,19
ktc,Dillon Gabriel,QB,1210,0.967,1.195,1170,1446,+23.5%,371,323,48
ktc,Kendrick Bourne,WR,1202,0.853,0.904,1025,1086,+6.0%,396,376,20
ktc,Xavier Restrepo,WR,1200,0.853,0.904,1024,1085,+6.0%,397,378,19
ktc,Emari Demercado,RB,1196,1.296,0.771,1550,922,-40.5%,308,402,-94
ktc,Davis Mills,QB,1193,0.967,1.198,1154,1429,+23.9%,375,326,49
ktc,Mitchell Evans,TE,1554,0.936,1.155,1455,1795,+23.4%,325,275,50
ktc,Elijah Moore,WR,1183,0.853,0.904,1009,1070,+6.0%,400,380,20
ktc,Raheim Sanders,RB,1181,1.296,0.768,1531,907,-40.8%,313,406,-93
ktc,Devin Singletary,RB,1179,1.296,0.767,1528,905,-40.8%,314,407,-93
ktc,Michael Trigg,TE,1542,0.936,1.157,1443,1784,+23.6%,327,278,49
ktc,Trey Palmer,WR,1173,0.853,0.904,1001,1061,+6.0%,401,382,19
ktc,Tanner McKee,QB,1172,0.967,1.201,1133,1408,+24.2%,378,329,49
ktc,Donovan Edwards,RB,1169,1.296,0.765,1515,894,-41.0%,317,409,-92
ktc,Greg Dortch,WR,1165,0.853,0.905,994,1054,+6.1%,402,383,19
ktc,Keenan Allen,WR,1161,0.853,0.905,990,1050,+6.1%,403,384,19
ktc,Tyler Huntley,QB,1155,0.967,1.204,1117,1391,+24.6%,383,330,53
ktc,Elijah Higgins,TE,1510,0.936,1.16,1413,1752,+23.9%,329,282,47
ktc,Luke Schoonmaker,TE,1510,0.936,1.16,1413,1752,+23.9%,330,283,47
ktc,Jacob Cowing,WR,1136,0.853,0.905,969,1028,+6.1%,406,388,18
ktc,Efton Chism,WR,1136,0.853,0.905,969,1028,+6.1%,407,389,18
ktc,Najee Harris,RB,1133,1.296,0.757,1468,857,-41.6%,321,410,-89
ktc,Kalel Mullings,RB,1133,1.296,0.757,1468,857,-41.6%,322,411,-89
ktc,Gardner Minshew,QB,1128,0.967,1.209,1091,1364,+25.1%,387,334,53
ktc,KaVontae Turpin,WR,1127,0.853,0.906,961,1021,+6.2%,409,390,19
ktc,Charlie Kolar,TE,1492,0.936,1.162,1397,1734,+24.1%,336,285,51
ktc,CJ Daniels,WR,1112,0.853,0.906,949,1007,+6.2%,411,392,19
ktc,Will Levis,QB,1086,0.967,1.217,1050,1322,+25.9%,390,339,51
ktc,Jonathan Mingo,WR,1079,0.853,0.907,920,978,+6.3%,413,396,17
ktc,Mack Hollins,WR,1077,0.853,0.907,919,977,+6.3%,414,397,17
ktc,Nick Westbrook-Ikhine,WR,1070,0.853,0.907,913,970,+6.3%,415,398,17
ktc,Gabriel Davis,WR,1068,0.853,0.907,911,969,+6.3%,416,399,17
ktc,Marcus Mariota,QB,1066,0.967,1.221,1031,1302,+26.3%,395,341,54
ktc,Trey Lance,QB,1045,0.967,1.226,1011,1281,+26.8%,399,345,54
ktc,David Bell,WR,1032,0.853,0.908,880,937,+6.4%,419,400,19
ktc,Isaiah Hodgins,WR,1027,0.853,0.908,876,933,+6.5%,420,401,19
ktc,Tyler Goodson,RB,1027,1.296,0.732,1331,751,-43.6%,340,421,-81
ktc,Brevin Jordan,TE,1392,0.936,1.173,1303,1633,+25.4%,345,296,49
ktc,Kenny Pickett,QB,1019,0.967,1.231,985,1255,+27.3%,404,350,54
ktc,Tyrell Shavers,WR,1015,0.853,0.908,866,922,+6.5%,421,403,18
ktc,Israel Abanikanda,RB,1008,1.296,0.727,1306,733,-43.9%,343,423,-80
ktc,Javon Baker,WR,1008,0.853,0.909,860,916,+6.5%,422,404,18
ktc,Dameon Pierce,RB,1006,1.296,0.726,1304,731,-44.0%,344,424,-80
ktc,Bam Knight,RB,1002,1.296,0.725,1299,727,-44.0%,346,425,-79
ktc,Tyler Badie,RB,999,1.296,0.725,1295,724,-44.1%,347,426,-79
ktc,Sam Howell,QB,999,0.967,1.235,966,1234,+27.8%,408,352,56
ktc,Tyler Scott,WR,998,0.853,0.909,851,907,+6.6%,425,405,20
ktc,Jake Bobo,WR,986,0.853,0.909,841,896,+6.6%,426,408,18
ktc,Sam Roush,TE,1340,0.936,1.18,1254,1581,+26.0%,353,300,53
ktc,J'Mari Taylor,RB,970,1.296,0.717,1257,696,-44.7%,352,430,-78
ktc,Michael Carter,RB,967,1.296,0.717,1253,693,-44.7%,355,431,-76
ktc,Jared Wiley,TE,1330,0.936,1.181,1245,1570,+26.2%,358,301,57
ktc,Joe Flacco,QB,960,0.967,1.244,928,1194,+28.7%,412,360,52
ktc,Davis Allen,TE,1325,0.936,1.181,1240,1565,+26.2%,359,303,56
ktc,Sione Vaki,RB,946,1.296,0.711,1226,673,-45.1%,360,433,-73
ktc,Brock Wright,TE,1295,0.936,1.185,1212,1535,+26.6%,364,307,57
ktc,Brenden Rice,WR,927,0.853,0.911,791,844,+6.8%,431,412,19
ktc,Barion Brown,WR,921,0.853,0.911,786,839,+6.8%,432,413,19
ktc,Mason Tipton,WR,920,0.853,0.911,785,838,+6.8%,433,414,19
ktc,Frank Gore Jr.,RB,919,1.296,0.704,1191,647,-45.7%,367,436,-69
ktc,Kendall Milton,RB,916,1.296,0.703,1187,644,-45.7%,369,437,-68
ktc,Xavier Gipson,WR,911,0.853,0.911,777,830,+6.8%,436,415,21
ktc,Le'Veon Moss,RB,905,1.296,0.7,1173,634,-46.0%,370,438,-68
ktc,Arian Smith,WR,903,0.853,0.912,770,823,+6.9%,438,416,22
ktc,Kenny McIntosh,RB,899,1.296,0.699,1165,628,-46.1%,373,440,-67
ktc,Bo Melton,WR,888,0.853,0.912,757,810,+6.9%,439,417,22
ktc,Zach Wilson,QB,882,0.967,1.263,853,1114,+30.6%,424,370,54
ktc,Matthew Hibner,TE,1247,0.936,1.192,1167,1486,+27.3%,372,317,55
ktc,Jam Miller,RB,876,1.296,0.693,1135,607,-46.6%,377,441,-64
ktc,Skyy Moore,WR,870,0.853,0.913,742,794,+7.0%,440,418,22
ktc,Hassan Haskins,RB,869,1.296,0.691,1126,600,-46.7%,380,442,-62
ktc,Drew Lock,QB,857,0.967,1.269,829,1088,+31.2%,427,375,52
ktc,Lil'Jordan Humphrey,WR,854,0.853,0.913,728,780,+7.1%,441,419,22
ktc,Cole Payton,QB,836,0.967,1.275,808,1066,+31.8%,429,381,48
ktc,Jonnu Smith,TE,1194,0.936,1.199,1118,1431,+28.1%,382,324,58
ktc,Jamari Thrash,WR,824,0.853,0.914,703,753,+7.2%,444,420,24
ktc,Jawhar Jordan,RB,796,1.296,0.67,1032,533,-48.3%,394,448,-54
ktc,Alexander Mattison,RB,783,1.296,0.666,1015,522,-48.6%,398,449,-51
ktc,Demarcus Robinson,WR,779,0.853,0.916,664,713,+7.3%,445,427,18
ktc,Malik Benson,WR,770,0.853,0.916,657,705,+7.4%,446,428,18
ktc,Johnny Wilson,WR,763,0.853,0.916,651,699,+7.4%,447,429,18
ktc,Samaje Perine,RB,758,1.296,0.659,982,499,-49.2%,405,451,-46
ktc,Elijah Mitchell,RB,739,1.296,0.653,958,483,-49.6%,410,452,-42
ktc,Bub Means,WR,686,0.853,0.919,585,631,+7.8%,449,439,10
ktc,Zavier Scott,RB,685,1.296,0.636,888,436,-50.9%,418,458,-40
ktc,Jeremy McNichols,RB,659,1.296,0.628,854,414,-51.6%,423,459,-36
ktc,Ty Chandler,RB,638,1.296,0.621,827,396,-52.1%,428,460,-32
ktc,Ainias Smith,WR,638,0.853,0.921,544,588,+8.0%,450,443,7
ktc,Derius Davis,WR,633,0.853,0.921,540,583,+8.0%,451,444,7
ktc,Colbie Young,WR,627,0.853,0.922,535,578,+8.0%,452,445,7
ktc,Malik Heath,WR,625,0.853,0.922,533,576,+8.1%,453,446,7
ktc,Terrell Jennings,RB,622,1.296,0.615,806,383,-52.5%,430,461,-31
