basis,name,position,base_value,mult_flat,mult_curve,value_flat,value_curve,divergence,rank_flat,rank_curve,rank_shift
comp,Jared Wiley,TE,333,0.899,1.115,299,371,+24.0%,382,390,-8
comp,Seth McGowan,RB,287,1.367,0.95,392,273,-30.5%,327,421,-94
comp,Davis Allen,TE,337,0.899,1.114,303,375,+23.9%,376,387,-11
comp,Jaleel McLaughlin,RB,548,1.367,1.028,749,563,-24.8%,252,302,-50
comp,Tahj Washington,WR,241,0.869,1.776,209,428,+104.4%,441,364,77
comp,Konata Mumpfield,WR,348,0.869,1.629,302,567,+87.5%,377,299,78
comp,Tai Felton,WR,257,0.869,1.75,223,450,+101.3%,427,345,82
comp,Phil Mafah,RB,476,1.367,1.01,651,481,-26.1%,263,329,-66
comp,Tyson Bagent,QB,621,0.936,0.627,581,390,-33.0%,274,380,-106
comp,Brock Wright,TE,341,0.899,1.113,307,380,+23.8%,375,385,-10
comp,Rasheen Ali,RB,328,1.367,0.966,448,317,-29.3%,312,413,-101
comp,Ty Johnson,RB,511,1.367,1.019,699,521,-25.4%,259,315,-56
comp,Jalin Hyatt,WR,248,0.869,1.764,216,438,+103.0%,439,360,79
comp,Taylen Green,QB,596,0.936,0.623,558,371,-33.4%,278,389,-111
comp,Kameron Johnson,WR,257,0.869,1.75,223,450,+101.3%,428,346,82
comp,Malachi Corley,WR,257,0.869,1.75,223,450,+101.3%,429,347,82
comp,Deion Burks,WR,313,0.869,1.67,272,523,+92.2%,394,312,82
comp,Jameis Winston,QB,592,0.936,0.622,554,368,-33.5%,279,391,-112
comp,Olamide Zaccheaus,WR,273,0.869,1.725,237,471,+98.5%,416,332,84
comp,Matthew Hibner,TE,412,0.899,1.101,370,454,+22.4%,338,341,-3
comp,Dillon Gabriel,QB,339,0.936,0.565,317,192,-39.6%,366,449,-83
comp,Kendrick Bourne,WR,316,0.869,1.667,275,527,+91.8%,393,311,82
comp,Emari Demercado,RB,493,1.367,1.015,674,500,-25.8%,261,322,-61
comp,Jonnu Smith,TE,398,0.899,1.103,358,439,+22.7%,343,358,-15
comp,Raheim Sanders,RB,275,1.367,0.945,376,260,-30.8%,334,428,-94
comp,Jordan Watkins,WR,259,0.869,1.746,225,452,+101.0%,424,342,82
comp,Devin Singletary,RB,281,1.367,0.948,384,266,-30.7%,331,425,-94
comp,Trey Palmer,WR,258,0.869,1.748,224,451,+101.2%,425,343,82
comp,Tanner McKee,QB,452,0.936,0.594,423,268,-36.6%,318,424,-106
comp,Keenan Allen,WR,427,0.869,1.553,371,663,+78.7%,336,278,58
comp,Xavier Restrepo,WR,260,0.869,1.745,226,454,+100.8%,422,339,83
comp,Tyler Huntley,QB,523,0.936,0.609,490,319,-34.9%,301,412,-111
comp,Efton Chism,WR,575,0.869,1.448,500,833,+66.6%,294,253,41
comp,Elijah Moore,WR,260,0.869,1.745,226,454,+100.8%,423,340,83
comp,Davis Mills,QB,425,0.936,0.588,398,250,-37.2%,325,433,-108
comp,Donovan Edwards,RB,270,1.367,0.943,369,255,-31.0%,340,431,-91
comp,Greg Dortch,WR,325,0.869,1.656,282,538,+90.5%,388,308,80
comp,Gardner Minshew,QB,1625,0.936,0.741,1521,1204,-20.8%,189,215,-26
comp,Najee Harris,RB,397,1.367,0.988,543,392,-27.7%,283,379,-96
comp,Jacob Cowing,WR,256,0.869,1.751,222,448,+101.5%,432,350,82
comp,Kalel Mullings,RB,268,1.367,0.943,366,253,-31.0%,341,432,-91
comp,CJ Daniels,WR,282,0.869,1.712,245,483,+97.0%,413,328,85
comp,KaVontae Turpin,WR,471,0.869,1.517,409,715,+74.6%,323,269,54
comp,Mack Hollins,WR,273,0.869,1.725,237,471,+98.5%,417,333,84
comp,Marcus Mariota,QB,445,0.936,0.592,417,264,-36.7%,319,427,-108
comp,Jonathan Mingo,WR,258,0.869,1.748,224,451,+101.2%,426,344,82
comp,Will Levis,QB,338,0.936,0.565,316,191,-39.7%,367,450,-83
comp,Gabriel Davis,WR,257,0.869,1.75,223,450,+101.3%,430,348,82
comp,Trey Lance,QB,329,0.936,0.562,308,185,-39.9%,374,455,-81
comp,Tyler Goodson,RB,257,1.367,0.938,351,241,-31.4%,348,435,-87
comp,Isaiah Hodgins,WR,255,0.869,1.753,222,447,+101.7%,434,352,82
comp,Nick Westbrook-Ikhine,WR,290,0.869,1.701,252,493,+95.7%,407,325,82
comp,Dameon Pierce,RB,259,1.367,0.939,354,243,-31.3%,346,434,-88
comp,David Bell,WR,251,0.869,1.759,218,442,+102.5%,436,354,82
comp,Javon Baker,WR,251,0.869,1.759,218,442,+102.5%,437,355,82
comp,Tyrell Shavers,WR,254,0.869,1.754,221,446,+101.9%,435,353,82
comp,Joe Flacco,QB,550,0.936,0.614,515,338,-34.4%,290,406,-116
comp,Tyler Badie,RB,256,1.367,0.937,350,240,-31.4%,350,437,-87
comp,Israel Abanikanda,RB,256,1.367,0.937,350,240,-31.4%,351,438,-87
comp,Jack Endries,TE,414,0.899,1.1,372,456,+22.4%,335,336,-1
comp,Kenny Pickett,QB,336,0.936,0.564,314,190,-39.7%,370,452,-82
comp,Bam Knight,RB,257,1.367,0.938,351,241,-31.4%,349,436,-87
comp,Tyler Scott,WR,257,0.869,1.75,223,450,+101.3%,431,349,82
comp,Sam Howell,QB,1462,0.936,0.728,1368,1064,-22.3%,198,228,-30
comp,Michael Carter,RB,362,1.367,0.977,495,354,-28.5%,299,399,-100
