rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,avg,sleeper_id
1,Christian McCaffrey,16393,christian-mccaffrey,SF,6,RB,1,1,&nbsp;,1.0,4034
2,Dalvin Cook,16374,dalvin-cook,,,RB,2,2,&nbsp;,2.0,4029
3,Derrick Henry,15514,derrick-henry,BAL,8,RB,3,3,&nbsp;,3.0,3198
4,Alvin Kamara,16421,alvin-kamara,NO,6,RB,4,4,&nbsp;,4.0,4035
5,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,5,5,&nbsp;,5.0,3164
6,Nick Chubb,17246,nick-chubb,,,RB,6,6,&nbsp;,6.0,4988
7,Aaron Jones Sr.,16673,aaron-jones,MIN,7,RB,7,10,&nbsp;,8.3,4199
8,Davante Adams,12123,davante-adams,LAR,11,WR,1,9,&nbsp;,8.3,2133
9,Jonathan Taylor,19217,jonathan-taylor,IND,14,RB,8,8,&nbsp;,8.5,6813
10,Saquon Barkley,17240,saquon-barkley,PHI,14,RB,9,7,&nbsp;,10.0,4866
11,Tyreek Hill,15802,tyreek-hill,,,WR,2,11,&nbsp;,11.0,3321
12,Travis Kelce,11594,travis-kelce,KC,12,TE,1,12,&nbsp;,11.3,1466
13,Patrick Mahomes II,16413,patrick-mahomes,KC,12,QB,1,15,&nbsp;,14.3,4046
14,Najee Harris,19302,najee-harris-rb,LAC,7,RB,10,13,&nbsp;,14.3,7528
15,Austin Ekeler,16483,austin-ekeler,,,RB,11,14,&nbsp;,14.5,4663
16,Stefon Diggs,13981,stefon-diggs,,,WR,3,16,&nbsp;,16.3,2449
17,Antonio Gibson,19624,antonio-gibson,,,RB,12,21,&nbsp;,16.8,6945
18,DK Metcalf,18219,dk-metcalf,PIT,7,WR,4,20,&nbsp;,18.5,5846
19,Joe Mixon,16420,joe-mixon,,,RB,13,19,&nbsp;,19.3,4018
20,DeAndre Hopkins,11606,deandre-hopkins,BAL,8,WR,5,17,&nbsp;,19.8,1426
21,Calvin Ridley,17258,calvin-ridley,TEN,13,WR,6,18,&nbsp;,19.8,4981
22,Clyde Edwards-Helaire,19325,clyde-edwards-helaire,,,RB,14,22,&nbsp;,21.8,6820
23,A.J. Brown,18218,aj-brown,NE,14,WR,7,24,&nbsp;,25.8,5859
24,Darren Waller,14104,darren-waller,,,TE,2,28,&nbsp;,26.0,2505
25,Justin Jefferson,19236,justin-jefferson,MIN,7,WR,8,31,&nbsp;,26.5,6794
26,Josh Allen,17298,josh-allen-qb,BUF,7,QB,2,32,&nbsp;,26.8,4984
27,David Montgomery,18239,david-montgomery,HOU,10,RB,15,26,&nbsp;,27.8,5892
28,Josh Jacobs,18269,josh-jacobs,GB,13,RB,16,27,&nbsp;,27.8,5850
29,Chris Carson,16754,chris-carson,,,RB,17,29,&nbsp;,28.0,4273
30,George Kittle,16499,george-kittle,SF,6,TE,3,23,&nbsp;,28.3,4217
31,Keenan Allen,11616,keenan-allen,LAC,7,WR,9,25,&nbsp;,28.8,1479
32,James Robinson,19631,james-robinson,,,RB,18,33,&nbsp;,32.8,6955
33,Terry McLaurin,18466,terry-mclaurin,WAS,9,WR,10,30,&nbsp;,33.5,5927
34,Mike Evans,12119,mike-evans,SF,6,WR,11,34,&nbsp;,33.8,2216
35,Miles Sanders,18283,miles-sanders,,,RB,19,37,&nbsp;,35.5,6151
36,CeeDee Lamb,19202,ceedee-lamb,DAL,7,WR,12,39,&nbsp;,36.5,6786
37,Kyler Murray,18600,kyler-murray,MIN,7,QB,3,38,&nbsp;,36.8,5849
38,Allen Robinson II,12126,allen-robinson,,,WR,13,35,&nbsp;,38.0,1992
39,D'Andre Swift,19210,dandre-swift,CHI,10,RB,20,36,&nbsp;,38.8,6790
40,Lamar Jackson,17233,lamar-jackson,BAL,8,QB,4,42,&nbsp;,40.3,4881
41,Chris Godwin Jr.,16406,chris-godwin,TB,9,WR,14,41,&nbsp;,42.3,4037
42,Robert Woods,11610,robert-woods,,,WR,15,45,&nbsp;,42.3,1352
43,Julio Jones,9867,julio-jones,,,WR,16,40,&nbsp;,43.8,947
44,Amari Cooper,13894,amari-cooper,,,WR,17,43,&nbsp;,45.3,2309
45,Myles Gaskin,17251,myles-gaskin,,,RB,21,51,&nbsp;,46.3,5980
46,Aaron Rodgers,9001,aaron-rodgers,PIT,7,QB,5,53,&nbsp;,47.5,96
47,Adam Thielen,13429,adam-thielen,,,WR,18,47,&nbsp;,47.5,1689
48,Kyle Pitts Sr.,20164,kyle-pitts,ATL,6,TE,4,44,&nbsp;,50.8,7553
49,Kareem Hunt,16425,kareem-hunt,,,RB,22,46,&nbsp;,50.8,4098
50,Russell Wilson,11180,russell-wilson,,,QB,6,50,&nbsp;,51.8,1234
51,Cooper Kupp,16433,cooper-kupp,SEA,9,WR,19,49,&nbsp;,52.8,4039
52,Mike Davis,13943,mike-davis-rb,,,RB,23,62,&nbsp;,53.3,2431
53,Dak Prescott,15600,dak-prescott,DAL,7,QB,7,55,&nbsp;,53.8,3294
54,Mark Andrews,17269,mark-andrews,BAL,8,TE,5,52,&nbsp;,54.5,5012
55,Tyler Lockett,13971,tyler-lockett,LV,8,WR,20,54,&nbsp;,55.0,2374
56,Raheem Mostert,14338,raheem-mostert,LV,8,RB,24,60,&nbsp;,55.0,2749
57,DJ Moore,17265,dj-moore-wr,BUF,7,WR,21,48,&nbsp;,55.5,4983
58,Darrell Henderson Jr.,18588,darrell-henderson,,,RB,25,61,&nbsp;,57.0,5916
59,Justin Herbert,18635,justin-herbert,LAC,7,QB,8,58,&nbsp;,57.5,6797
60,Diontae Johnson,18615,diontae-johnson,,,WR,22,57,&nbsp;,59.3,5937
61,Javonte Williams,22739,javonte-williams,DAL,7,RB,26,69,&nbsp;,61.3,7588
62,Chase Edmonds,17496,chase-edmonds,WAS,9,RB,27,59,&nbsp;,62.0,5000
63,Damien Harris,18230,damien-harris-rb,,,RB,28,71,&nbsp;,62.5,5890
64,T.J. Hockenson,18290,tj-hockenson,MIN,7,TE,6,56,&nbsp;,64.5,5844
65,Brandon Aiyuk,19252,brandon-aiyuk,SF,6,WR,23,63,&nbsp;,64.8,6803
66,Chase Claypool,18627,chase-claypool,,,WR,24,70,&nbsp;,68.0,6886
67,Tom Brady,9603,tom-brady,,,QB,9,73,&nbsp;,68.8,167
68,Odell Beckham Jr.,12127,odell-beckham,NYG,10,WR,25,65,&nbsp;,68.8,2078
69,Melvin Gordon III,13903,melvin-gordon,,,RB,29,67,&nbsp;,70.5,2320
70,Ja'Marr Chase,19788,jamarr-chase,CIN,10,WR,26,75,&nbsp;,71.0,7564
71,Tee Higgins,19211,tee-higgins,CIN,10,WR,27,68,&nbsp;,71.0,6801
72,Michael Thomas,15528,michael-thomas-wr,,,WR,28,64,&nbsp;,72.3,3199
73,Kenny Golladay,16488,kenny-golladay,,,WR,29,66,&nbsp;,76.0,4131
74,Jerry Jeudy,19201,jerry-jeudy,CLE,13,WR,30,76,&nbsp;,76.5,6783
75,Ronald Jones II,17243,ronald-jones-ii,,,RB,30,74,&nbsp;,76.8,
76,JuJu Smith-Schuster,16427,juju-smith-schuster,NYG,10,WR,31,77,&nbsp;,77.8,4040
77,Trey Sermon,19425,trey-sermon,,,RB,31,78,&nbsp;,78.8,7593
78,Leonard Fournette,16378,leonard-fournette,,,RB,32,81,&nbsp;,79.8,3969
79,Courtland Sutton,17253,courtland-sutton,DEN,11,WR,32,80,&nbsp;,81.3,5045
80,Matthew Stafford,9451,matthew-stafford,LAR,11,QB,10,87,&nbsp;,82.0,421
81,Logan Thomas,12095,logan-thomas,,,TE,7,97,&nbsp;,84.0,2251
82,DeVonta Smith,19222,devonta-smith,PHI,14,WR,33,89,&nbsp;,84.0,7525
83,Robbie Chosen,15688,robby-anderson,,,WR,34,85,&nbsp;,85.0,3423
84,Ryan Tannehill,11174,ryan-tannehill,,,QB,11,91,&nbsp;,86.5,1049
85,Robert Tonyan,16502,robert-tonyan,PIT,7,TE,8,86,&nbsp;,88.0,4602
86,Deebo Samuel Sr.,18244,deebo-samuel,,,WR,35,84,&nbsp;,88.5,5872
87,Antonio Brown,9808,antonio-brown,,,WR,36,96,&nbsp;,90.3,536
88,AJ Dillon,19358,aj-dillon,CAR,13,RB,33,93,&nbsp;,91.3,6828
