rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,avg,sleeper_id
1,Saquon Barkley,17240,saquon-barkley,PHI,10,RB,1,1,&nbsp;,&nbsp;,1.0,4866
2,Alvin Kamara,16421,alvin-kamara,NO,9,RB,2,2,&nbsp;,&nbsp;,2.3,4035
3,Christian McCaffrey,16393,christian-mccaffrey,SF,4,RB,3,3,&nbsp;,&nbsp;,2.7,4034
4,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,4,4,&nbsp;,&nbsp;,4.0,3164
5,David Johnson,13948,david-johnson-rb,,,RB,5,6,&nbsp;,&nbsp;,6.0,2391
6,DeAndre Hopkins,11606,deandre-hopkins,BAL,8,WR,1,5,&nbsp;,&nbsp;,7.0,1426
7,Davante Adams,12123,davante-adams,LAR,9,WR,2,8,&nbsp;,&nbsp;,7.0,2133
8,James Conner,16447,james-conner,ARI,12,RB,6,9,&nbsp;,&nbsp;,8.0,4137
9,Le'Veon Bell,11645,leveon-bell,,,RB,7,10,&nbsp;,&nbsp;,8.7,1408
10,Nick Chubb,17246,nick-chubb,,,RB,8,7,&nbsp;,&nbsp;,10.0,4988
11,Michael Thomas,15528,michael-thomas-wr,,,WR,3,12,&nbsp;,&nbsp;,11.3,3199
12,Julio Jones,9867,julio-jones,,,WR,4,11,&nbsp;,&nbsp;,11.3,947
13,Odell Beckham Jr.,12127,odell-beckham,NYG,11,WR,5,13,&nbsp;,&nbsp;,13.7,2078
14,Todd Gurley II,13912,todd-gurley,,,RB,9,19,&nbsp;,&nbsp;,15.3,2315
15,Dalvin Cook,16374,dalvin-cook,,,RB,10,15,&nbsp;,&nbsp;,16.0,4029
16,JuJu Smith-Schuster,16427,juju-smith-schuster,NYG,11,WR,6,17,&nbsp;,&nbsp;,16.0,4040
17,Travis Kelce,11594,travis-kelce,KC,12,TE,1,14,&nbsp;,&nbsp;,16.3,1466
18,Joe Mixon,16420,joe-mixon,,,RB,11,18,&nbsp;,&nbsp;,17.0,4018
19,Tyreek Hill,15802,tyreek-hill,,,WR,7,20,&nbsp;,&nbsp;,18.0,3321
20,Patrick Mahomes II,16413,patrick-mahomes,KC,12,QB,1,16,&nbsp;,&nbsp;,18.3,4046
21,Mike Evans,12119,mike-evans,SF,4,WR,8,22,&nbsp;,&nbsp;,22.0,2216
22,Antonio Brown,9808,antonio-brown,,,WR,9,23,&nbsp;,&nbsp;,22.3,536
23,Keenan Allen,11616,keenan-allen,LAC,12,WR,10,25,&nbsp;,&nbsp;,24.7,1479
