rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,avg,sleeper_id
1,Christian McCaffrey,16393,christian-mccaffrey,SF,9,RB,1,3,2,3,1,&nbsp;,2.3,4034
2,Tyreek Hill,15802,tyreek-hill,,,WR,1,5,5,4,7,&nbsp;,5.3,3321
3,Travis Kelce,11594,travis-kelce,KC,10,TE,1,6,9,8,10,&nbsp;,8.3,1466
4,CeeDee Lamb,19202,ceedee-lamb,DAL,7,WR,2,11,10,11,2,&nbsp;,8.5,6786
5,Stefon Diggs,13981,stefon-diggs,,,WR,3,8,12,7,11,&nbsp;,9.5,2449
6,A.J. Brown,18218,aj-brown,NE,11,WR,4,12,14,9,13,&nbsp;,12.0,5859
7,Amon-Ra St. Brown,19799,amonra-stbrown,DET,9,WR,5,14,19,12,14,&nbsp;,14.8,7547
8,Tony Pollard,18705,tony-pollard,TEN,7,RB,2,18,16,15,18,&nbsp;,16.8,5967
9,Patrick Mahomes II,16413,patrick-mahomes,KC,10,QB,1,17,13,22,16,&nbsp;,17.0,4046
10,Josh Allen,17298,josh-allen-qb,BUF,13,QB,2,23,11,26,9,&nbsp;,17.3,4984
11,Jalen Hurts,19275,jalen-hurts,PHI,10,QB,3,22,15,23,12,&nbsp;,18.0,6904
12,Jaylen Waddle,19790,jaylen-waddle,DEN,9,WR,6,20,22,17,29,&nbsp;,22.0,7526
13,DeVonta Smith,19222,devonta-smith,PHI,10,WR,7,25,23,24,22,&nbsp;,23.5,7525
14,Lamar Jackson,17233,lamar-jackson,BAL,13,QB,4,36,28,31,4,&nbsp;,24.8,4881
15,Cooper Kupp,16433,cooper-kupp,SEA,5,WR,8,7,46,19,33,&nbsp;,26.3,4039
16,Deebo Samuel Sr.,18244,deebo-samuel,,,WR,9,33,41,34,3,&nbsp;,27.8,5872
17,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,9,RB,3,38,44,29,23,&nbsp;,33.5,9221
18,Amari Cooper,13894,amari-cooper,,,WR,10,39,40,32,34,&nbsp;,36.3,2309
19,Mark Andrews,17269,mark-andrews,BAL,13,TE,2,31,30,28,60,&nbsp;,37.3,5012
20,Brandon Aiyuk,19252,brandon-aiyuk,SF,9,WR,11,61,62,47,6,&nbsp;,44.0,6803
21,Najee Harris,19302,najee-harris-rb,LAC,5,RB,4,28,24,44,82,&nbsp;,44.5,7528
22,Aaron Jones Sr.,16673,aaron-jones,MIN,13,RB,5,42,38,49,64,&nbsp;,48.3,4199
23,George Kittle,16499,george-kittle,SF,9,TE,3,69,54,66,8,&nbsp;,49.3,4217
24,James Cook III,22958,james-cook,BUF,13,RB,6,68,48,65,19,&nbsp;,50.0,8138
25,Chris Godwin Jr.,16406,chris-godwin,TB,5,WR,12,54,67,61,55,&nbsp;,59.3,4037
26,Christian Watson,23886,christian-watson,GB,6,WR,13,50,75,40,87,&nbsp;,63.0,8167
27,Rachaad White,23891,rachaad-white,WAS,14,RB,7,70,55,81,48,&nbsp;,63.5,8136
28,Dallas Goedert,17270,dallas-goedert,PHI,10,TE,4,81,64,79,32,&nbsp;,64.0,5022
29,D'Andre Swift,19210,dandre-swift,CHI,13,RB,8,73,74,85,27,&nbsp;,64.8,6790
30,Isiah Pacheco,24333,isiah-pacheco,DET,9,RB,9,82,73,88,20,&nbsp;,65.8,8205
31,David Montgomery,18239,david-montgomery,HOU,7,RB,10,79,70,75,43,&nbsp;,66.8,5892
32,Mike Evans,12119,mike-evans,SF,9,WR,14,71,88,69,44,&nbsp;,68.0,2216
33,Gabe Davis,19398,gabriel-davis,,,WR,15,84,94,67,39,&nbsp;,71.0,6943
34,Diontae Johnson,18615,diontae-johnson,,,WR,16,60,81,51,97,&nbsp;,72.3,5937
35,George Pickens,22963,george-pickens,DAL,7,WR,17,72,79,58,81,&nbsp;,72.5,8137
36,Dak Prescott,15600,dak-prescott,DAL,7,QB,5,86,80,107,21,&nbsp;,73.5,3294
37,Zay Flowers,22916,zay-flowers,BAL,13,WR,18,103,106,73,15,&nbsp;,74.3,9997
38,Tua Tagovailoa,19198,tua-tagovailoa,ATL,11,QB,6,90,89,94,35,&nbsp;,77.0,6768
39,Brandin Cooks,12122,brandin-cooks,,,WR,19,89,98,83,38,&nbsp;,77.0,2197
40,Dalvin Cook,16374,dalvin-cook,,,RB,11,75,68,93,73,&nbsp;,77.3,4029
41,David Njoku,16399,david-njoku,LAC,5,TE,5,112,103,108,42,&nbsp;,91.3,4033
42,Raheem Mostert,14338,raheem-mostert,LV,13,RB,12,143,93,111,25,&nbsp;,93.0,2749
43,Justin Jefferson,19236,justin-jefferson,MIN,13,WR,20,1,1,1,&nbsp;,&nbsp;,1.0,6794
