rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,avg,sleeper_id
1,David Johnson,13948,david-johnson-rb,,,RB,1,1,1,&nbsp;,&nbsp;,&nbsp;,1.0,2391
2,Le'Veon Bell,11645,leveon-bell,,,RB,2,2,2,&nbsp;,&nbsp;,&nbsp;,2.0,1408
3,Antonio Brown,9808,antonio-brown,,,WR,1,3,3,&nbsp;,&nbsp;,&nbsp;,3.0,536
4,Julio Jones,9867,julio-jones,,,WR,2,4,4,&nbsp;,&nbsp;,&nbsp;,4.0,947
5,Odell Beckham Jr.,12127,odell-beckham,NYG,8,WR,3,5,5,&nbsp;,&nbsp;,&nbsp;,5.0,2078
6,Mike Evans,12119,mike-evans,SF,11,WR,4,6,6,&nbsp;,&nbsp;,&nbsp;,6.7,2216
7,LeSean McCoy,9398,lesean-mccoy,,,RB,3,8,9,&nbsp;,&nbsp;,&nbsp;,7.7,676
8,A.J. Green,9857,aj-green,,,WR,5,7,10,&nbsp;,&nbsp;,&nbsp;,8.0,830
9,Melvin Gordon III,13903,melvin-gordon,,,RB,4,9,7,&nbsp;,&nbsp;,&nbsp;,8.7,2320
10,Devonta Freeman,12108,devonta-freeman,,,RB,5,10,8,&nbsp;,&nbsp;,&nbsp;,9.7,2168
11,Jordy Nelson,9320,jordy-nelson,,,WR,6,11,11,&nbsp;,&nbsp;,&nbsp;,11.3,175
12,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,6,17,12,&nbsp;,&nbsp;,&nbsp;,12.7,3164
13,Michael Thomas,15528,michael-thomas-wr,,,WR,7,12,14,&nbsp;,&nbsp;,&nbsp;,13.3,3199
14,Jay Ajayi,13940,jay-ajayi,,,RB,7,14,13,&nbsp;,&nbsp;,&nbsp;,13.3,2452
15,Jordan Howard,15585,jordan-howard,,,RB,8,13,15,&nbsp;,&nbsp;,&nbsp;,14.7,3306
16,DeMarco Murray,9896,demarco-murray,,,RB,9,15,16,&nbsp;,&nbsp;,&nbsp;,15.3,904
17,Dez Bryant,9681,dez-bryant,,,WR,8,18,17,&nbsp;,&nbsp;,&nbsp;,18.0,574
18,Amari Cooper,13894,amari-cooper,,,WR,9,16,22,&nbsp;,&nbsp;,&nbsp;,18.7,2309
19,Todd Gurley II,13912,todd-gurley,,,RB,10,19,18,&nbsp;,&nbsp;,&nbsp;,19.0,2315
20,Rob Gronkowski,9721,rob-gronkowski,,,TE,1,20,21,&nbsp;,&nbsp;,&nbsp;,19.3,515
21,T.Y. Hilton,11206,ty-hilton,,,WR,10,21,19,&nbsp;,&nbsp;,&nbsp;,20.3,1110
22,Doug Baldwin,10992,doug-baldwin,,,WR,11,22,24,&nbsp;,&nbsp;,&nbsp;,22.7,988
23,Brandin Cooks,12122,brandin-cooks,,,WR,12,23,23,&nbsp;,&nbsp;,&nbsp;,23.3,2197
24,Aaron Rodgers,9001,aaron-rodgers,PIT,9,QB,1,27,20,&nbsp;,&nbsp;,&nbsp;,24.0,96
25,Leonard Fournette,16378,leonard-fournette,,,RB,11,24,25,&nbsp;,&nbsp;,&nbsp;,24.0,3969
26,DeAndre Hopkins,11606,deandre-hopkins,BAL,10,WR,13,26,29,&nbsp;,&nbsp;,&nbsp;,27.7,1426
27,Isaiah Crowell,12116,isaiah-crowell,,,RB,12,32,27,&nbsp;,&nbsp;,&nbsp;,28.7,1901
28,Lamar Miller,11185,lamar-miller,,,RB,13,31,30,&nbsp;,&nbsp;,&nbsp;,29.0,1048
29,Demaryius Thomas,9691,demaryius-thomas,,,WR,14,25,32,&nbsp;,&nbsp;,&nbsp;,29.3,560
30,Tom Brady,9603,tom-brady,,,QB,2,35,26,&nbsp;,&nbsp;,&nbsp;,30.0,167
31,Terrelle Pryor Sr.,10092,terrelle-pryor,,,WR,15,34,28,&nbsp;,&nbsp;,&nbsp;,32.0,1020
32,Travis Kelce,11594,travis-kelce,KC,10,TE,2,33,31,&nbsp;,&nbsp;,&nbsp;,32.0,1466
33,Christian McCaffrey,16393,christian-mccaffrey,SF,11,RB,14,28,35,&nbsp;,&nbsp;,&nbsp;,32.7,4034
34,Keenan Allen,11616,keenan-allen,LAC,9,WR,16,29,36,&nbsp;,&nbsp;,&nbsp;,32.7,1479
35,Marshawn Lynch,9428,marshawn-lynch,,,RB,15,40,37,&nbsp;,&nbsp;,&nbsp;,35.7,745
36,Dalvin Cook,16374,dalvin-cook,,,RB,16,30,39,&nbsp;,&nbsp;,&nbsp;,37.0,4029
37,Alshon Jeffery,11199,alshon-jeffery,,,WR,17,37,34,&nbsp;,&nbsp;,&nbsp;,37.0,1149
38,Allen Robinson II,12126,allen-robinson,,,WR,18,36,44,&nbsp;,&nbsp;,&nbsp;,40.3,1992
39,Joe Mixon,16420,joe-mixon,,,RB,17,38,45,&nbsp;,&nbsp;,&nbsp;,40.3,4018
40,Davante Adams,12123,davante-adams,LAR,8,WR,19,41,41,&nbsp;,&nbsp;,&nbsp;,40.3,2133
41,Tyreek Hill,15802,tyreek-hill,,,WR,20,39,40,&nbsp;,&nbsp;,&nbsp;,41.0,3321
42,Carlos Hyde,12105,carlos-hyde,,,RB,18,44,38,&nbsp;,&nbsp;,&nbsp;,41.7,2257
43,Ty Montgomery II,13977,ty-montgomery,,,RB,19,43,47,&nbsp;,&nbsp;,&nbsp;,42.0,2399
44,Drew Brees,9200,drew-brees,,,QB,3,51,33,&nbsp;,&nbsp;,&nbsp;,43.3,289
45,Michael Crabtree,9460,michael-crabtree,,,WR,21,42,48,&nbsp;,&nbsp;,&nbsp;,46.0,455
46,Sammy Watkins,12118,sammy-watkins,,,WR,22,48,54,&nbsp;,&nbsp;,&nbsp;,46.3,1817
47,Jordan Reed,11690,jordan-reed,,,TE,3,52,42,&nbsp;,&nbsp;,&nbsp;,47.0,1500
48,Golden Tate,9683,golden-tate,,,WR,23,45,49,&nbsp;,&nbsp;,&nbsp;,47.7,642
49,Jarvis Landry,12128,jarvis-landry,,,WR,24,50,43,&nbsp;,&nbsp;,&nbsp;,48.7,1825
50,Greg Olsen,9238,greg-olsen,,,TE,4,53,46,&nbsp;,&nbsp;,&nbsp;,49.7,58
51,Larry Fitzgerald,9383,larry-fitzgerald,,,WR,25,46,57,&nbsp;,&nbsp;,&nbsp;,51.3,223
52,Martavis Bryant,12136,martavis-bryant,,,WR,26,49,63,&nbsp;,&nbsp;,&nbsp;,52.3,1916
53,Stefon Diggs,13981,stefon-diggs,,,WR,27,47,62,&nbsp;,&nbsp;,&nbsp;,54.3,2449
54,Mark Ingram II,9872,mark-ingram,,,RB,20,56,52,&nbsp;,&nbsp;,&nbsp;,54.3,956
55,Kelvin Benjamin,12121,kelvin-benjamin,,,WR,28,55,53,&nbsp;,&nbsp;,&nbsp;,55.3,2182
56,C.J. Anderson,11896,cj-anderson,,,RB,21,58,59,&nbsp;,&nbsp;,&nbsp;,58.0,1451
57,Julian Edelman,9332,julian-edelman,,,WR,29,54,50,&nbsp;,&nbsp;,&nbsp;,59.0,344
