rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,rtsports,fantrax,real_time,avg,sleeper_id
62,Parker Washington,23106,parker-washington,JAC,7,WR,28,81,73,67,57,45,62,64.6,9487
63,Jayden Daniels,22902,jayden-daniels,WAS,7,QB,6,47,66,64,78,68,69,64.6,11566
64,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,11,RB,26,67,78,66,53,60,66,64.8,7611
65,Christian Watson,23886,christian-watson,GB,11,WR,29,80,68,61,64,59,60,66.4,8167
66,Harold Fannin Jr.,27050,harold-fannin-jr,CLE,11,TE,5,63,72,63,67,79,74,68.8,12506
67,Mike Evans,12119,mike-evans,SF,8,WR,30,74,63,71,74,64,65,69.2,2216
68,Jaylen Warren,24209,jaylen-warren,PIT,9,RB,27,76,71,75,63,70,68,71,8228
69,Tucker Kraft,25298,tucker-kraft,GB,11,TE,6,83,64,70,71,73,63,72.2,9484
70,Marvin Harrison Jr.,23064,marvin-harrison-jr,ARI,14,WR,31,69,76,68,79,74,73,73.2,11628
71,Sam LaPorta,22978,sam-laporta,DET,6,TE,7,66,57,65,96,87,64,74.2,10859
72,Kyle Pitts Sr.,20164,kyle-pitts,ATL,11,TE,8,61,67,74,86,83,71,74.2,7553
73,Dak Prescott,15600,dak-prescott,DAL,14,QB,7,64,77,59,95,80,78,75,3294
74,Tony Pollard,18705,tony-pollard,TEN,9,RB,28,79,84,72,68,76,77,75.8,5967
75,Caleb Williams,23084,caleb-williams,CHI,10,QB,8,75,70,73,87,75,70,76,11560
76,Carnell Tate,26009,carnell-tate,TEN,9,WR,32,70,69,89,84,71,72,76.6,13279
77,Courtland Sutton,17253,courtland-sutton,DEN,10,WR,33,72,81,78,80,78,87,77.8,5045
78,Rico Dowdle,19647,rico-dowdle,PIT,9,RB,29,87,86,76,62,85,82,79.2,7021
79,DK Metcalf,18219,dk-metcalf,PIT,9,WR,34,78,75,90,83,81,76,81.4,5846
80,George Kittle,16499,george-kittle,SF,8,TE,9,62,82,77,98,89,79,81.6,4217
81,Jonathon Brooks,26148,jonathon-brooks,CAR,5,RB,30,97,99,87,70,63,88,83.2,11583
82,Josh Jacobs,18269,josh-jacobs,GB,11,RB,31,91,46,79,101,106,80,84.6,5850
83,Justin Herbert,18635,justin-herbert,LAC,7,QB,9,77,83,82,93,88,81,84.6,6797
84,Michael Wilson,25333,michael-wilson,ARI,14,WR,35,99,87,97,72,72,86,85.4,10232
85,Brian Thomas Jr.,23000,brian-thomas-jr,JAC,7,WR,36,108,74,84,92,77,75,87,11631
86,MarShawn Lloyd,23118,marshawn-lloyd,GB,11,RB,32,93,138,85,66,65,85,89.4,11581
87,RJ Harvey,27142,rj-harvey,DEN,10,RB,33,122,80,95,69,82,91,89.6,12489
88,J.K. Dobbins,19245,jk-dobbins,DEN,10,RB,34,104,92,86,81,93,89,91.2,6806
89,Trevor Lawrence,19780,trevor-lawrence,JAC,7,QB,10,94,102,80,89,94,93,91.8,7523
90,Chris Godwin Jr.,16406,chris-godwin,TB,10,WR,37,118,93,88,75,86,84,92,4037
91,Chuba Hubbard,19792,chuba-hubbard,CAR,5,RB,35,105,79,107,85,92,83,93.6,7594
92,Alec Pierce,23791,alec-pierce,IND,13,WR,38,98,97,81,97,107,90,96,8142
93,Kenny Gainwell,23310,kenneth-gainwell,TB,10,RB,36,90,111,98,90,101,106,98,7567
94,Travis Kelce,11594,travis-kelce,KC,5,TE,10,86,90,100,104,112,92,98.4,1466
95,Brandon Aubrey,26068,brandon-aubrey,DAL,14,K,1,71,89,106,114,114,111,98.8,11533
96,Michael Pittman Jr.,19278,michael-pittman,PIT,9,WR,39,82,104,113,102,96,100,99.4,6819
97,Blake Corum,23013,blake-corum,LAR,11,RB,37,121,100,101,82,95,94,99.8,11586
98,Matthew Stafford,9451,matthew-stafford,LAR,11,QB,11,85,94,94,133,97,107,100.6,421
99,Jaxson Dart,23160,jaxson-dart,NYG,8,QB,12,73,96,110,112,115,109,101.2,12508
100,Stefon Diggs,13981,stefon-diggs,WAS,7,WR,40,95,107,111,109,84,99,101.2,2449
101,Jordan Mason,22969,jordan-mason,MIN,6,RB,38,138,109,93,73,98,97,102.2,8408
102,Houston Texans DST,8120,,,8,DST,1,84,95,105,128,104,118,103.2,
103,Wan'Dale Robinson,22985,wandale-robinson,TEN,9,WR,41,103,121,114,76,103,115,103.4,8126
104,Quentin Johnston,23123,quentin-johnston,LAC,7,WR,42,128,112,92,94,91,96,103.4,9754
105,Isaiah Likely,23781,isaiah-likely,NYG,8,TE,11,115,106,91,91,120,108,104.6,8131
106,Los Angeles Rams DST,8280,,,11,DST,2,88,85,104,124,124,103,105,
107,Kyle Monangai,27131,kyle-monangai,CHI,10,RB,39,119,105,112,99,109,110,108.8,12534
108,Jordan Addison,23107,jordan-addison,MIN,6,WR,43,117,101,109,106,111,101,108.8,9756
109,Jacory Croskey-Merritt,27316,jacory-croskeymerritt,WAS,7,RB,40,131,115,102,88,110,102,109.2,12533
110,Patrick Mahomes II,16413,patrick-mahomes,KC,5,QB,13,102,110,103,127,105,122,109.4,4046
111,Dallas Goedert,17270,dallas-goedert,PHI,10,TE,12,92,119,83,132,123,113,109.8,5022
112,De'Zhaun Stribling,28138,dezhaun-stribling,SF,8,WR,44,134,139,115,100,66,114,110.8,13417
113,Bo Nix,22910,bo-nix,DEN,10,QB,14,96,116,120,117,117,116,113.2,11563
114,Denver Broncos DST,8090,,,10,DST,3,89,117,96,142,126,126,114,
115,Brock Purdy,19797,brock-purdy,SF,8,QB,15,100,122,99,131,118,120,114,8183
116,Makai Lemon,25420,makai-lemon,PHI,10,WR,45,129,91,128,121,102,105,114.2,13294
117,Rachaad White,23891,rachaad-white,WAS,7,RB,41,124,134,127,103,90,124,115.6,8136
118,Josh Downs,24706,josh-downs,IND,13,WR,46,135,114,122,111,99,104,116.2,9500
119,Aaron Jones Sr.,16673,aaron-jones,MIN,6,RB,42,111,127,121,110,113,121,116.4,4199
120,Jayden Reed,23020,jayden-reed,GB,11,WR,47,137,108,123,107,108,98,116.6,10222
121,Dalton Kincaid,25247,dalton-kincaid,BUF,7,TE,13,125,88,117,126,129,95,117,10236
122,Jake Ferguson,22718,jake-ferguson,DAL,14,TE,14,109,98,125,130,143,119,121,8110
123,Jakobi Meyers,18598,jakobi-meyers,JAC,7,WR,48,113,129,130,118,119,131,121.8,5947
124,Seattle Seahawks DST,8260,,,11,DST,4,107,103,118,147,135,123,122,
125,KC Concepcion,27331,kevin-concepcion,CLE,11,WR,49,144,120,116,115,116,112,122.2,13298
126,Jared Goff,15501,jared-goff,DET,6,QB,16,133,131,108,123,121,132,123.2,3163
