rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,avg,sleeper_id
1,Adrian Peterson,9006,adrian-peterson-min,,,RB,1,&nbsp;,&nbsp;,1.0,184
2,Le'Veon Bell,11645,leveon-bell,,,RB,2,&nbsp;,&nbsp;,3.0,1408
3,Eddie Lacy,11636,eddie-lacy,,,RB,3,&nbsp;,&nbsp;,3.0,1527
4,Jamaal Charles,9258,jamaal-charles,,,RB,4,&nbsp;,&nbsp;,3.3,323
5,Marshawn Lynch,9428,marshawn-lynch,,,RB,5,&nbsp;,&nbsp;,4.8,745
6,Antonio Brown,9808,antonio-brown,,,WR,1,&nbsp;,&nbsp;,6.8,536
7,Dez Bryant,9681,dez-bryant,,,WR,2,&nbsp;,&nbsp;,10.2,574
8,Andrew Luck,11172,andrew-luck,,,QB,1,&nbsp;,&nbsp;,10.8,1111
9,Matt Forte,9437,matt-forte,,,RB,6,&nbsp;,&nbsp;,10.8,103
10,C.J. Anderson,11896,cj-anderson,,,RB,7,&nbsp;,&nbsp;,11.3,1451
11,DeMarco Murray,9896,demarco-murray,,,RB,8,&nbsp;,&nbsp;,12.0,904
12,Rob Gronkowski,9721,rob-gronkowski,,,TE,1,&nbsp;,&nbsp;,12.2,515
13,Aaron Rodgers,9001,aaron-rodgers,PIT,11,QB,2,&nbsp;,&nbsp;,12.3,96
14,Demaryius Thomas,9691,demaryius-thomas,,,WR,3,&nbsp;,&nbsp;,12.5,560
15,Jeremy Hill,12102,jeremy-hill,,,RB,9,&nbsp;,&nbsp;,14.0,1892
16,Julio Jones,9867,julio-jones,,,WR,4,&nbsp;,&nbsp;,14.0,947
17,Odell Beckham Jr.,12127,odell-beckham,NYG,11,WR,5,&nbsp;,&nbsp;,14.5,2078
18,Calvin Johnson,9094,calvin-johnson,,,WR,6,&nbsp;,&nbsp;,16.8,240
19,LeSean McCoy,9398,lesean-mccoy,,,RB,10,&nbsp;,&nbsp;,18.0,676
20,Randall Cobb,9902,randall-cobb,,,WR,7,&nbsp;,&nbsp;,20.3,928
21,A.J. Green,9857,aj-green,,,WR,8,&nbsp;,&nbsp;,20.3,830
22,T.Y. Hilton,11206,ty-hilton,,,WR,9,&nbsp;,&nbsp;,24.2,1110
23,Justin Forsett,9335,justin-forsett,,,RB,11,&nbsp;,&nbsp;,24.5,458
24,Alshon Jeffery,11199,alshon-jeffery,,,WR,10,&nbsp;,&nbsp;,25.3,1149
25,Jimmy Graham,9712,jimmy-graham,,,TE,2,&nbsp;,&nbsp;,27.5,616
26,Lamar Miller,11185,lamar-miller,,,RB,12,&nbsp;,&nbsp;,28.7,1048
27,Mike Evans,12119,mike-evans,SF,10,WR,11,&nbsp;,&nbsp;,29.2,2216
28,Mark Ingram II,9872,mark-ingram,,,RB,13,&nbsp;,&nbsp;,29.8,956
29,Peyton Manning,9507,peyton-manning,,,QB,3,&nbsp;,&nbsp;,30.0,294
30,Brandin Cooks,12122,brandin-cooks,,,WR,12,&nbsp;,&nbsp;,31.5,2197
31,Frank Gore,9218,frank-gore,,,RB,14,&nbsp;,&nbsp;,32.2,
32,Emmanuel Sanders,9707,emmanuel-sanders,,,WR,13,&nbsp;,&nbsp;,32.7,538
33,DeAndre Hopkins,11606,deandre-hopkins,BAL,9,WR,14,&nbsp;,&nbsp;,34.7,1426
