rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
1,Justin Jefferson,19236,justin-jefferson,MIN,13,WR,1,1,1,&nbsp;,1,1,&nbsp;,1.0,6794
2,Christian McCaffrey,16393,christian-mccaffrey,SF,9,RB,1,3,2,&nbsp;,2,2,&nbsp;,2.3,4034
3,Ja'Marr Chase,19788,jamarr-chase,CIN,7,WR,2,2,3,&nbsp;,4,3,&nbsp;,3.0,7564
4,Austin Ekeler,16483,austin-ekeler,,,RB,2,4,4,&nbsp;,3,4,&nbsp;,3.8,4663
5,Travis Kelce,11594,travis-kelce,KC,10,TE,1,5,5,&nbsp;,6,7,&nbsp;,5.8,1466
6,Tyreek Hill,15802,tyreek-hill,,,WR,3,6,6,&nbsp;,8,5,&nbsp;,6.3,3321
7,Saquon Barkley,17240,saquon-barkley,PHI,10,RB,3,9,9,&nbsp;,7,6,&nbsp;,7.8,4866
8,Bijan Robinson,23133,bijan-robinson,ATL,11,RB,4,7,8,&nbsp;,9,8,&nbsp;,8.0,9509
9,Stefon Diggs,13981,stefon-diggs,,,WR,4,11,7,&nbsp;,10,12,&nbsp;,10.0,2449
10,Nick Chubb,17246,nick-chubb,,,RB,5,13,10,&nbsp;,17,9,&nbsp;,12.3,4988
11,Davante Adams,12123,davante-adams,LAR,10,WR,5,8,14,&nbsp;,12,17,&nbsp;,12.8,2133
12,CeeDee Lamb,19202,ceedee-lamb,DAL,7,WR,6,16,11,&nbsp;,15,11,&nbsp;,13.3,6786
13,Cooper Kupp,16433,cooper-kupp,SEA,5,WR,7,14,15,&nbsp;,5,21,&nbsp;,13.8,4039
14,Patrick Mahomes II,16413,patrick-mahomes,KC,10,QB,1,12,12,&nbsp;,16,18,&nbsp;,14.5,4046
15,A.J. Brown,18218,aj-brown,NE,11,WR,8,19,13,&nbsp;,13,15,&nbsp;,15.0,5859
16,Tony Pollard,18705,tony-pollard,TEN,7,RB,6,15,21,&nbsp;,18,10,&nbsp;,16.0,5967
17,Derrick Henry,15514,derrick-henry,BAL,13,RB,7,10,16,&nbsp;,19,19,&nbsp;,16.0,3198
18,Josh Jacobs,18269,josh-jacobs,GB,6,RB,8,18,19,&nbsp;,14,13,&nbsp;,16.0,5850
19,Garrett Wilson,23072,garrett-wilson,NYJ,7,WR,9,17,18,&nbsp;,20,14,&nbsp;,17.3,8146
20,Amon-Ra St. Brown,19799,amonra-stbrown,DET,9,WR,10,21,17,&nbsp;,21,16,&nbsp;,18.8,7547
21,Josh Allen,17298,josh-allen-qb,BUF,13,QB,2,20,20,&nbsp;,22,20,&nbsp;,20.5,4984
22,Jalen Hurts,19275,jalen-hurts,PHI,10,QB,3,22,23,&nbsp;,23,23,&nbsp;,22.8,6904
23,Jaylen Waddle,19790,jaylen-waddle,DEN,9,WR,11,25,22,&nbsp;,25,26,&nbsp;,24.5,7526
24,Chris Olave,20111,chris-olave,NO,11,WR,12,28,24,&nbsp;,32,22,&nbsp;,26.5,8144
25,DeVonta Smith,19222,devonta-smith,PHI,10,WR,13,30,27,&nbsp;,27,24,&nbsp;,27.0,7525
26,Najee Harris,19302,najee-harris-rb,LAC,5,RB,9,29,28,&nbsp;,30,25,&nbsp;,28.0,7528
27,Tee Higgins,19211,tee-higgins,CIN,7,WR,14,26,25,&nbsp;,29,35,&nbsp;,28.8,6801
28,Travis Etienne Jr.,19231,travis-etienne,NO,11,RB,10,27,30,&nbsp;,31,27,&nbsp;,28.8,7543
29,Mark Andrews,17269,mark-andrews,BAL,13,TE,2,36,26,&nbsp;,26,33,&nbsp;,30.3,5012
30,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,11,RB,11,37,29,&nbsp;,28,28,&nbsp;,30.5,7611
31,DK Metcalf,18219,dk-metcalf,PIT,6,WR,15,24,31,&nbsp;,34,36,&nbsp;,31.3,5846
32,Joe Mixon,16420,joe-mixon,,,RB,12,23,36,&nbsp;,42,31,&nbsp;,33.0,4018
33,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,9,RB,13,33,33,&nbsp;,37,29,&nbsp;,33.0,9221
34,Lamar Jackson,17233,lamar-jackson,BAL,13,QB,4,31,32,&nbsp;,35,38,&nbsp;,34.0,4881
35,Calvin Ridley,17258,calvin-ridley,TEN,7,WR,16,38,34,&nbsp;,36,30,&nbsp;,34.5,4981
36,Joe Burrow,19196,joe-burrow,CIN,7,QB,5,34,35,&nbsp;,33,37,&nbsp;,34.8,6770
37,Aaron Jones Sr.,16673,aaron-jones,MIN,13,RB,14,32,40,&nbsp;,38,39,&nbsp;,37.3,4199
38,Deebo Samuel Sr.,18244,deebo-samuel,,,WR,17,35,37,&nbsp;,39,41,&nbsp;,38.0,5872
39,Breece Hall,22982,breece-hall,NYJ,7,RB,15,48,39,&nbsp;,24,52,&nbsp;,40.8,8155
40,Amari Cooper,13894,amari-cooper,,,WR,18,41,42,&nbsp;,45,40,&nbsp;,42.0,2309
41,Keenan Allen,11616,keenan-allen,LAC,5,WR,19,39,38,&nbsp;,52,45,&nbsp;,43.5,1479
42,Justin Herbert,18635,justin-herbert,LAC,5,QB,6,42,46,&nbsp;,44,42,&nbsp;,43.5,6797
43,Kenneth Walker III,23021,kenneth-walker-rb,KC,10,RB,16,50,41,&nbsp;,50,34,&nbsp;,43.8,8151
44,Justin Fields,19781,justin-fields,KC,10,QB,7,44,44,&nbsp;,40,49,&nbsp;,44.3,7591
45,T.J. Hockenson,18290,tj-hockenson,MIN,13,TE,3,43,47,&nbsp;,47,44,&nbsp;,45.3,5844
46,Dameon Pierce,22947,dameon-pierce,PHI,10,RB,17,40,49,&nbsp;,64,32,&nbsp;,46.3,8129
47,Jonathan Taylor,19217,jonathan-taylor,IND,11,RB,18,67,45,&nbsp;,11,68,&nbsp;,47.8,6813
48,George Kittle,16499,george-kittle,SF,9,TE,4,49,43,&nbsp;,46,60,&nbsp;,49.5,4217
49,Miles Sanders,18283,miles-sanders,,,RB,19,59,54,&nbsp;,41,48,&nbsp;,50.5,6151
50,Darren Waller,14104,darren-waller,,,TE,5,45,52,&nbsp;,54,51,&nbsp;,50.5,2505
51,DJ Moore,17265,dj-moore-wr,BUF,13,WR,20,55,50,&nbsp;,43,55,&nbsp;,50.8,4983
52,DeAndre Hopkins,11606,deandre-hopkins,BAL,13,WR,21,47,48,&nbsp;,56,59,&nbsp;,52.5,1426
53,Terry McLaurin,18466,terry-mclaurin,WAS,14,WR,22,65,51,&nbsp;,48,53,&nbsp;,54.3,5927
54,Trevor Lawrence,19780,trevor-lawrence,JAC,9,QB,8,60,53,&nbsp;,49,58,&nbsp;,55.0,7523
55,Christian Watson,23886,christian-watson,GB,6,WR,23,46,60,&nbsp;,59,56,&nbsp;,55.3,8167
56,Mike Williams,16377,mike-williams-wr,,,WR,24,63,70,&nbsp;,53,57,&nbsp;,60.8,
57,Alvin Kamara,16421,alvin-kamara,NO,11,RB,20,51,63,&nbsp;,68,64,&nbsp;,61.5,4035
58,Kyle Pitts Sr.,20164,kyle-pitts,ATL,11,TE,6,58,59,&nbsp;,57,75,&nbsp;,62.3,7553
59,Alexander Mattison,18621,alexander-mattison,,,RB,21,54,57,&nbsp;,94,46,&nbsp;,62.8,5987
60,Dalvin Cook,16374,dalvin-cook,,,RB,22,72,69,&nbsp;,51,62,&nbsp;,63.5,4029
61,Dallas Goedert,17270,dallas-goedert,PHI,10,TE,7,62,58,&nbsp;,58,77,&nbsp;,63.8,5022
62,Cam Akers,19268,cam-akers,,,RB,23,68,66,&nbsp;,61,61,&nbsp;,64.0,6938
63,James Conner,16447,james-conner,ARI,14,RB,24,57,65,&nbsp;,73,63,&nbsp;,64.5,4137
64,Rachaad White,23891,rachaad-white,WAS,14,RB,25,52,77,&nbsp;,83,50,&nbsp;,65.5,8136
65,Drake London,23163,drake-london,ATL,11,WR,25,77,55,&nbsp;,69,66,&nbsp;,66.8,8112
66,Chris Godwin Jr.,16406,chris-godwin,TB,5,WR,26,56,61,&nbsp;,86,65,&nbsp;,67.0,4037
67,Tyler Lockett,13971,tyler-lockett,LV,13,WR,27,69,67,&nbsp;,76,70,&nbsp;,70.5,2374
68,James Cook III,22958,james-cook,BUF,13,RB,26,61,82,&nbsp;,95,47,&nbsp;,71.3,8138
69,Jerry Jeudy,19201,jerry-jeudy,CLE,5,WR,28,75,72,&nbsp;,60,81,&nbsp;,72.0,6783
70,Brandon Aiyuk,19252,brandon-aiyuk,SF,9,WR,29,73,64,&nbsp;,84,67,&nbsp;,72.0,6803
71,Isiah Pacheco,24333,isiah-pacheco,DET,9,RB,27,71,73,&nbsp;,75,71,&nbsp;,72.5,8205
72,Javonte Williams,22739,javonte-williams,DAL,7,RB,28,70,78,&nbsp;,89,54,&nbsp;,72.8,7588
73,D'Andre Swift,19210,dandre-swift,CHI,13,RB,29,86,62,&nbsp;,77,72,&nbsp;,74.3,6790
74,Diontae Johnson,18615,diontae-johnson,,,WR,30,53,80,&nbsp;,93,73,&nbsp;,74.8,5937
