rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,avg,sleeper_id
1,Christian McCaffrey,16393,christian-mccaffrey,SF,9,RB,1,1,1,1.0,4034
2,Tyreek Hill,15802,tyreek-hill,,,WR,1,2,3,2.5,3321
3,CeeDee Lamb,19202,ceedee-lamb,DAL,7,WR,2,3,2,2.5,6786
4,Justin Jefferson,19236,justin-jefferson,MIN,6,WR,3,4,7,5.5,6794
5,Bijan Robinson,23133,bijan-robinson,ATL,12,RB,2,6,5,5.5,9509
6,Breece Hall,22982,breece-hall,NYJ,12,RB,3,8,4,6.0,8155
7,Ja'Marr Chase,19788,jamarr-chase,CIN,12,WR,4,5,8,6.5,7564
8,Amon-Ra St. Brown,19799,amonra-stbrown,DET,5,WR,5,7,6,6.5,7547
9,A.J. Brown,18218,aj-brown,NE,14,WR,6,9,11,10.0,5859
10,Saquon Barkley,17240,saquon-barkley,PHI,5,RB,4,12,9,10.5,4866
11,Jonathan Taylor,19217,jonathan-taylor,IND,14,RB,5,11,10,10.5,6813
12,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,5,RB,6,10,13,11.5,9221
13,Garrett Wilson,23072,garrett-wilson,NYJ,12,WR,7,13,12,12.5,8146
14,Puka Nacua,23180,puka-nacua,LAR,6,WR,8,15,14,14.5,9493
15,Marvin Harrison Jr.,23064,marvin-harrison-jr,ARI,11,WR,9,14,16,15.0,11628
16,Travis Etienne Jr.,19231,travis-etienne,NO,12,RB,7,16,15,15.5,7543
17,Kyren Williams,23059,kyren-williams,LAR,6,RB,8,17,19,18.0,8150
18,Derrick Henry,15514,derrick-henry,BAL,14,RB,9,18,20,19.0,3198
19,Josh Jacobs,18269,josh-jacobs,GB,10,RB,10,24,17,20.5,5850
20,De'Von Achane,23136,devon-achane,MIA,6,RB,11,23,18,20.5,9226
21,Drake London,23163,drake-london,ATL,12,WR,10,19,23,21.0,8112
22,Davante Adams,12123,davante-adams,LAR,6,WR,11,21,22,21.5,2133
23,Josh Allen,17298,josh-allen-qb,BUF,12,QB,1,20,24,22.0,4984
