rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,avg,sleeper_id
1,David Johnson,13948,david-johnson-rb,,,RB,1,&nbsp;,&nbsp;,1.0,2391
2,Le'Veon Bell,11645,leveon-bell,,,RB,2,&nbsp;,&nbsp;,2.0,1408
3,Antonio Brown,9808,antonio-brown,,,WR,1,&nbsp;,&nbsp;,3.2,536
4,Julio Jones,9867,julio-jones,,,WR,2,&nbsp;,&nbsp;,3.8,947
5,LeSean McCoy,9398,lesean-mccoy,,,RB,3,&nbsp;,&nbsp;,5.6,676
6,Odell Beckham Jr.,12127,odell-beckham,NYG,8,WR,3,&nbsp;,&nbsp;,6.2,2078
7,Devonta Freeman,12108,devonta-freeman,,,RB,4,&nbsp;,&nbsp;,7.2,2168
8,Melvin Gordon III,13903,melvin-gordon,,,RB,5,&nbsp;,&nbsp;,8.4,2320
9,Mike Evans,12119,mike-evans,SF,11,WR,4,&nbsp;,&nbsp;,8.8,2216
10,A.J. Green,9857,aj-green,,,WR,5,&nbsp;,&nbsp;,11.4,830
11,DeMarco Murray,9896,demarco-murray,,,RB,6,&nbsp;,&nbsp;,12.0,904
12,Jordy Nelson,9320,jordy-nelson,,,WR,6,&nbsp;,&nbsp;,12.4,175
13,Jay Ajayi,13940,jay-ajayi,,,RB,7,&nbsp;,&nbsp;,12.8,2452
14,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,8,&nbsp;,&nbsp;,13.8,3164
15,Jordan Howard,15585,jordan-howard,,,RB,9,&nbsp;,&nbsp;,14.0,3306
16,Aaron Rodgers,9001,aaron-rodgers,PIT,9,QB,1,&nbsp;,&nbsp;,15.6,96
17,Michael Thomas,15528,michael-thomas-wr,,,WR,7,&nbsp;,&nbsp;,16.2,3199
18,Todd Gurley II,13912,todd-gurley,,,RB,10,&nbsp;,&nbsp;,19.2,2315
19,Dez Bryant,9681,dez-bryant,,,WR,8,&nbsp;,&nbsp;,19.6,574
20,Rob Gronkowski,9721,rob-gronkowski,,,TE,1,&nbsp;,&nbsp;,19.6,515
21,Tom Brady,9603,tom-brady,,,QB,2,&nbsp;,&nbsp;,21.6,167
22,Brandin Cooks,12122,brandin-cooks,,,WR,9,&nbsp;,&nbsp;,23.6,2197
23,Amari Cooper,13894,amari-cooper,,,WR,10,&nbsp;,&nbsp;,24.2,2309
24,Leonard Fournette,16378,leonard-fournette,,,RB,11,&nbsp;,&nbsp;,24.2,3969
25,Doug Baldwin,10992,doug-baldwin,,,WR,11,&nbsp;,&nbsp;,25.4,988
26,Marshawn Lynch,9428,marshawn-lynch,,,RB,12,&nbsp;,&nbsp;,27.2,745
27,Christian McCaffrey,16393,christian-mccaffrey,SF,11,RB,13,&nbsp;,&nbsp;,27.2,4034
28,T.Y. Hilton,11206,ty-hilton,,,WR,12,&nbsp;,&nbsp;,28.4,1110
29,Lamar Miller,11185,lamar-miller,,,RB,14,&nbsp;,&nbsp;,28.8,1048
30,Isaiah Crowell,12116,isaiah-crowell,,,RB,15,&nbsp;,&nbsp;,29.6,1901
31,Drew Brees,9200,drew-brees,,,QB,3,&nbsp;,&nbsp;,33.0,289
32,DeAndre Hopkins,11606,deandre-hopkins,BAL,10,WR,13,&nbsp;,&nbsp;,33.4,1426
33,Dalvin Cook,16374,dalvin-cook,,,RB,16,&nbsp;,&nbsp;,35.0,4029
34,Terrelle Pryor Sr.,10092,terrelle-pryor,,,WR,14,&nbsp;,&nbsp;,36.0,1020
