rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,avg,sleeper_id
1,Christian McCaffrey,16393,christian-mccaffrey,SF,6,RB,1,1,1,&nbsp;,1.0,4034
2,Dalvin Cook,16374,dalvin-cook,,,RB,2,2,2,&nbsp;,2.0,4029
3,Derrick Henry,15514,derrick-henry,BAL,8,RB,3,3,3,&nbsp;,3.3,3198
4,Alvin Kamara,16421,alvin-kamara,NO,6,RB,4,4,4,&nbsp;,3.8,4035
5,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,5,5,5,&nbsp;,5.0,3164
6,Nick Chubb,17246,nick-chubb,,,RB,6,6,6,&nbsp;,6.5,4988
7,Aaron Jones Sr.,16673,aaron-jones,MIN,7,RB,7,7,8,&nbsp;,7.8,4199
8,Davante Adams,12123,davante-adams,LAR,11,WR,1,9,11,&nbsp;,8.3,2133
9,Jonathan Taylor,19217,jonathan-taylor,IND,14,RB,8,10,9,&nbsp;,10.0,6813
10,Saquon Barkley,17240,saquon-barkley,PHI,14,RB,9,11,7,&nbsp;,10.3,4866
11,Tyreek Hill,15802,tyreek-hill,,,WR,2,8,10,&nbsp;,10.3,3321
12,Travis Kelce,11594,travis-kelce,KC,12,TE,1,12,12,&nbsp;,10.8,1466
13,Austin Ekeler,16483,austin-ekeler,,,RB,10,14,13,&nbsp;,12.5,4663
14,Stefon Diggs,13981,stefon-diggs,,,WR,3,13,15,&nbsp;,14.3,2449
15,Najee Harris,19302,najee-harris-rb,LAC,7,RB,11,16,14,&nbsp;,14.8,7528
16,Antonio Gibson,19624,antonio-gibson,,,RB,12,17,21,&nbsp;,17.5,6945
17,Patrick Mahomes II,16413,patrick-mahomes,KC,12,QB,1,15,19,&nbsp;,18.3,4046
18,DeAndre Hopkins,11606,deandre-hopkins,BAL,8,WR,4,19,16,&nbsp;,18.3,1426
19,Joe Mixon,16420,joe-mixon,,,RB,13,21,17,&nbsp;,19.0,4018
20,Calvin Ridley,17258,calvin-ridley,TEN,13,WR,5,18,20,&nbsp;,19.0,4981
21,DK Metcalf,18219,dk-metcalf,PIT,7,WR,6,20,18,&nbsp;,19.5,5846
22,Clyde Edwards-Helaire,19325,clyde-edwards-helaire,,,RB,14,23,22,&nbsp;,21.5,6820
23,Darren Waller,14104,darren-waller,,,TE,2,25,25,&nbsp;,24.0,2505
24,Justin Jefferson,19236,justin-jefferson,MIN,7,WR,7,22,28,&nbsp;,24.5,6794
25,A.J. Brown,18218,aj-brown,NE,14,WR,8,24,24,&nbsp;,24.8,5859
26,George Kittle,16499,george-kittle,SF,6,TE,3,32,23,&nbsp;,27.8,4217
27,Keenan Allen,11616,keenan-allen,LAC,7,WR,9,31,26,&nbsp;,28.5,1479
28,David Montgomery,18239,david-montgomery,HOU,10,RB,15,34,27,&nbsp;,28.8,5892
29,Chris Carson,16754,chris-carson,,,RB,16,33,29,&nbsp;,29.3,4273
30,Terry McLaurin,18466,terry-mclaurin,WAS,9,WR,10,29,30,&nbsp;,30.3,5927
31,Josh Allen,17298,josh-allen-qb,BUF,7,QB,2,26,36,&nbsp;,31.3,4984
32,Allen Robinson II,12126,allen-robinson,,,WR,11,30,32,&nbsp;,32.8,1992
33,Josh Jacobs,18269,josh-jacobs,GB,13,RB,17,38,31,&nbsp;,33.5,5850
34,CeeDee Lamb,19202,ceedee-lamb,DAL,7,WR,12,35,37,&nbsp;,34.3,6786
35,James Robinson,19631,james-robinson,,,RB,18,51,33,&nbsp;,36.8,6955
36,Mike Evans,12119,mike-evans,SF,6,WR,13,36,34,&nbsp;,36.8,2216
37,D'Andre Swift,19210,dandre-swift,CHI,10,RB,19,44,35,&nbsp;,38.0,6790
38,Miles Sanders,18283,miles-sanders,,,RB,20,42,38,&nbsp;,38.8,6151
39,Kyler Murray,18600,kyler-murray,MIN,7,QB,3,43,39,&nbsp;,40.3,5849
40,Chris Godwin Jr.,16406,chris-godwin,TB,9,WR,14,37,40,&nbsp;,41.0,4037
41,Robert Woods,11610,robert-woods,,,WR,15,45,45,&nbsp;,41.8,1352
42,Amari Cooper,13894,amari-cooper,,,WR,16,41,41,&nbsp;,41.8,2309
43,Lamar Jackson,17233,lamar-jackson,BAL,8,QB,4,39,46,&nbsp;,44.5,4881
44,Cooper Kupp,16433,cooper-kupp,SEA,9,WR,17,40,47,&nbsp;,44.5,4039
45,Julio Jones,9867,julio-jones,,,WR,18,49,43,&nbsp;,46.0,947
46,Kyle Pitts Sr.,20164,kyle-pitts,ATL,6,TE,4,46,44,&nbsp;,47.8,7553
