rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,avg,sleeper_id
160,Jordan Wilkins,17497,jordan-wilkins,,,RB,55,&nbsp;,&nbsp;,&nbsp;,169.0,5100
161,Alfred Morris,11347,alfred-morris,,,RB,56,&nbsp;,&nbsp;,&nbsp;,169.5,1170
162,Philadelphia Eagles,8230,,,9,DST,4,&nbsp;,&nbsp;,&nbsp;,123.0,
163,Chris Godwin Jr.,16406,chris-godwin,TB,5,WR,63,&nbsp;,&nbsp;,&nbsp;,170.0,4037
164,Dede Westbrook,16436,dede-westbrook,,,WR,64,&nbsp;,&nbsp;,&nbsp;,170.0,4146
165,Los Angeles Chargers,8250,,,8,DST,5,&nbsp;,&nbsp;,&nbsp;,127.0,
166,Austin Seferian-Jenkins,12145,austin-seferian-jenkins,,,TE,16,&nbsp;,&nbsp;,&nbsp;,172.5,2222
167,Wil Lutz,16026,wil-lutz,DEN,10,K,4,&nbsp;,&nbsp;,&nbsp;,172.5,3678
168,Eli Manning,9213,eli-manning,,,QB,23,&nbsp;,&nbsp;,&nbsp;,174.0,188
169,Austin Hooper,15581,austin-hooper,ATL,8,TE,17,&nbsp;,&nbsp;,&nbsp;,176.5,3202
170,John Brown,12231,john-brown,,,WR,65,&nbsp;,&nbsp;,&nbsp;,180.5,2238
171,Houston Texans,8120,,,10,DST,6,&nbsp;,&nbsp;,&nbsp;,137.0,
172,Baltimore Ravens,8020,,,10,DST,7,&nbsp;,&nbsp;,&nbsp;,138.0,
173,DeSean Jackson,9186,desean-jackson,,,WR,66,&nbsp;,&nbsp;,&nbsp;,139.0,147
174,Geronimo Allison,15853,geronimo-allison,,,WR,67,&nbsp;,&nbsp;,&nbsp;,178.5,3503
175,Jake Elliott,16540,jake-elliott,PHI,9,K,5,&nbsp;,&nbsp;,&nbsp;,179.0,4195
176,Benjamin Watson,9040,benjamin-watson,,,TE,18,&nbsp;,&nbsp;,&nbsp;,179.5,663
177,Robert Kelley,16154,robert-kelley,,,RB,57,&nbsp;,&nbsp;,&nbsp;,179.5,
178,Theo Riddick,11649,theo-riddick,,,RB,58,&nbsp;,&nbsp;,&nbsp;,143.0,1517
179,Denver Broncos,8090,,,10,DST,8,&nbsp;,&nbsp;,&nbsp;,148.0,
180,Nyheim Miller-Hines,17297,nyheim-hines,,,RB,59,&nbsp;,&nbsp;,&nbsp;,148.0,5347
181,Christian Kirk,17268,christian-kirk,SF,11,WR,68,&nbsp;,&nbsp;,&nbsp;,183.0,4950
182,Case Keenum,11425,case-keenum,CHI,5,QB,24,&nbsp;,&nbsp;,&nbsp;,183.5,1737
183,Cameron Brate,13470,cameron-brate,,,TE,19,&nbsp;,&nbsp;,&nbsp;,151.0,2214
184,New Orleans Saints,8190,,,6,DST,9,&nbsp;,&nbsp;,&nbsp;,152.0,
185,Austin Ekeler,16483,austin-ekeler,,,RB,60,&nbsp;,&nbsp;,&nbsp;,184.5,4663
186,Alex Erickson,15706,alex-erickson,,,WR,69,&nbsp;,&nbsp;,&nbsp;,154.0,3433
187,Frank Gore,9218,frank-gore,,,RB,61,&nbsp;,&nbsp;,&nbsp;,186.0,
188,Andy Dalton,9907,andy-dalton,PHI,9,QB,25,&nbsp;,&nbsp;,&nbsp;,186.5,829
189,Pharoh Cooper,15557,pharoh-cooper,,,WR,70,&nbsp;,&nbsp;,&nbsp;,157.0,3278
190,Tyrell Williams,14324,tyrell-williams,,,WR,71,&nbsp;,&nbsp;,&nbsp;,187.0,2583
191,Tyrod Taylor,10007,tyrod-taylor,GB,7,QB,26,&nbsp;,&nbsp;,&nbsp;,187.5,827
192,Ryan Switzer,16631,ryan-switzer,,,WR,72,&nbsp;,&nbsp;,&nbsp;,159.0,4162
193,Ricky Seals-Jones,16730,ricky-seals-jones,,,TE,20,&nbsp;,&nbsp;,&nbsp;,188.0,4531
194,Donte Moncrief,12125,donte-moncrief,,,WR,73,&nbsp;,&nbsp;,&nbsp;,188.5,1971
195,Jonathan Williams,15611,jonathan-williams,,,RB,62,&nbsp;,&nbsp;,&nbsp;,161.0,3312
196,James Conner,16447,james-conner,ARI,9,RB,63,&nbsp;,&nbsp;,&nbsp;,189.5,4137
197,Paul Richardson Jr.,12129,paul-richardson,,,WR,74,&nbsp;,&nbsp;,&nbsp;,163.0,2279
198,John Ross,16388,john-ross,,,WR,75,&nbsp;,&nbsp;,&nbsp;,201.0,4038
199,Ted Ginn Jr.,9588,ted-ginn-jr,,,WR,76,&nbsp;,&nbsp;,&nbsp;,165.0,695
200,Harrison Butker,16712,harrison-butker,KC,12,K,6,&nbsp;,&nbsp;,&nbsp;,191.5,4227
201,Jared Cook,9265,jared-cook,,,TE,21,&nbsp;,&nbsp;,&nbsp;,172.0,367
202,Danny Amendola,9146,danny-amendola,,,WR,77,&nbsp;,&nbsp;,&nbsp;,194.5,491
203,Chicago Bears,8050,,,5,DST,10,&nbsp;,&nbsp;,&nbsp;,173.0,
204,Blake Bortles,12090,blake-bortles,,,QB,27,&nbsp;,&nbsp;,&nbsp;,173.0,1979
205,Matt Bryant,9434,matt-bryant,,,K,7,&nbsp;,&nbsp;,&nbsp;,195.0,127
206,Carolina Panthers,8040,,,4,DST,11,&nbsp;,&nbsp;,&nbsp;,176.0,
207,Courtland Sutton,17253,courtland-sutton,DEN,10,WR,78,&nbsp;,&nbsp;,&nbsp;,196.5,5045
208,Mike Gesicki,17272,mike-gesicki,CIN,9,TE,22,&nbsp;,&nbsp;,&nbsp;,179.0,4993
209,Jakeem Grant Sr.,15680,jakeem-grant,,,WR,79,&nbsp;,&nbsp;,&nbsp;,181.0,3342
210,Andre Roberts,9696,andre-roberts,,,WR,80,&nbsp;,&nbsp;,&nbsp;,182.0,627
211,Samaje Perine,16423,samaje-perine,CIN,9,RB,64,&nbsp;,&nbsp;,&nbsp;,184.0,4147
212,T.J. Yeldon,13941,tj-yeldon,,,RB,65,&nbsp;,&nbsp;,&nbsp;,201.0,2341
213,Robbie Gould,9534,robbie-gould,,,K,8,&nbsp;,&nbsp;,&nbsp;,201.0,49
214,Spencer Ware,11638,spencer-ware,,,RB,66,&nbsp;,&nbsp;,&nbsp;,201.0,1601
215,Hayden Hurst,17283,hayden-hurst,,,TE,23,&nbsp;,&nbsp;,&nbsp;,187.0,4973
216,John Kelly Jr.,17304,john-kelly,,,RB,67,&nbsp;,&nbsp;,&nbsp;,232.5,5076
217,Cleveland Browns,8070,,,11,DST,12,&nbsp;,&nbsp;,&nbsp;,190.0,
218,Vance McDonald,11699,vance-mcdonald,,,TE,24,&nbsp;,&nbsp;,&nbsp;,191.0,1587
219,New England Patriots,8180,,,11,DST,13,&nbsp;,&nbsp;,&nbsp;,192.0,
220,Pittsburgh Steelers,8240,,,7,DST,14,&nbsp;,&nbsp;,&nbsp;,195.0,
221,Chris Ivory,9749,christopher-ivory,,,RB,68,&nbsp;,&nbsp;,&nbsp;,195.0,717
222,Chris Boswell,13029,chris-boswell,PIT,7,K,9,&nbsp;,&nbsp;,&nbsp;,206.0,1945
223,Charles Clay,10003,charles-clay,,,TE,25,&nbsp;,&nbsp;,&nbsp;,197.0,801
224,Javorius Allen,13944,javorius-allen,,,RB,69,&nbsp;,&nbsp;,&nbsp;,198.0,2430
225,Kenneth Dixon,15577,kenneth-dixon,,,RB,70,&nbsp;,&nbsp;,&nbsp;,199.0,3208
226,Quincy Enunwa,12298,quincy-enunwa,,,WR,81,&nbsp;,&nbsp;,&nbsp;,224.5,1854
227,Atlanta Falcons,8010,,,8,DST,15,&nbsp;,&nbsp;,&nbsp;,202.0,
228,Arizona Cardinals,8000,,,9,DST,16,&nbsp;,&nbsp;,&nbsp;,203.0,
229,Mason Crosby,9433,mason-crosby,,,K,10,&nbsp;,&nbsp;,&nbsp;,210.0,59
230,Kalen Ballage,17250,kalen-ballage,,,RB,71,&nbsp;,&nbsp;,&nbsp;,204.0,4994
231,Ryan Tannehill,11174,ryan-tannehill,,,QB,28,&nbsp;,&nbsp;,&nbsp;,208.0,1049
232,Daniel Carlson,17420,daniel-carlson,LV,,K,11,&nbsp;,&nbsp;,&nbsp;,226.5,5095
233,Tennessee Titans,8300,,,8,DST,17,&nbsp;,&nbsp;,&nbsp;,209.0,
234,Jordan Matthews,12124,jordan-matthews,,,TE,26,&nbsp;,&nbsp;,&nbsp;,209.0,1800
235,Matt Prater,9443,matt-prater,,,K,12,&nbsp;,&nbsp;,&nbsp;,214.0,17
236,Dan Bailey,10970,dan-bailey,,,K,13,&nbsp;,&nbsp;,&nbsp;,277.5,899
237,James Washington,17254,james-washington,,,WR,82,&nbsp;,&nbsp;,&nbsp;,212.0,5024
238,Detroit Lions,8100,,,6,DST,18,&nbsp;,&nbsp;,&nbsp;,213.0,
239,Jake Butt,16456,jake-butt,,,TE,27,&nbsp;,&nbsp;,&nbsp;,214.0,4151
240,Adam Vinatieri,9004,adam-vinatieri,,,K,14,&nbsp;,&nbsp;,&nbsp;,250.0,120
241,Brandon McManus,13274,brandon-mcmanus,,,K,15,&nbsp;,&nbsp;,&nbsp;,235.5,1433
