rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,avg,sleeper_id
1,Christian McCaffrey,16393,christian-mccaffrey,SF,6,RB,1,1,1,&nbsp;,&nbsp;,&nbsp;,1.0,4034
2,Dalvin Cook,16374,dalvin-cook,,,RB,2,2,2,&nbsp;,&nbsp;,&nbsp;,2.0,4029
3,Alvin Kamara,16421,alvin-kamara,NO,6,RB,3,3,3,&nbsp;,&nbsp;,&nbsp;,3.0,4035
4,Derrick Henry,15514,derrick-henry,BAL,8,RB,4,4,4,&nbsp;,&nbsp;,&nbsp;,4.0,3198
5,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,5,5,5,&nbsp;,&nbsp;,&nbsp;,5.0,3164
6,Travis Kelce,11594,travis-kelce,KC,12,TE,1,6,7,&nbsp;,&nbsp;,&nbsp;,6.5,1466
7,Davante Adams,12123,davante-adams,LAR,11,WR,1,7,6,&nbsp;,&nbsp;,&nbsp;,6.5,2133
8,Jonathan Taylor,19217,jonathan-taylor,IND,14,RB,6,9,8,&nbsp;,&nbsp;,&nbsp;,8.5,6813
9,Tyreek Hill,15802,tyreek-hill,,,WR,2,10,10,&nbsp;,&nbsp;,&nbsp;,10.0,3321
10,Saquon Barkley,17240,saquon-barkley,PHI,14,RB,7,8,13,&nbsp;,&nbsp;,&nbsp;,10.5,4866
11,Austin Ekeler,16483,austin-ekeler,,,RB,8,12,9,&nbsp;,&nbsp;,&nbsp;,10.5,4663
12,Aaron Jones Sr.,16673,aaron-jones,MIN,7,RB,9,11,11,&nbsp;,&nbsp;,&nbsp;,11.0,4199
13,Nick Chubb,17246,nick-chubb,,,RB,10,13,12,&nbsp;,&nbsp;,&nbsp;,12.5,4988
14,Stefon Diggs,13981,stefon-diggs,,,WR,3,14,14,&nbsp;,&nbsp;,&nbsp;,14.0,2449
15,Antonio Gibson,19624,antonio-gibson,,,RB,11,15,15,&nbsp;,&nbsp;,&nbsp;,15.0,6945
16,Calvin Ridley,17258,calvin-ridley,TEN,13,WR,4,16,17,&nbsp;,&nbsp;,&nbsp;,16.5,4981
17,Najee Harris,19302,najee-harris-rb,LAC,7,RB,12,18,16,&nbsp;,&nbsp;,&nbsp;,17.0,7528
18,DeAndre Hopkins,11606,deandre-hopkins,BAL,8,WR,5,17,18,&nbsp;,&nbsp;,&nbsp;,17.5,1426
19,Joe Mixon,16420,joe-mixon,,,RB,13,19,20,&nbsp;,&nbsp;,&nbsp;,19.5,4018
20,DK Metcalf,18219,dk-metcalf,PIT,7,WR,6,20,21,&nbsp;,&nbsp;,&nbsp;,20.5,5846
21,Darren Waller,14104,darren-waller,,,TE,2,21,22,&nbsp;,&nbsp;,&nbsp;,21.5,2505
22,Justin Jefferson,19236,justin-jefferson,MIN,7,WR,7,22,23,&nbsp;,&nbsp;,&nbsp;,22.5,6794
23,A.J. Brown,18218,aj-brown,NE,14,WR,8,23,24,&nbsp;,&nbsp;,&nbsp;,23.5,5859
