rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,avg,sleeper_id
1,Saquon Barkley,17240,saquon-barkley,PHI,10,RB,1,&nbsp;,&nbsp;,1.0,4866
2,Christian McCaffrey,16393,christian-mccaffrey,SF,4,RB,2,&nbsp;,&nbsp;,2.5,4034
3,Alvin Kamara,16421,alvin-kamara,NO,9,RB,3,&nbsp;,&nbsp;,2.5,4035
4,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,4,&nbsp;,&nbsp;,4.0,3164
5,DeAndre Hopkins,11606,deandre-hopkins,BAL,8,WR,1,&nbsp;,&nbsp;,5.3,1426
6,James Conner,16447,james-conner,ARI,12,RB,5,&nbsp;,&nbsp;,6.5,4137
7,Le'Veon Bell,11645,leveon-bell,,,RB,6,&nbsp;,&nbsp;,7.5,1408
8,Davante Adams,12123,davante-adams,LAR,9,WR,2,&nbsp;,&nbsp;,9.0,2133
9,David Johnson,13948,david-johnson-rb,,,RB,7,&nbsp;,&nbsp;,9.3,2391
10,Nick Chubb,17246,nick-chubb,,,RB,8,&nbsp;,&nbsp;,10.5,4988
11,Todd Gurley II,13912,todd-gurley,,,RB,9,&nbsp;,&nbsp;,11.8,2315
12,Patrick Mahomes II,16413,patrick-mahomes,KC,12,QB,1,&nbsp;,&nbsp;,12.0,4046
13,Michael Thomas,15528,michael-thomas-wr,,,WR,3,&nbsp;,&nbsp;,12.8,3199
14,Julio Jones,9867,julio-jones,,,WR,4,&nbsp;,&nbsp;,13.0,947
15,Dalvin Cook,16374,dalvin-cook,,,RB,10,&nbsp;,&nbsp;,16.3,4029
16,Tyreek Hill,15802,tyreek-hill,,,WR,5,&nbsp;,&nbsp;,16.3,3321
17,JuJu Smith-Schuster,16427,juju-smith-schuster,NYG,11,WR,6,&nbsp;,&nbsp;,17.0,4040
18,Odell Beckham Jr.,12127,odell-beckham,NYG,11,WR,7,&nbsp;,&nbsp;,17.0,2078
19,Joe Mixon,16420,joe-mixon,,,RB,11,&nbsp;,&nbsp;,17.3,4018
20,Travis Kelce,11594,travis-kelce,KC,12,TE,1,&nbsp;,&nbsp;,18.8,1466
21,Leonard Fournette,16378,leonard-fournette,,,RB,12,&nbsp;,&nbsp;,21.5,3969
22,Mike Evans,12119,mike-evans,SF,4,WR,8,&nbsp;,&nbsp;,22.3,2216
23,Antonio Brown,9808,antonio-brown,,,WR,9,&nbsp;,&nbsp;,22.8,536
24,Adam Thielen,13429,adam-thielen,,,WR,10,&nbsp;,&nbsp;,25.5,1689
25,Damien Williams,12334,damien-williams,,,RB,13,&nbsp;,&nbsp;,26.0,1833
26,Keenan Allen,11616,keenan-allen,LAC,12,WR,11,&nbsp;,&nbsp;,26.8,1479
27,Kerryon Johnson,17247,kerryon-johnson,,,RB,14,&nbsp;,&nbsp;,27.0,5068
28,Aaron Jones Sr.,16673,aaron-jones,MIN,12,RB,15,&nbsp;,&nbsp;,28.0,4199
29,Zach Ertz,11689,zach-ertz,,,TE,2,&nbsp;,&nbsp;,31.3,1339
30,Chris Carson,16754,chris-carson,,,RB,16,&nbsp;,&nbsp;,31.8,4273
31,George Kittle,16499,george-kittle,SF,4,TE,3,&nbsp;,&nbsp;,32.8,4217
32,Josh Jacobs,18269,josh-jacobs,GB,11,RB,17,&nbsp;,&nbsp;,33.0,5850
33,Devonta Freeman,12108,devonta-freeman,,,RB,18,&nbsp;,&nbsp;,33.3,2168
34,Amari Cooper,13894,amari-cooper,,,WR,12,&nbsp;,&nbsp;,33.3,2309
35,Stefon Diggs,13981,stefon-diggs,,,WR,13,&nbsp;,&nbsp;,34.8,2449
36,Derrick Henry,15514,derrick-henry,BAL,8,RB,19,&nbsp;,&nbsp;,36.5,3198
37,Deshaun Watson,16398,deshaun-watson,CLE,7,QB,2,&nbsp;,&nbsp;,38.0,4017
38,David Montgomery,18239,david-montgomery,HOU,10,RB,20,&nbsp;,&nbsp;,39.0,5892
39,Marlon Mack,16444,marlon-mack,,,RB,21,&nbsp;,&nbsp;,39.0,4152
40,Brandin Cooks,12122,brandin-cooks,,,WR,14,&nbsp;,&nbsp;,39.3,2197
41,Mark Ingram II,9872,mark-ingram,,,RB,22,&nbsp;,&nbsp;,42.5,956
42,Robert Woods,11610,robert-woods,,,WR,15,&nbsp;,&nbsp;,43.3,1352
43,Julian Edelman,9332,julian-edelman,,,WR,16,&nbsp;,&nbsp;,44.0,344
44,Sony Michel,17309,sony-michel,,,RB,23,&nbsp;,&nbsp;,44.8,4962
