rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,avg,sleeper_id
1,Saquon Barkley,17240,saquon-barkley,PHI,10,RB,1,1,1,&nbsp;,&nbsp;,&nbsp;,1.0,4866
2,Christian McCaffrey,16393,christian-mccaffrey,SF,4,RB,2,2,2,&nbsp;,&nbsp;,&nbsp;,2.0,4034
3,Alvin Kamara,16421,alvin-kamara,NO,9,RB,3,3,3,&nbsp;,&nbsp;,&nbsp;,3.0,4035
4,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,4,4,4,&nbsp;,&nbsp;,&nbsp;,4.0,3164
5,DeAndre Hopkins,11606,deandre-hopkins,BAL,8,WR,1,5,5,&nbsp;,&nbsp;,&nbsp;,5.0,1426
6,David Johnson,13948,david-johnson-rb,,,RB,5,6,7,&nbsp;,&nbsp;,&nbsp;,6.3,2391
7,Le'Veon Bell,11645,leveon-bell,,,RB,6,8,6,&nbsp;,&nbsp;,&nbsp;,7.3,1408
8,Davante Adams,12123,davante-adams,LAR,9,WR,2,7,10,&nbsp;,&nbsp;,&nbsp;,8.0,2133
9,James Conner,16447,james-conner,ARI,12,RB,7,11,8,&nbsp;,&nbsp;,&nbsp;,10.3,4137
10,Nick Chubb,17246,nick-chubb,,,RB,8,14,9,&nbsp;,&nbsp;,&nbsp;,10.7,4988
11,Julio Jones,9867,julio-jones,,,WR,3,10,12,&nbsp;,&nbsp;,&nbsp;,10.7,947
12,Michael Thomas,15528,michael-thomas-wr,,,WR,4,9,15,&nbsp;,&nbsp;,&nbsp;,12.3,3199
13,Travis Kelce,11594,travis-kelce,KC,12,TE,1,15,11,&nbsp;,&nbsp;,&nbsp;,12.3,1466
14,Odell Beckham Jr.,12127,odell-beckham,NYG,11,WR,5,13,13,&nbsp;,&nbsp;,&nbsp;,13.3,2078
15,JuJu Smith-Schuster,16427,juju-smith-schuster,NYG,11,WR,6,12,14,&nbsp;,&nbsp;,&nbsp;,14.3,4040
16,Dalvin Cook,16374,dalvin-cook,,,RB,9,16,18,&nbsp;,&nbsp;,&nbsp;,16.7,4029
17,Todd Gurley II,13912,todd-gurley,,,RB,10,17,16,&nbsp;,&nbsp;,&nbsp;,17.0,2315
18,Tyreek Hill,15802,tyreek-hill,,,WR,7,21,17,&nbsp;,&nbsp;,&nbsp;,17.7,3321
19,Joe Mixon,16420,joe-mixon,,,RB,11,18,19,&nbsp;,&nbsp;,&nbsp;,19.0,4018
20,Mike Evans,12119,mike-evans,SF,4,WR,8,19,21,&nbsp;,&nbsp;,&nbsp;,19.7,2216
21,Antonio Brown,9808,antonio-brown,,,WR,9,20,22,&nbsp;,&nbsp;,&nbsp;,21.0,536
22,Patrick Mahomes II,16413,patrick-mahomes,KC,12,QB,1,22,20,&nbsp;,&nbsp;,&nbsp;,21.7,4046
23,Leonard Fournette,16378,leonard-fournette,,,RB,12,24,24,&nbsp;,&nbsp;,&nbsp;,23.3,3969
24,Adam Thielen,13429,adam-thielen,,,WR,10,26,26,&nbsp;,&nbsp;,&nbsp;,25.3,1689
25,George Kittle,16499,george-kittle,SF,4,TE,2,30,23,&nbsp;,&nbsp;,&nbsp;,26.3,4217
26,Kerryon Johnson,17247,kerryon-johnson,,,RB,13,27,25,&nbsp;,&nbsp;,&nbsp;,26.3,5068
27,Keenan Allen,11616,keenan-allen,LAC,12,WR,11,23,29,&nbsp;,&nbsp;,&nbsp;,26.7,1479
28,Damien Williams,12334,damien-williams,,,RB,14,25,36,&nbsp;,&nbsp;,&nbsp;,28.7,1833
29,Aaron Jones Sr.,16673,aaron-jones,MIN,12,RB,15,28,30,&nbsp;,&nbsp;,&nbsp;,29.3,4199
30,Zach Ertz,11689,zach-ertz,,,TE,3,29,28,&nbsp;,&nbsp;,&nbsp;,29.7,1339
31,Devonta Freeman,12108,devonta-freeman,,,RB,16,33,27,&nbsp;,&nbsp;,&nbsp;,30.3,2168
