rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,avg,sleeper_id
1,Antonio Brown,9808,antonio-brown,,,WR,1,&nbsp;,&nbsp;,1.0,536
2,Odell Beckham Jr.,12127,odell-beckham,NYG,8,WR,2,&nbsp;,&nbsp;,2.7,2078
3,Todd Gurley II,13912,todd-gurley,,,RB,1,&nbsp;,&nbsp;,3.5,2315
4,Julio Jones,9867,julio-jones,,,WR,3,&nbsp;,&nbsp;,4.3,947
5,David Johnson,13948,david-johnson-rb,,,RB,2,&nbsp;,&nbsp;,4.5,2391
6,Adrian Peterson,9006,adrian-peterson-min,,,RB,3,&nbsp;,&nbsp;,6.3,184
7,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,4,&nbsp;,&nbsp;,6.8,3164
8,DeAndre Hopkins,11606,deandre-hopkins,BAL,8,WR,4,&nbsp;,&nbsp;,8.2,1426
9,Rob Gronkowski,9721,rob-gronkowski,,,TE,1,&nbsp;,&nbsp;,10.2,515
10,A.J. Green,9857,aj-green,,,WR,5,&nbsp;,&nbsp;,10.5,830
11,Le'Veon Bell,11645,leveon-bell,,,RB,5,&nbsp;,&nbsp;,11.2,1408
12,Lamar Miller,11185,lamar-miller,,,RB,6,&nbsp;,&nbsp;,12.0,1048
13,Devonta Freeman,12108,devonta-freeman,,,RB,7,&nbsp;,&nbsp;,13.2,2168
14,Dez Bryant,9681,dez-bryant,,,WR,6,&nbsp;,&nbsp;,15.0,574
15,Allen Robinson II,12126,allen-robinson,,,WR,7,&nbsp;,&nbsp;,15.0,1992
16,Jordy Nelson,9320,jordy-nelson,,,WR,8,&nbsp;,&nbsp;,16.7,175
17,Cam Newton,9869,cam-newton,,,QB,1,&nbsp;,&nbsp;,18.8,954
18,Brandon Marshall,9064,brandon-marshall,,,WR,9,&nbsp;,&nbsp;,20.5,648
19,Mike Evans,12119,mike-evans,SF,8,WR,10,&nbsp;,&nbsp;,21.2,2216
20,Eddie Lacy,11636,eddie-lacy,,,RB,8,&nbsp;,&nbsp;,21.7,1527
21,Mark Ingram II,9872,mark-ingram,,,RB,9,&nbsp;,&nbsp;,22.2,956
22,Jamaal Charles,9258,jamaal-charles,,,RB,10,&nbsp;,&nbsp;,22.5,323
23,LeSean McCoy,9398,lesean-mccoy,,,RB,11,&nbsp;,&nbsp;,23.2,676
24,Doug Martin,11186,doug-martin,,,RB,12,&nbsp;,&nbsp;,23.5,1195
25,Aaron Rodgers,9001,aaron-rodgers,PIT,8,QB,2,&nbsp;,&nbsp;,24.5,96
26,Keenan Allen,11616,keenan-allen,LAC,,WR,11,&nbsp;,&nbsp;,25.2,1479
27,Amari Cooper,13894,amari-cooper,,,WR,12,&nbsp;,&nbsp;,25.2,2309
28,Alshon Jeffery,11199,alshon-jeffery,,,WR,13,&nbsp;,&nbsp;,25.8,1149
