rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
468,Seth DeValve,15671,seth-devalve,,,TE,65,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,440,440.0,3296
469,Nate Sudfeld,15833,nate-sudfeld,,,QB,56,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,441,441.0,3343
470,Lee Smith,9992,lee-smith,,,TE,66,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,442,442.0,812
471,Lance Kendricks,9912,lance-kendricks,,,TE,67,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,443,443.0,964
472,Eli Rogers,14307,eli-rogers,,,WR,157,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,444,444.0,2980
473,A.J. Derby,14072,aj-derby,,,TE,68,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,445,445.0,2503
474,Benny Cunningham Jr.,11863,benny-cunningham,,,RB,127,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,446,446.0,1564
475,Chad Hansen,16430,chad-hansen,,,WR,158,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,447,447.0,4175
476,De'Anthony Thomas,12107,deanthony-thomas,,,WR,159,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,448,448.0,2023
477,Jamize Olawale,11482,jamize-olawale,,,RB,128,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,449,449.0,
478,Chris Herndon IV,17536,chris-herndon-iv,,,TE,69,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,450,450.0,5009
479,Nick O'Leary,13957,nick-oleary,,,TE,70,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,451,451.0,2495
480,Logan Paulsen,9850,logan-paulsen,,,TE,71,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,452,452.0,587
481,Geno Smith,11687,geno-smith,NYJ,11,QB,57,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,453,453.0,1373
482,Mason Rudolph,17234,mason-rudolph,PIT,7,QB,58,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,454,454.0,4972
483,Josh Hill,13565,josh-hill-te,,,TE,72,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,455,455.0,1777
484,Blaine Gabbert,9858,blaine-gabbert,,,QB,59,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,456,456.0,862
485,Kendrick Bourne,17066,kendrick-bourne,ARI,9,WR,160,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,457,457.0,4454
486,Josh Reynolds,16439,josh-reynolds,,,WR,161,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,458,458.0,4171
