rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,avg,sleeper_id
1,Christian McCaffrey,16393,christian-mccaffrey,SF,11,RB,1,1,1,&nbsp;,&nbsp;,&nbsp;,1.0,4034
2,Saquon Barkley,17240,saquon-barkley,PHI,9,RB,2,2,2,&nbsp;,&nbsp;,&nbsp;,2.0,4866
3,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,3,3,3,&nbsp;,&nbsp;,&nbsp;,3.0,3164
4,Alvin Kamara,16421,alvin-kamara,NO,6,RB,4,4,4,&nbsp;,&nbsp;,&nbsp;,4.0,4035
5,Dalvin Cook,16374,dalvin-cook,,,RB,5,5,5,&nbsp;,&nbsp;,&nbsp;,5.0,4029
6,Michael Thomas,15528,michael-thomas-wr,,,WR,1,6,6,&nbsp;,&nbsp;,&nbsp;,6.0,3199
7,Derrick Henry,15514,derrick-henry,BAL,7,RB,6,7,7,&nbsp;,&nbsp;,&nbsp;,7.0,3198
8,Clyde Edwards-Helaire,19325,clyde-edwards-helaire,,,RB,7,8,8,&nbsp;,&nbsp;,&nbsp;,8.0,6820
9,Joe Mixon,16420,joe-mixon,,,RB,8,9,9,&nbsp;,&nbsp;,&nbsp;,9.0,4018
10,Davante Adams,12123,davante-adams,LAR,9,WR,2,10,11,&nbsp;,&nbsp;,&nbsp;,10.5,2133
11,Miles Sanders,18283,miles-sanders,,,RB,9,11,10,&nbsp;,&nbsp;,&nbsp;,10.5,6151
12,Josh Jacobs,18269,josh-jacobs,GB,5,RB,10,13,12,&nbsp;,&nbsp;,&nbsp;,12.5,5850
13,Kenyan Drake,15637,kenyan-drake,,,RB,11,14,14,&nbsp;,&nbsp;,&nbsp;,14.0,3242
14,Austin Ekeler,16483,austin-ekeler,,,RB,12,16,13,&nbsp;,&nbsp;,&nbsp;,14.5,4663
15,Nick Chubb,17246,nick-chubb,,,RB,13,12,19,&nbsp;,&nbsp;,&nbsp;,15.5,4988
16,Tyreek Hill,15802,tyreek-hill,,,WR,3,15,16,&nbsp;,&nbsp;,&nbsp;,15.5,3321
17,Aaron Jones Sr.,16673,aaron-jones,MIN,7,RB,14,17,17,&nbsp;,&nbsp;,&nbsp;,17.0,4199
18,DeAndre Hopkins,11606,deandre-hopkins,BAL,7,WR,4,20,15,&nbsp;,&nbsp;,&nbsp;,17.5,1426
19,Travis Kelce,11594,travis-kelce,KC,10,TE,1,19,18,&nbsp;,&nbsp;,&nbsp;,18.5,1466
20,Julio Jones,9867,julio-jones,,,WR,5,18,20,&nbsp;,&nbsp;,&nbsp;,19.0,947
21,George Kittle,16499,george-kittle,SF,11,TE,2,21,24,&nbsp;,&nbsp;,&nbsp;,22.5,4217
22,Chris Godwin Jr.,16406,chris-godwin,TB,13,WR,6,22,23,&nbsp;,&nbsp;,&nbsp;,22.5,4037
23,Lamar Jackson,17233,lamar-jackson,BAL,7,QB,1,24,22,&nbsp;,&nbsp;,&nbsp;,23.0,4881
24,Patrick Mahomes II,16413,patrick-mahomes,KC,10,QB,2,26,21,&nbsp;,&nbsp;,&nbsp;,23.5,4046
25,Kenny Golladay,16488,kenny-golladay,,,WR,7,23,26,&nbsp;,&nbsp;,&nbsp;,24.5,4131
26,James Conner,16447,james-conner,ARI,8,RB,15,28,27,&nbsp;,&nbsp;,&nbsp;,27.5,4137
27,Mike Evans,12119,mike-evans,SF,11,WR,8,25,31,&nbsp;,&nbsp;,&nbsp;,28.0,2216
28,DJ Moore,17265,dj-moore-wr,BUF,11,WR,9,27,29,&nbsp;,&nbsp;,&nbsp;,28.0,4983
29,Chris Carson,16754,chris-carson,,,RB,16,35,25,&nbsp;,&nbsp;,&nbsp;,30.0,4273
30,Todd Gurley II,13912,todd-gurley,,,RB,17,33,28,&nbsp;,&nbsp;,&nbsp;,30.5,2315
31,Allen Robinson II,12126,allen-robinson,,,WR,10,29,32,&nbsp;,&nbsp;,&nbsp;,30.5,1992
32,Jonathan Taylor,19217,jonathan-taylor,IND,7,RB,18,30,36,&nbsp;,&nbsp;,&nbsp;,33.0,6813
33,Odell Beckham Jr.,12127,odell-beckham,NYG,11,WR,11,34,34,&nbsp;,&nbsp;,&nbsp;,34.0,2078
34,Melvin Gordon III,13903,melvin-gordon,,,RB,19,32,37,&nbsp;,&nbsp;,&nbsp;,34.5,2320
35,Le'Veon Bell,11645,leveon-bell,,,RB,20,39,33,&nbsp;,&nbsp;,&nbsp;,36.0,1408
36,David Johnson,13948,david-johnson-rb,,,RB,21,43,30,&nbsp;,&nbsp;,&nbsp;,36.5,2391
37,Cooper Kupp,16433,cooper-kupp,SEA,6,WR,12,41,35,&nbsp;,&nbsp;,&nbsp;,38.0,4039
38,JuJu Smith-Schuster,16427,juju-smith-schuster,NYG,11,WR,13,37,39,&nbsp;,&nbsp;,&nbsp;,38.0,4040
