rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
1,David Johnson,13948,david-johnson-rb,,,RB,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,1.0,2391
2,Le'Veon Bell,11645,leveon-bell,,,RB,2,2,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,2.0,1408
3,Antonio Brown,9808,antonio-brown,,,WR,1,3,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,3.0,536
4,Julio Jones,9867,julio-jones,,,WR,2,4,&nbsp;,&nbsp;,&nbsp;,&nbsp;,4,4.0,947
5,Odell Beckham Jr.,12127,odell-beckham,NYG,8,WR,3,5,&nbsp;,&nbsp;,&nbsp;,&nbsp;,6,5.2,2078
6,LeSean McCoy,9398,lesean-mccoy,,,RB,3,6,&nbsp;,&nbsp;,&nbsp;,&nbsp;,5,6.4,676
7,Mike Evans,12119,mike-evans,SF,11,WR,4,9,&nbsp;,&nbsp;,&nbsp;,&nbsp;,7,7.0,2216
8,A.J. Green,9857,aj-green,,,WR,5,10,&nbsp;,&nbsp;,&nbsp;,&nbsp;,9,8.6,830
9,Devonta Freeman,12108,devonta-freeman,,,RB,4,8,&nbsp;,&nbsp;,&nbsp;,&nbsp;,10,9.4,2168
10,Melvin Gordon III,13903,melvin-gordon,,,RB,5,11,&nbsp;,&nbsp;,&nbsp;,&nbsp;,8,9.6,2320
11,Jordy Nelson,9320,jordy-nelson,,,WR,6,7,&nbsp;,&nbsp;,&nbsp;,&nbsp;,12,10.4,175
12,Michael Thomas,15528,michael-thomas-wr,,,WR,7,12,&nbsp;,&nbsp;,&nbsp;,&nbsp;,11,12.0,3199
13,Jordan Howard,15585,jordan-howard,,,RB,6,13,&nbsp;,&nbsp;,&nbsp;,&nbsp;,15,14.4,3306
14,DeMarco Murray,9896,demarco-murray,,,RB,7,14,&nbsp;,&nbsp;,&nbsp;,&nbsp;,14,14.4,904
15,Jay Ajayi,13940,jay-ajayi,,,RB,8,15,&nbsp;,&nbsp;,&nbsp;,&nbsp;,19,15.0,2452
16,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,9,21,&nbsp;,&nbsp;,&nbsp;,&nbsp;,13,15.4,3164
17,Amari Cooper,13894,amari-cooper,,,WR,8,19,&nbsp;,&nbsp;,&nbsp;,&nbsp;,16,18.0,2309
18,Todd Gurley II,13912,todd-gurley,,,RB,10,18,&nbsp;,&nbsp;,&nbsp;,&nbsp;,17,18.6,2315
19,Brandin Cooks,12122,brandin-cooks,,,WR,9,16,&nbsp;,&nbsp;,&nbsp;,&nbsp;,23,19.8,2197
20,Rob Gronkowski,9721,rob-gronkowski,,,TE,1,17,&nbsp;,&nbsp;,&nbsp;,&nbsp;,22,19.8,515
21,Dez Bryant,9681,dez-bryant,,,WR,10,24,&nbsp;,&nbsp;,&nbsp;,&nbsp;,20,20.2,574
22,Aaron Rodgers,9001,aaron-rodgers,PIT,9,QB,1,20,&nbsp;,&nbsp;,&nbsp;,&nbsp;,18,22.8,96
23,Doug Baldwin,10992,doug-baldwin,,,WR,11,23,&nbsp;,&nbsp;,&nbsp;,&nbsp;,25,22.8,988
24,Leonard Fournette,16378,leonard-fournette,,,RB,11,26,&nbsp;,&nbsp;,&nbsp;,&nbsp;,21,24.8,3969
