rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
51,Diontae Johnson,18615,diontae-johnson,,,WR,21,53,60,&nbsp;,49,54,51,51.8,5937
52,DJ Moore,17265,dj-moore-wr,BUF,7,WR,22,54,50,&nbsp;,61,51,48,53.4,4983
53,Aaron Rodgers,9001,aaron-rodgers,PIT,7,QB,5,48,57,&nbsp;,43,64,63,54.4,96
54,Russell Wilson,11180,russell-wilson,,,QB,6,55,49,&nbsp;,47,65,61,55.6,1234
55,Dak Prescott,15600,dak-prescott,DAL,7,QB,7,51,59,&nbsp;,45,58,58,56.0,3294
56,Mike Davis,13943,mike-davis-rb,,,RB,22,67,64,&nbsp;,52,45,382,56.8,2431
57,Kareem Hunt,16425,kareem-hunt,,,RB,23,58,53,&nbsp;,58,59,52,57.2,4098
58,T.J. Hockenson,18290,tj-hockenson,MIN,7,TE,6,57,55,&nbsp;,55,60,60,58.2,5844
59,Darrell Henderson Jr.,18588,darrell-henderson,,,RB,24,75,45,&nbsp;,70,52,65,60.0,5916
60,Javonte Williams,22739,javonte-williams,DAL,7,RB,25,63,62,&nbsp;,84,48,56,60.6,7588
61,Brandon Aiyuk,19252,brandon-aiyuk,SF,6,WR,23,59,61,&nbsp;,64,62,57,60.8,6803
62,Chase Edmonds,17496,chase-edmonds,WAS,9,RB,26,56,70,&nbsp;,83,55,62,62.0,5000
63,Justin Herbert,18635,justin-herbert,LAC,7,QB,8,62,54,&nbsp;,50,67,69,62.2,6797
64,Tee Higgins,19211,tee-higgins,CIN,10,WR,24,60,66,&nbsp;,77,66,59,64.8,6801
65,Odell Beckham Jr.,12127,odell-beckham,NYG,10,WR,25,65,65,&nbsp;,66,75,66,67.8,2078
66,Raheem Mostert,14338,raheem-mostert,LV,8,RB,27,79,72,&nbsp;,85,63,70,68.8,2749
67,Chase Claypool,18627,chase-claypool,,,WR,26,71,71,&nbsp;,63,70,67,69.2,6886
68,JuJu Smith-Schuster,16427,juju-smith-schuster,NYG,10,WR,27,68,69,&nbsp;,73,71,73,70.8,4040
69,Tom Brady,9603,tom-brady,,,QB,9,64,75,&nbsp;,57,78,76,71.8,167
70,Damien Harris,18230,damien-harris-rb,,,RB,28,76,88,&nbsp;,113,57,72,72.0,5890
71,Jerry Jeudy,19201,jerry-jeudy,CLE,13,WR,28,69,76,&nbsp;,82,74,71,72.4,6783
72,Ja'Marr Chase,19788,jamarr-chase,CIN,10,WR,29,78,58,&nbsp;,81,86,55,74.4,7564
73,Kenny Golladay,16488,kenny-golladay,,,WR,30,72,67,&nbsp;,79,73,68,74.8,4131
74,DeVonta Smith,19222,devonta-smith,PHI,14,WR,31,81,73,&nbsp;,78,76,64,77.0,7525
75,Robbie Chosen,15688,robby-anderson,,,WR,32,70,80,&nbsp;,88,77,74,77.4,3423
76,Michael Thomas,15528,michael-thomas-wr,,,WR,33,89,63,&nbsp;,80,91,75,79.2,3199
77,Courtland Sutton,17253,courtland-sutton,DEN,11,WR,34,73,81,&nbsp;,96,69,78,79.6,5045
78,Melvin Gordon III,13903,melvin-gordon,,,RB,29,103,77,&nbsp;,87,79,81,79.6,2320
79,Logan Thomas,12095,logan-thomas,,,TE,7,66,103,&nbsp;,94,80,87,81.2,2251
80,Noah Fant,17527,noah-fant,NO,6,TE,8,80,74,&nbsp;,90,89,84,84.2,5857
81,Leonard Fournette,16378,leonard-fournette,,,RB,30,87,78,&nbsp;,92,87,88,86.4,3969
82,Trey Sermon,19425,trey-sermon,,,RB,31,120,82,&nbsp;,118,68,83,87.2,7593
83,Deebo Samuel Sr.,18244,deebo-samuel,,,WR,35,92,84,&nbsp;,128,81,79,88.0,5872
84,Matthew Stafford,9451,matthew-stafford,LAR,11,QB,10,93,89,&nbsp;,69,88,90,88.2,421
85,Robert Tonyan,16502,robert-tonyan,PIT,7,TE,9,88,93,&nbsp;,76,90,103,88.4,4602
86,Tyler Boyd,15547,tyler-boyd,,,WR,36,82,102,&nbsp;,109,94,77,91.2,3225
87,Ronald Jones II,17243,ronald-jones-ii,,,RB,32,121,83,&nbsp;,127,72,85,91.8,
88,Laviska Shenault Jr.,19221,laviska-shenault,,,WR,37,83,96,&nbsp;,145,95,92,91.8,6814
89,Brandin Cooks,12122,brandin-cooks,,,WR,38,77,94,&nbsp;,100,100,91,92.8,2197
90,Michael Carter,22728,michael-carter-rb,TEN,13,RB,33,134,95,&nbsp;,107,82,82,93.4,7607
91,Ryan Tannehill,11174,ryan-tannehill,,,QB,11,98,98,&nbsp;,93,85,94,93.4,1049
92,Antonio Brown,9808,antonio-brown,,,WR,39,104,97,&nbsp;,110,92,86,94.6,536
93,Corey Davis,16385,corey-davis,,,WR,40,94,105,&nbsp;,135,84,99,95.6,4036
94,Jalen Hurts,19275,jalen-hurts,PHI,14,QB,12,97,107,&nbsp;,86,99,95,97.0,6904
95,Dallas Goedert,17270,dallas-goedert,PHI,14,TE,10,99,85,&nbsp;,97,105,98,99.2,5022
96,James Conner,16447,james-conner,ARI,12,RB,34,107,101,&nbsp;,121,96,96,100.8,4137
97,DJ Chark Jr.,17292,dj-chark,,,WR,41,111,79,&nbsp;,117,106,80,102.0,4951
98,Jarvis Landry,12128,jarvis-landry,,,WR,42,101,91,&nbsp;,124,111,89,103.4,1825
99,Tampa Bay Buccaneers,8290,,,9,DST,1,74,92,&nbsp;,72,144,119,105.4,
100,AJ Dillon,19358,aj-dillon,CAR,13,RB,35,113,112,&nbsp;,142,101,93,105.8,6828
101,Michael Pittman Jr.,19278,michael-pittman,PIT,7,WR,43,129,111,&nbsp;,104,97,111,106.4,6819
102,Kenyan Drake,15637,kenyan-drake,,,RB,36,102,104,&nbsp;,140,107,102,106.4,3242
103,Zack Moss,19263,zack-moss,,,RB,37,123,110,&nbsp;,120,83,100,106.6,6845
104,Jaylen Waddle,19790,jaylen-waddle,DEN,11,WR,44,110,87,&nbsp;,133,108,101,107.4,7526
105,Los Angeles Rams,8280,,,11,DST,2,115,99,&nbsp;,60,131,106,107.8,
106,William Fuller V,15629,will-fuller,,,WR,45,85,116,&nbsp;,106,112,97,109.8,3157
107,Mike Gesicki,17272,mike-gesicki,CIN,10,TE,11,109,90,&nbsp;,114,113,125,109.8,4993
