rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,avg,sleeper_id
176,Kimani Vidal,26355,kimani-vidal,LAC,5,RB,54,192,173,161,175.3,11647
177,Luke Musgrave,25282,luke-musgrave,GB,10,TE,19,206,147,175,176.0,9481
178,Deshaun Watson,16398,deshaun-watson,CLE,10,QB,24,185,178,165,176.0,4017
179,Khalil Herbert,22763,khalil-herbert,,,RB,55,180,187,171,179.3,7608
180,Jordan Mason,22969,jordan-mason,MIN,6,RB,56,154,244,142,180.0,8408
181,Jahan Dotson,23101,jahan-dotson,ATL,12,WR,66,150,163,228,180.3,8119
182,Josh Downs,24706,josh-downs,IND,14,WR,67,188,165,189,180.7,9500
183,Russell Wilson,11180,russell-wilson,,,QB,25,125,241,182,182.7,1234
184,Justin Fields,19781,justin-fields,KC,6,QB,26,135,204,209,182.7,7591
185,Tyler Bass,19760,tyler-bass,BUF,12,K,10,160,157,235,184.0,7042
186,Miami Dolphins,8160,,,6,DST,8,138,203,215,185.3,
187,Tyler Conklin,17598,tyler-conklin,DET,5,TE,20,194,191,181,188.7,5133
188,Buffalo Bills,8030,,,12,DST,9,136,256,180,190.7,
189,Geno Smith,11687,geno-smith,NYJ,12,QB,27,208,198,166,190.7,1373
190,Jonnu Smith,16460,jonnu-smith,,,TE,21,139,234,211,194.7,4144
191,Hunter Henry,15561,hunter-henry,NE,14,TE,22,215,183,193,197.0,3214
192,Cameron Dicker,23901,cameron-dicker,LAC,5,K,11,216,156,223,198.3,8259
193,Chig Okonkwo,23982,chigoziem-okonkwo,WAS,14,TE,23,210,207,195,204.0,8210
194,Cade Otton,23181,cade-otton,TB,11,TE,24,217,179,220,205.3,8111
195,Ben Sinnott,26310,ben-sinnott,WAS,14,TE,25,203,170,246,206.3,11596
196,Jason Myers,14003,jason-myers,SEA,10,K,12,207,212,214,211.0,2747
197,Philadelphia Eagles,8230,,,5,DST,10,199,205,231,211.7,
198,Zach Ertz,11689,zach-ertz,,,TE,26,129,262,254,215.0,1339
199,Braelon Allen,24346,braelon-allen,NYJ,12,RB,57,&nbsp;,180,160,170.0,11576
200,Darnell Mooney,19810,darnell-mooney,NYG,11,WR,68,&nbsp;,175,168,171.5,7090
201,Daniel Carlson,17420,daniel-carlson,LV,10,K,13,184,214,253,217.0,5095
202,Michael Wilson,25333,michael-wilson,ARI,11,WR,69,&nbsp;,190,159,174.5,10232
203,Noah Fant,17527,noah-fant,NO,12,TE,27,214,218,232,221.3,5857
204,Tyrone Tracy Jr.,22980,tyrone-tracy-jr,NYG,11,RB,58,&nbsp;,184,174,179.0,11655
205,Houston Texans,8120,,,14,DST,11,211,258,198,222.3,
206,Las Vegas Raiders,8220,,,10,DST,12,167,261,241,223.0,
207,Tampa Bay Buccaneers,8290,,,11,DST,13,193,210,272,225.0,
208,New Orleans Saints,8190,,,12,DST,14,224,250,203,225.7,
209,Dawson Knox,18631,dawson-knox,BUF,12,TE,28,137,271,281,229.7,5906
210,Quentin Johnston,23123,quentin-johnston,LAC,5,WR,70,&nbsp;,182,202,192.0,9754
211,Seattle Seahawks,8260,,,10,DST,15,209,213,271,231.0,
212,DeMario Douglas,25304,demario-douglas,NE,14,WR,71,&nbsp;,185,208,196.5,9501
213,Bryce Young,22900,bryce-young,CAR,11,QB,28,&nbsp;,223,173,198.0,9228
214,Detroit Lions,8100,,,5,DST,16,198,247,259,234.7,
215,Derek Carr,12092,derek-carr,,,QB,29,&nbsp;,239,167,203.0,2028
216,Tank Bigsby,22908,tank-bigsby,PHI,5,RB,59,&nbsp;,217,191,204.0,9225
217,Daniel Jones,18232,daniel-jones,IND,14,QB,30,&nbsp;,235,177,206.0,5870
218,New York Giants,8200,,,11,DST,17,168,265,286,239.7,
219,New England Patriots,8180,,,14,DST,18,165,252,&nbsp;,208.5,
220,Drake Maye,23046,drake-maye,NE,14,QB,31,&nbsp;,221,200,210.5,11564
221,Troy Franklin,23092,troy-franklin,DEN,14,WR,72,&nbsp;,174,249,211.5,11627
222,Alexander Mattison,18621,alexander-mattison,,,RB,60,&nbsp;,224,199,211.5,5987
223,Jermaine Burton,22956,jermaine-burton,,,WR,73,&nbsp;,196,229,212.5,11640
224,Sam Darnold,17236,sam-darnold,SEA,10,QB,32,&nbsp;,246,183,214.5,4943
225,Audric Estime,23054,audric-estime,NO,12,RB,61,&nbsp;,209,221,215.0,11579
226,Matt Gay,18545,matt-gay,LV,10,K,14,219,&nbsp;,216,217.5,6083
227,Chicago Bears,8050,,,7,DST,19,221,292,230,247.7,
228,Luke McCaffrey,26328,luke-mccaffrey,WAS,14,WR,74,&nbsp;,199,239,219.0,11650
229,Dameon Pierce,22947,dameon-pierce,PHI,5,RB,62,&nbsp;,192,247,219.5,8129
230,Cincinnati Bengals,8060,,,12,DST,20,223,&nbsp;,219,221.0,
231,Will Reichard,26341,will-reichard,MIN,6,K,15,186,&nbsp;,257,221.5,11792
232,Roschon Johnson,25322,roschon-johnson,CHI,7,RB,63,&nbsp;,231,212,221.5,10235
233,Wan'Dale Robinson,22985,wandale-robinson,TEN,5,WR,75,&nbsp;,226,217,221.5,8126
234,Marvin Mims Jr.,23080,marvin-mims,DEN,14,WR,76,&nbsp;,206,238,222.0,9494
235,Atlanta Falcons,8010,,,12,DST,21,201,&nbsp;,245,223.0,
236,Jamaal Williams,16424,jamaal-williams,,,RB,64,&nbsp;,254,194,224.0,4149
237,Kendre Miller,24360,kendre-miller,NO,12,RB,65,&nbsp;,166,283,224.5,9757
238,Ricky Pearsall,26214,ricky-pearsall,SF,9,WR,77,&nbsp;,169,280,224.5,11638
239,Indianapolis Colts,8130,,,14,DST,22,225,317,226,256.0,
240,Chris Boswell,13029,chris-boswell,PIT,9,K,16,145,&nbsp;,&nbsp;,145.0,1945
241,Gardner Minshew II,18562,gardner-minshew,ARI,11,QB,33,&nbsp;,269,184,226.5,6011
242,Rashod Bateman,19794,rashod-bateman,BAL,14,WR,78,&nbsp;,202,251,226.5,7571
243,Will Shipley,22930,will-shipley,PHI,5,RB,66,&nbsp;,219,234,226.5,11577
244,Green Bay Packers,8110,,,10,DST,23,218,310,236,254.7,
