rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,real_time,avg,sleeper_id
310,Sawyer Robertson,23035,sawyer-robertson,,,QB,41,,283,,,283,13426
311,Emari Demercado,25654,emari-demercado,DAL,14,RB,89,,,283,,283,11199
312,Rashod Bateman,19794,rashod-bateman,BAL,13,WR,96,,,284,226,284,7571
313,Jeremiah Haydel,23359,jeremiah-haydel,,,WR,97,,285,,,285,7874
314,Darnell Mooney,19810,darnell-mooney,NYG,8,WR,98,,286,,,286,7090
315,Alec Holler,26684,alec-holler,,,TE,43,,287,,,287,12085
316,Tory Horton,26022,tory-horton,SEA,11,WR,99,,288,,,288,12497
317,Tulu Griffin,26405,lideatrick-griffin,,,WR,100,,289,,,289,11886
318,Tennessee Titans DST,8300,,,9,DST,21,,,290,232,290,
319,New York Jets DST,8210,,,13,DST,22,,,291,,291,
320,Logan Kilgore,13545,logan-kilgore,,,QB,42,,291,,,291,2206
321,Theo Johnson,23104,theo-johnson,NYG,8,TE,44,,292,,,292,11597
322,Jack Bech,27224,jack-bech,LV,13,WR,101,,,292,,292,12483
323,Michael Mayer,23056,michael-mayer,LV,13,TE,45,,,293,,293,9482
324,OJ Hiliare,26630,odieu-hiliare,,,WR,102,,293,,,293,12033
325,Zavion Thomas,28132,zavion-thomas,CHI,10,WR,103,,,294,,294,13411
326,Derrick Johnson,13788,derrick-johnson-wr,,,WR,104,,295,,,295,1842
327,Roschon Johnson,25322,roschon-johnson,CHI,10,RB,90,,,296,,296,10235
328,Trey Benson,25388,trey-benson,ARI,14,RB,91,,296,,,296,11589
329,Las Vegas Raiders DST,8220,,,13,DST,23,,,297,,297,
330,Troy Franklin,23092,troy-franklin,DEN,10,WR,105,,297,,,297,11627
331,Riley Lees,23422,riley-lees,,,WR,106,,298,,,298,7988
332,Isaiah Davis,25977,isaiah-davis,NYJ,13,RB,92,,,298,,298,11571
333,T.J. Logan,16481,tj-logan,,,RB,93,,299,,,299,4186
334,Nay'Quan Wright,24338,nayquan-wright,,,RB,94,,303,,,303,13250
335,Brandon Aiyuk,19252,brandon-aiyuk,SF,8,WR,107,,304,,,304,6803
336,Junior Bergen,27552,junior-bergen,,,WR,108,,306,,,306,12743
337,Broc Rutter,19967,broc-rutter,,,QB,43,,309,,,309,7418
338,Chandler Morris,28508,chandler-morris,,,QB,44,,310,,,310,13592
339,Aeneas Dennis,26917,aeneas-dennis,,,QB,45,,311,,,311,12361
340,E.J. Warner,28854,ej-warner,,,QB,46,,312,,,312,13989
341,Taysir Mack,24231,taysir-mack,,,WR,109,,313,,,313,8613
342,Jeremy Moussa,26910,jeremy-moussa,,,QB,47,,314,,,314,12352
344,Carter Bradley,26384,carter-bradley,,,QB,48,,318,,,318,11851
345,Caleb Shudak,24588,caleb-shudak,,,K,24,,319,,,319,8536
346,Quintin Morris,22820,quintin-morris,JAC,7,TE,46,,320,,,320,7536
347,Troymaine Pope,16335,troymaine-pope,,,RB,95,,321,,,321,3934
348,J.J. Jones,17732,jj-jones,,,WR,110,,322,,,322,12913
349,Chase Cota,26092,chase-cota-wr,,,WR,111,,324,,,324,
350,David Bell,23108,david-bell,,,WR,112,,325,,,325,8118
351,Ian Bunting,19013,ian-bunting,,,TE,47,,326,,,326,6308
352,Hayden Hatten,26415,hayden-hatten,,,WR,113,,327,,,327,11607
353,Caleb Chapman,26952,caleb-chapman,,,WR,114,,328,,,328,12399
354,Tyree Jackson,18591,tyree-jackson,,,TE,48,,329,,,329,6040
355,Ed Lee,25960,ed-lee,,,WR,115,,331,,,331,11529
356,Connor Bazelak,27585,connor-bazelak,,,QB,49,,333,,,333,12776
357,La'Michael Pettway,26076,lamichael-pettway,,,TE,49,,336,,,336,11540
358,Noah Brown,16443,noah-brown,,,WR,116,,337,,,337,4234
359,Lawrence Keys III,26608,lawrence-keys-iii,,,WR,117,,339,,,339,12001
360,Mike White,17447,mike-white,,,QB,50,,342,,,342,5089
361,Ryan Izzo,17541,ryan-izzo,,,TE,50,,343,,,343,5094
362,Isaac Rex,26430,isaac-rex,,,TE,51,,344,,,344,12126
363,John Brown,12231,john-brown,,,WR,118,,345,,,345,2238
364,Cam Miller,27289,cam-miller,,,QB,51,,348,,,348,12688
365,Garrett Gilbert,12302,garrett-gilbert,,,QB,52,,349,,,349,2229
366,Anthony McFarland Jr.,19366,anthony-mcfarland,,,RB,96,,350,,,350,6878
