year,name,position,team,sleeper_id,overall_rank,bb_avg_adp,bb_stack_rank,bb_eff_rank,half_stack_rank,std_stack_rank,scoring_rank_shift,hwang_eff_rank,hwang_adjusted_adp,hwang_pos_rank,adp_delta,adp_source,scoring_source
2026,Colston Loveland,TE,CHI,12517,36,38.0,3,2.91,,,,3.0,38.0,3,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Zay Flowers,WR,BAL,9997,37,32.8,15,15.07,15,17,2,17.07,38.8,16,6.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Tetairoa McMillan,WR,CAR,12526,38,44.0,22,21.36,18,15,-3,18.36,40.0,17,-4.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jaylen Waddle,WR,DEN,7526,39,39.4,18,17.5,20,21,1,18.5,40.3,18,0.9,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,DeVonta Smith,WR,PHI,7525,40,29.4,13,13.81,13,18,5,18.81,40.9,19,11.5,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,DJ Moore,WR,BUF,4983,41,41.2,19,19.64,22,22,0,19.0,41.2,20,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Ladd McConkey,WR,LAC,11635,42,35.4,16,15.87,16,20,4,19.87,41.5,21,6.1,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Tee Higgins,WR,CIN,6801,43,41.6,20,19.33,17,19,2,21.33,43.7,22,2.1,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jameson Williams,WR,DET,8148,44,50.2,24,24.22,26,25,-1,23.22,46.8,23,-3.4,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Bucky Irving,RB,TB,11584,45,50.6,21,21.2,20,18,-2,19.2,47.6,18,-3.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,D'Andre Swift,RB,CHI,6790,46,42.8,18,18.1,19,21,2,20.1,48.4,19,5.6,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Quinshon Judkins,RB,CLE,12512,47,52.2,22,22.14,21,19,-2,20.14,48.5,20,-3.7,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Emeka Egbuka,WR,TB,12514,48,43.6,21,21.67,21,23,2,23.67,48.7,24,5.1,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,David Montgomery,RB,HOU,5892,49,48.2,20,19.5,22,23,1,20.5,49.4,21,1.2,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Bhayshul Tuten,RB,JAC,12490,50,53.4,23,23.0,24,22,-2,21.0,50.6,22,-2.8,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Lamar Jackson,QB,BAL,4881,51,51.0,2,2.59,,,,2.0,51.0,2,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Cam Skattebo,RB,NYG,12481,52,47.4,19,19.7,18,20,2,21.7,51.7,23,4.3,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Davante Adams,WR,LAR,2133,53,53.0,25,25.56,25,24,-1,24.56,51.8,25,-1.2,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Tyler Warren,TE,IND,12518,54,53.8,4,3.99,,,,4.0,53.8,4,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Parker Washington,WR,JAC,9487,55,53.8,26,25.5,29,30,1,26.5,55.0,26,1.2,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Christian Watson,WR,GB,8167,56,58.0,28,28.29,28,27,-1,27.29,56.7,27,-1.3,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Joe Burrow,QB,CIN,6770,57,57.0,3,3.43,,,,3.0,57.0,3,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,RJ Harvey,RB,DEN,12489,58,84.2,31,31.38,35,28,-7,24.38,57.9,24,-26.3,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Mike Evans,WR,SF,2216,59,63.6,30,29.85,30,29,-1,28.85,58.9,28,-4.7,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,TreVeyon Henderson,RB,NE,12529,60,64.8,26,25.55,25,24,-1,24.55,59.3,25,-5.5,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Drake Maye,QB,NE,11564,61,59.4,4,3.36,,,,4.0,59.4,4,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Terry McLaurin,WR,WAS,5927,62,56.2,27,27.14,24,26,2,29.14,59.6,29,3.4,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jaylen Warren,RB,PIT,8228,63,69.0,27,26.68,27,25,-2,24.68,60.4,26,-8.6,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Rome Odunze,WR,CHI,11620,64,59.0,29,28.36,27,28,1,29.36,60.7,30,1.7,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Rhamondre Stevenson,RB,NE,7611,65,63.2,25,25.69,26,26,0,25.0,63.2,27,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Tucker Kraft,TE,GB,9484,66,69.8,5,5.1,,,,5.0,69.8,5,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Caleb Williams,QB,CHI,11560,67,70.4,5,5.62,,,,5.0,70.4,5,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Michael Wilson,WR,ARI,10232,68,79.2,36,35.57,36,32,-4,31.57,72.2,31,-7.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jayden Daniels,QB,WAS,11566,69,73.0,6,6.24,,,,6.0,73.0,6,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Carnell Tate,WR,TEN,13279,70,75.8,33,33.0,32,31,-1,32.0,74.0,32,-1.8,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Wan'Dale Robinson,WR,TEN,8126,71,100.8,44,43.0,49,38,-11,32.0,74.0,33,-26.8,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jalen Hurts,QB,PHI,6904,72,74.6,7,6.59,,,,7.0,74.6,7,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Courtland Sutton,WR,DEN,5045,73,81.8,38,37.11,37,33,-4,33.11,76.0,34,-5.8,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Chris Godwin Jr.,WR,TB,4037,74,74.0,32,32.4,35,36,1,33.4,76.5,35,2.5,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Dak Prescott,QB,DAL,3294,75,78.4,8,8.06,,,,8.0,78.4,8,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Marvin Harrison Jr.,WR,ARI,11628,76,69.8,31,31.19,31,35,4,35.19,78.6,36,8.8,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Brian Thomas Jr.,WR,JAC,11631,77,77.6,34,34.38,34,37,3,37.38,81.4,37,3.8,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Justin Herbert,QB,LAC,6797,78,81.8,9,9.21,,,,9.0,81.8,9,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,MarShawn Lloyd,RB,GB,11581,79,85.2,32,31.83,32,30,-2,29.83,81.8,28,-3.4,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Rico Dowdle,RB,PIT,7021,80,82.0,30,29.62,29,29,0,30.0,82.0,29,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Kyle Pitts Sr.,TE,ATL,7553,81,83.0,6,6.65,,,,6.0,83.0,6,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Blake Corum,RB,LAR,11586,82,86.6,33,32.67,36,34,-2,30.67,83.5,30,-3.1,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Trevor Lawrence,QB,JAC,7523,83,84.0,10,9.21,,,,10.0,84.0,10,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jadarian Price,RB,SEA,13286,84,54.6,24,23.24,23,31,8,31.24,84.4,31,29.8,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Tony Pollard,RB,TEN,5967,85,81.0,29,29.58,30,32,2,31.58,84.8,32,3.8,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Sam LaPorta,TE,DET,10859,86,85.8,7,6.93,,,,7.0,85.8,7,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Josh Jacobs,RB,GB,5850,87,89.4,34,34.33,28,27,-1,33.33,87.5,33,-1.9,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,DK Metcalf,WR,PIT,5846,88,81.2,37,37.54,33,34,1,38.54,87.6,38,6.4,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Harold Fannin Jr.,TE,CLE,12506,89,89.0,8,7.48,,,,8.0,89.0,8,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Kenny Gainwell,RB,TB,7567,90,95.8,36,36.22,40,38,-2,34.22,89.7,34,-6.1,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
