year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_rb1_qb_stack,any_qb_rb_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_rb1_name,roster_rb1_team
2021,2024_1,2024 #1 — Let James Cook (16-2),8,multi,multi,2,1,1,2322.9,26.76,54441,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),9,natural,none,0,0,0,2226.4,25.57,57383,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),9,none,none,0,0,0,2226.4,25.57,57383,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),9,single,single,1,0,1,2187.2,21.74,57223,CHI,Justin Fields/David Montgomery (CHI),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),9,multi,multi,2,1,1,2242.4,21.16,55157,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),10,natural,single,1,0,1,1946.2,22.36,54883,CHI,Justin Fields/David Montgomery (CHI),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),10,none,none,0,0,1,1961.7,23.18,55390,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),10,single,single,1,0,1,1946.2,22.36,54883,CHI,Justin Fields/David Montgomery (CHI),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),10,multi,multi,2,1,1,2123.1,21.19,55069,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),11,natural,none,0,0,1,1816.8,21.63,55527,,,Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),11,none,none,0,0,1,1816.8,21.63,55527,,,Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),11,single,single,1,0,1,2087.2,17.65,55780,CIN,Joe Burrow/Joe Mixon (CIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),11,multi,multi,2,0,1,1986,22.93,56014,CIN|CHI,Joe Burrow/Joe Mixon (CIN); Justin Fields/David Montgomery (CHI),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),12,natural,single,1,0,1,1723.2,25.71,56454,SF,Trey Lance/Raheem Mostert (SF),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),12,none,none,0,0,0,1819.4,25.05,56950,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),12,single,single,1,0,1,1723.2,25.71,56454,SF,Trey Lance/Raheem Mostert (SF),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),12,multi,multi,2,1,1,1894.1,24.96,54591,MIN|SF,Kirk Cousins/Dalvin Cook (MIN); Trey Lance/Raheem Mostert (SF),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),13,natural,single,1,0,1,1859,25.42,54815,CHI,Justin Fields/David Montgomery (CHI),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),13,none,none,0,0,0,1812.3,26.01,55052,,,Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),13,single,single,1,0,1,1859,25.42,54815,CHI,Justin Fields/David Montgomery (CHI),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),13,multi,multi,2,1,1,1953.5,23.67,55018,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),14,natural,single,1,1,1,2410.4,33.4,52519,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),14,none,none,0,0,1,2406.7,35.55,52405,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),14,single,single,1,1,1,2410.4,33.4,52519,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),14,multi,multi,2,1,1,2364.8,30.82,52532,MIN|WAS,Kirk Cousins/Dalvin Cook (MIN); Taylor Heinicke/Antonio Gibson (WAS),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),15,natural,none,0,0,0,2355,20.59,55429,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),15,none,none,0,0,0,2355,20.59,55429,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),15,single,single,1,0,1,2452.4,24.1,55610,CIN,Joe Burrow/Joe Mixon (CIN),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),15,multi,multi,2,1,1,2447.9,19.49,55724,CIN|MIN,Joe Burrow/Joe Mixon (CIN); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),16,natural,multi,2,0,1,2190.4,23.86,55436,CHI|WAS,Justin Fields/David Montgomery (CHI); Taylor Heinicke/Antonio Gibson (WAS),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),16,none,none,0,0,1,2094.5,23.55,54452,,,Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),16,single,single,1,0,1,2142.3,24.5,55166,CHI,Justin Fields/David Montgomery (CHI),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),16,multi,multi,2,0,1,2190.4,23.86,55436,CHI|WAS,Justin Fields/David Montgomery (CHI); Taylor Heinicke/Antonio Gibson (WAS),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),17,natural,none,0,0,0,2299.2,24.14,57530,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),17,none,none,0,0,0,2299.2,24.14,57530,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),17,single,single,1,1,1,2353.1,22.73,55464,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),17,multi,multi,2,1,1,2310,22.28,55477,MIN|WAS,Kirk Cousins/Dalvin Cook (MIN); Taylor Heinicke/Antonio Gibson (WAS),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),18,natural,none,0,0,0,2444.8,30.15,54870,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),18,none,none,0,0,0,2444.8,30.15,54870,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),18,single,single,1,0,1,2459.7,26.83,55026,CHI,Justin Fields/David Montgomery (CHI),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),18,multi,multi,2,1,1,2491.3,25.29,55784,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),19,natural,single,1,1,1,2313.6,27.44,55000,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),19,none,none,0,0,1,2329.6,28.25,54490,,,Ezekiel Elliott,DAL
2021,2024_1,2024 #1 — Let James Cook (16-2),19,single,single,1,1,1,2313.6,27.44,55000,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),19,multi,multi,2,1,1,2383.3,27.23,55009,MIN|WAS,Kirk Cousins/Dalvin Cook (MIN); Taylor Heinicke/Antonio Gibson (WAS),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),20,natural,none,0,0,1,2133.1,21.56,53628,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),20,none,none,0,0,1,2133.1,21.56,53628,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),20,single,single,1,1,1,2124.6,20.23,53742,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),20,multi,multi,2,1,1,2015.7,25.61,53541,MIN|NO,Kirk Cousins/Dalvin Cook (MIN); Jameis Winston/Alvin Kamara (NO),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),21,natural,none,0,0,1,2366.5,30.21,56736,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),21,none,none,0,0,1,2366.5,30.21,56736,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),21,single,single,1,0,1,2273.1,28.88,56820,CHI,Justin Fields/David Montgomery (CHI),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),21,multi,multi,2,1,1,2427.6,26.2,54957,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),22,natural,none,0,0,0,2222.5,20.5,52999,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),22,none,none,0,0,0,2222.5,20.5,52999,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),22,single,single,1,0,1,2222.6,21.35,52839,CHI,Justin Fields/David Montgomery (CHI),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),22,multi,multi,2,1,1,2117.8,26.31,52714,CHI|NO,Justin Fields/David Montgomery (CHI); Jameis Winston/Alvin Kamara (NO),Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),23,natural,none,0,0,0,2049.2,23.62,56986,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),23,none,none,0,0,0,2049.2,23.62,56986,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),23,single,single,1,0,1,2093.1,23.93,56749,CHI,Justin Fields/David Montgomery (CHI),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),23,multi,multi,2,1,1,2158.5,23.77,54683,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),24,natural,none,0,0,0,2346.9,21.33,56070,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),24,none,none,0,0,0,2346.9,21.33,56070,,,Alvin Kamara,NO
