value_basis,format,year,pair_key,player_id_a,player_id_b
ktc,hwang,2021,QB_vs_WR,7527,6886
ktc,hwang,2021,QB_vs_WR,7527,2216
ktc,hwang,2021,QB_vs_WR,6768,1479
ktc,hwang,2021,QB_vs_WR,6768,2309
ktc,hwang,2021,QB_vs_WR,6768,6886
ktc,hwang,2021,QB_vs_WR,6768,2216
ktc,hwang,2021,QB_vs_WR,6768,7525
ktc,hwang,2021,QB_vs_WR,6768,7526
ktc,hwang,2021,QB_vs_WR,4892,1479
ktc,hwang,2021,QB_vs_WR,4892,2309
ktc,hwang,2021,QB_vs_WR,4892,6886
ktc,hwang,2021,QB_vs_WR,4892,2216
ktc,hwang,2021,QB_vs_WR,4892,7525
ktc,hwang,2021,QB_vs_WR,4892,7526
ktc,hwang,2021,QB_vs_WR,6904,2216
ktc,hwang,2021,QB_vs_WR,6904,7525
ktc,hwang,2021,QB_vs_WR,6904,7526
ktc,hwang,2021,QB_vs_WR,6904,4039
ktc,hwang,2021,QB_vs_WR,6904,5937
ktc,hwang,2021,QB_vs_WR,2306,4040
ktc,hwang,2021,QB_vs_WR,2306,7090
ktc,hwang,2021,QB_vs_WR,2306,3225
ktc,hwang,2021,QB_vs_WR,2306,6819
ktc,hwang,2021,QB_vs_WR,2306,4951
ktc,hwang,2021,QB_vs_WR,2306,5038
ktc,hwang,2021,QB_vs_WR,4943,7090
ktc,hwang,2021,QB_vs_WR,4943,3225
ktc,hwang,2021,QB_vs_WR,4943,6819
ktc,hwang,2021,QB_vs_WR,4943,4951
ktc,hwang,2021,QB_vs_WR,4943,5038
ktc,hwang,2021,QB_vs_WR,4943,6989
ktc,hwang,2021,QB_vs_WR,4943,4082
ktc,hwang,2021,QB_vs_WR,1166,4951
ktc,hwang,2021,QB_vs_WR,1166,5038
ktc,hwang,2021,QB_vs_WR,1166,6989
ktc,hwang,2021,QB_vs_WR,1166,4082
ktc,hwang,2021,QB_vs_WR,1166,5947
ktc,hwang,2021,QB_vs_WR,1166,2078
ktc,hwang,2021,QB_vs_WR,1166,1689
ktc,hwang,2021,QB_vs_WR,1166,2197
ktc,hwang,2021,QB_vs_WR,2028,6989
ktc,hwang,2021,QB_vs_WR,2028,4082
ktc,hwang,2021,QB_vs_WR,2028,5947
ktc,hwang,2021,QB_vs_WR,2028,2078
ktc,hwang,2021,QB_vs_WR,2028,1689
ktc,hwang,2021,QB_vs_WR,2028,2197
ktc,hwang,2021,QB_vs_WR,6804,2078
ktc,hwang,2021,QB_vs_WR,6804,1689
ktc,hwang,2021,QB_vs_WR,6804,2197
ktc,hwang,2021,QB_vs_WR,6804,4068
ktc,hwang,2021,QB_vs_WR,6804,5848
ktc,hwang,2021,QB_vs_WR,5870,4068
ktc,hwang,2021,QB_vs_WR,5870,5848
ktc,hwang,2021,QB_vs_WR,3163,5848
