value_basis,format,qb,rb,wr,te,flex,superflex,ppr,te_premium,builds_per_archetype,jitter_pct,seed,years,archetype_count,grounding,value_weight_pairs,points_weight_builds,pair_tolerance_pct,top_rank,ktc_as_of,hvorp_method,hvorp_mode
ktc,hwang,1,3,3,1,2,1,0,0.5,300,10,1,2021|2022|2023|2024|2025,19,mean,1,1,5,300,2026-08-04,"roster-context optimal starter totals (17 weeks, replace similar-value player)",replace
comp,hwang,1,3,3,1,2,1,0,0.5,300,10,1,2021|2022|2023|2024|2025,19,mean,1,1,5,300,2026-08-04,"roster-context optimal starter totals (17 weeks, replace similar-value player)",replace
