value_basis,format,year,archetype_id,player_id,avg_hvorp,avg_hvorp_weighted,build_count,avg_base_total
ktc,hwang,2021,2024_1,4972,9.9,9.6,200,1760
ktc,hwang,2021,2024_1,4973,27,26.6,200,1760
ktc,hwang,2021,2024_1,4981,27.5,27.1,200,1760
ktc,hwang,2021,2024_1,4983,97.6,96.6,200,1760
ktc,hwang,2021,2024_1,4984,251.8,248.4,200,1760
ktc,hwang,2021,2024_1,4985,79.7,79.4,200,1760
ktc,hwang,2021,2024_1,4988,159,158.1,200,1760
ktc,hwang,2021,2024_1,4993,90.9,90.2,200,1760
ktc,hwang,2021,2024_1,4995,11.7,11.3,200,1760
ktc,hwang,2021,2024_1,5000,73.7,73,200,1760
ktc,hwang,2021,2024_1,5001,113.9,113.1,200,1760
ktc,hwang,2021,2024_1,5008,28.6,28.2,200,1760
ktc,hwang,2021,2024_1,5010,16.1,15.6,200,1760
ktc,hwang,2021,2024_1,5012,194.6,193.8,200,1760
ktc,hwang,2021,2024_1,5022,101.4,100.6,200,1760
ktc,hwang,2021,2024_1,5026,27.7,27.3,200,1760
ktc,hwang,2021,2024_1,5038,37.3,36.9,200,1760
ktc,hwang,2021,2024_1,5045,63,62.4,200,1760
ktc,hwang,2021,2024_1,5089,25.5,25.1,200,1760
ktc,hwang,2021,2024_1,5113,53.4,52.9,200,1760
ktc,hwang,2021,2024_1,5121,51.5,51,200,1760
ktc,hwang,2021,2024_1,5122,68.4,68,200,1760
ktc,hwang,2021,2024_1,5133,76.4,75.7,200,1760
ktc,hwang,2021,2024_1,5137,0,0,200,1760
ktc,hwang,2021,2024_1,5185,60.9,60.4,200,1760
ktc,hwang,2021,2024_1,5248,0,0,200,1760
ktc,hwang,2021,2024_1,5284,34.6,34.3,200,1760
ktc,hwang,2021,2024_1,5323,4.9,4.8,200,1760
ktc,hwang,2021,2024_1,5347,44.6,44.1,200,1760
ktc,hwang,2021,2024_1,5374,0,0,200,1760
ktc,hwang,2021,2024_1,5409,0,0,200,1760
ktc,hwang,2021,2024_1,5695,4.1,4,200,1760
ktc,hwang,2021,2024_1,5844,86.1,85.5,200,1760
ktc,hwang,2021,2024_1,5846,128.8,127.9,200,1760
ktc,hwang,2021,2024_1,5848,100.3,99.5,200,1760
ktc,hwang,2021,2024_1,5850,119.5,118.6,200,1760
ktc,hwang,2021,2024_1,5854,12.7,12.3,200,1760
ktc,hwang,2021,2024_1,5857,87,86.3,200,1760
ktc,hwang,2021,2024_1,5859,79.2,78.5,200,1760
ktc,hwang,2021,2024_1,5870,94.5,92.3,200,1760
ktc,hwang,2021,2024_1,5872,204.4,203.8,200,1760
ktc,hwang,2021,2024_1,5880,12.8,12.6,200,1760
ktc,hwang,2021,2024_1,5892,114.2,113.4,200,1760
ktc,hwang,2021,2024_1,5906,98.8,98.1,200,1760
ktc,hwang,2021,2024_1,5917,40.4,39.7,200,1760
ktc,hwang,2021,2024_1,5927,93.3,92.5,200,1760
ktc,hwang,2021,2024_1,5937,128.7,127.9,200,1760
ktc,hwang,2021,2024_1,5938,23.5,23.1,200,1760
ktc,hwang,2021,2024_1,5947,64.8,63.9,200,1760
ktc,hwang,2021,2024_1,5955,107.2,106.3,200,1760
ktc,hwang,2021,2024_1,5967,89,88.2,200,1760
ktc,hwang,2021,2024_1,5970,1.2,1.1,200,1760
ktc,hwang,2021,2024_1,5973,4.9,4.8,200,1760
ktc,hwang,2021,2024_1,5980,90,89.2,200,1760
ktc,hwang,2021,2024_1,5985,50.1,49.7,200,1760
ktc,hwang,2021,2024_1,5987,68.8,68.3,200,1760
ktc,hwang,2021,2024_1,6001,3.9,3.8,200,1760
ktc,hwang,2021,2024_1,6011,16.1,15.9,200,1760
ktc,hwang,2021,2024_1,6039,55.5,54.8,200,1760
ktc,hwang,2021,2024_1,6074,29.8,29.5,200,1760
ktc,hwang,2021,2024_1,6111,0,0,200,1760
ktc,hwang,2021,2024_1,6130,96.9,96,200,1760
ktc,hwang,2021,2024_1,6136,0,0,200,1760
ktc,hwang,2021,2024_1,6144,0.4,0.4,200,1760
ktc,hwang,2021,2024_1,6149,18.7,18.4,200,1760
ktc,hwang,2021,2024_1,6151,64.7,64,200,1760
ktc,hwang,2021,2024_1,6234,50,49.5,200,1760
ktc,hwang,2021,2024_1,6271,34.2,33.9,200,1760
ktc,hwang,2021,2024_1,6290,0.5,0.5,200,1760
ktc,hwang,2021,2024_1,6421,37.7,37.3,200,1760
ktc,hwang,2021,2024_1,6598,0.8,0.8,200,1760
ktc,hwang,2021,2024_1,6659,23.6,23.4,200,1760
ktc,hwang,2021,2024_1,6694,53.7,53.5,200,1760
ktc,hwang,2021,2024_1,6768,100.8,98.8,200,1760
ktc,hwang,2021,2024_1,6770,192.4,189.4,200,1760
ktc,hwang,2021,2024_1,6783,26.3,25.9,200,1760
ktc,hwang,2021,2024_1,6786,116.6,115.8,200,1760
ktc,hwang,2021,2024_1,6790,107.5,106.8,200,1760
ktc,hwang,2021,2024_1,6794,168.2,167.2,200,1760
ktc,hwang,2021,2024_1,6797,229.8,226.4,200,1760
ktc,hwang,2021,2024_1,6801,114.2,113.4,200,1760
ktc,hwang,2021,2024_1,6803,76.1,75.4,200,1760
ktc,hwang,2021,2024_1,6804,7.2,7,200,1760
