value_basis,format,year,pair_key,player_id_a,player_id_b
comp,hwang,2021,QB_vs_WR,6804,6853
comp,hwang,2021,QB_vs_WR,5854,6943
comp,hwang,2021,QB_vs_WR,5854,6853
comp,hwang,2021,QB_vs_WR,6011,5955
comp,hwang,2021,QB_vs_WR,6011,4171
comp,hwang,2021,QB_vs_WR,6011,6927
comp,hwang,2021,QB_vs_WR,2307,5955
comp,hwang,2021,QB_vs_WR,2307,4171
comp,hwang,2021,QB_vs_WR,2307,6927
comp,hwang,2021,QB_vs_WR,2711,3286
comp,hwang,2021,QB_vs_WR,2711,4351
comp,hwang,2021,QB_vs_WR,7585,3286
comp,hwang,2021,QB_vs_WR,7585,4351
comp,hwang,2021,QB_vs_WR,7585,6421
comp,hwang,2021,QB_vs_WR,3976,7595
comp,hwang,2021,QB_vs_WR,3976,6271
comp,hwang,2021,QB_vs_WR,3976,4454
comp,hwang,2021,QB_vs_WR,3976,6960
comp,hwang,2021,QB_vs_WR,3976,6290
comp,hwang,2021,QB_vs_TE,1234,1466
comp,hwang,2021,QB_vs_TE,96,1466
comp,hwang,2021,QB_vs_TE,96,2505
comp,hwang,2021,QB_vs_TE,6797,2505
comp,hwang,2021,QB_vs_TE,6797,4217
comp,hwang,2021,QB_vs_TE,421,7553
comp,hwang,2021,QB_vs_TE,6904,5012
comp,hwang,2021,QB_vs_TE,1049,5012
comp,hwang,2021,QB_vs_TE,1049,5844
comp,hwang,2021,QB_vs_TE,6768,5857
comp,hwang,2021,QB_vs_TE,2306,3214
comp,hwang,2021,QB_vs_TE,7538,3214
comp,hwang,2021,QB_vs_TE,4943,4066
comp,hwang,2021,QB_vs_TE,5870,6826
comp,hwang,2021,QB_vs_TE,5870,3202
comp,hwang,2021,QB_vs_TE,7527,6869
comp,hwang,2021,QB_vs_TE,827,4381
comp,hwang,2021,QB_vs_TE,827,5906
comp,hwang,2021,QB_vs_TE,6804,7002
comp,hwang,2021,QB_vs_TE,6011,5010
comp,hwang,2021,QB_vs_TE,2307,5010
comp,hwang,2021,QB_vs_TE,2711,7568
comp,hwang,2021,QB_vs_TE,2711,7694
comp,hwang,2021,QB_vs_TE,2711,7828
comp,hwang,2021,QB_vs_TE,2711,6843
comp,hwang,2021,QB_vs_TE,7585,7568
comp,hwang,2021,QB_vs_TE,7585,7694
comp,hwang,2021,QB_vs_TE,7585,7828
comp,hwang,2021,QB_vs_TE,7585,6843
comp,hwang,2021,QB_vs_TE,3976,7535
comp,hwang,2021,RB_vs_WR,6790,2133
comp,hwang,2021,RB_vs_WR,5850,3321
comp,hwang,2021,RB_vs_WR,5850,2449
comp,hwang,2021,RB_vs_WR,5850,5846
comp,hwang,2021,RB_vs_WR,6151,3321
comp,hwang,2021,RB_vs_WR,6151,2449
comp,hwang,2021,RB_vs_WR,6151,5846
comp,hwang,2021,RB_vs_WR,6151,4981
comp,hwang,2021,RB_vs_WR,6151,1426
comp,hwang,2021,RB_vs_WR,6955,3321
comp,hwang,2021,RB_vs_WR,6955,2449
comp,hwang,2021,RB_vs_WR,6955,5846
comp,hwang,2021,RB_vs_WR,6955,4981
comp,hwang,2021,RB_vs_WR,6955,1426
comp,hwang,2021,RB_vs_WR,7588,3321
comp,hwang,2021,RB_vs_WR,7588,2449
comp,hwang,2021,RB_vs_WR,7588,5846
comp,hwang,2021,RB_vs_WR,7588,4981
comp,hwang,2021,RB_vs_WR,7588,1426
comp,hwang,2021,RB_vs_WR,5980,6794
comp,hwang,2021,RB_vs_WR,5980,1479
comp,hwang,2021,RB_vs_WR,5980,5927
comp,hwang,2021,RB_vs_WR,4098,1479
comp,hwang,2021,RB_vs_WR,4098,5927
comp,hwang,2021,RB_vs_WR,4098,6786
comp,hwang,2021,RB_vs_WR,5000,6786
comp,hwang,2021,RB_vs_WR,5000,2216
comp,hwang,2021,RB_vs_WR,5000,1352
comp,hwang,2021,RB_vs_WR,5000,2309
comp,hwang,2021,RB_vs_WR,5000,4037
comp,hwang,2021,RB_vs_WR,5000,2374
comp,hwang,2021,RB_vs_WR,2749,4037
comp,hwang,2021,RB_vs_WR,2749,2374
comp,hwang,2021,RB_vs_WR,2749,1689
comp,hwang,2021,RB_vs_WR,2749,4039
comp,hwang,2021,RB_vs_WR,2749,5937
comp,hwang,2021,RB_vs_WR,2749,4983
comp,hwang,2021,RB_vs_WR,7593,2374
comp,hwang,2021,RB_vs_WR,7593,1689
comp,hwang,2021,RB_vs_WR,7593,4039
comp,hwang,2021,RB_vs_WR,7593,5937
comp,hwang,2021,RB_vs_WR,7593,4983
comp,hwang,2021,RB_vs_WR,7593,6803
comp,hwang,2021,RB_vs_WR,7593,6886
comp,hwang,2021,RB_vs_WR,6845,7525
comp,hwang,2021,RB_vs_WR,6845,5872
comp,hwang,2021,RB_vs_WR,6845,3225
comp,hwang,2021,RB_vs_WR,6828,7525
comp,hwang,2021,RB_vs_WR,6828,5872
comp,hwang,2021,RB_vs_WR,6828,3225
comp,hwang,2021,RB_vs_WR,7607,2197
comp,hwang,2021,RB_vs_WR,7607,6814
comp,hwang,2021,RB_vs_WR,7607,6819
comp,hwang,2021,RB_vs_WR,7607,4951
comp,hwang,2021,RB_vs_WR,7607,5848
comp,hwang,2021,RB_vs_WR,7607,7526
comp,hwang,2021,RB_vs_WR,4137,5038
comp,hwang,2021,RB_vs_WR,4137,4068
comp,hwang,2021,RB_vs_WR,4149,5038
comp,hwang,2021,RB_vs_WR,4149,4068
comp,hwang,2021,RB_vs_WR,4149,6989
comp,hwang,2021,RB_vs_WR,4149,4082
comp,hwang,2021,RB_vs_WR,6130,2319
comp,hwang,2021,RB_vs_WR,6130,7090
comp,hwang,2021,RB_vs_WR,6130,5917
comp,hwang,2021,RB_vs_WR,5967,2325
comp,hwang,2021,RB_vs_WR,7594,4950
comp,hwang,2021,RB_vs_WR,7611,7571
comp,hwang,2021,RB_vs_WR,5987,7571
comp,hwang,2021,RB_vs_WR,7567,6824
comp,hwang,2021,RB_vs_WR,2161,6290
comp,hwang,2021,RB_vs_WR,2161,7533
comp,hwang,2021,RB_vs_WR,2161,6234
comp,hwang,2021,RB_vs_WR,2161,7559
comp,hwang,2021,RB_vs_WR,2161,6847
comp,hwang,2021,RB_vs_WR,6039,6290
comp,hwang,2021,RB_vs_WR,6039,7533
comp,hwang,2021,RB_vs_WR,6039,6234
comp,hwang,2021,RB_vs_WR,6039,7559
comp,hwang,2021,RB_vs_WR,6039,6847
comp,hwang,2021,RB_vs_WR,7045,6290
comp,hwang,2021,RB_vs_WR,7045,7533
comp,hwang,2021,RB_vs_WR,7045,6234
comp,hwang,2021,RB_vs_WR,7045,7559
comp,hwang,2021,RB_vs_WR,7045,6847
comp,hwang,2021,RB_vs_WR,5122,7533
comp,hwang,2021,RB_vs_WR,5122,6234
comp,hwang,2021,RB_vs_WR,5122,7559
comp,hwang,2021,RB_vs_WR,5122,6847
comp,hwang,2021,RB_vs_WR,6918,7713
comp,hwang,2021,RB_vs_TE,5892,1466
comp,hwang,2021,RB_vs_TE,6790,2505
comp,hwang,2021,RB_vs_TE,6790,4217
comp,hwang,2021,RB_vs_TE,5850,7553
comp,hwang,2021,RB_vs_TE,6151,7553
comp,hwang,2021,RB_vs_TE,6955,7553
comp,hwang,2021,RB_vs_TE,7588,7553
comp,hwang,2021,RB_vs_TE,5980,5012
comp,hwang,2021,RB_vs_TE,5980,5844
comp,hwang,2021,RB_vs_TE,4098,5844
comp,hwang,2021,RB_vs_TE,6845,5857
comp,hwang,2021,RB_vs_TE,6845,5022
comp,hwang,2021,RB_vs_TE,6828,5857
comp,hwang,2021,RB_vs_TE,6828,5022
comp,hwang,2021,RB_vs_TE,7607,3271
comp,hwang,2021,RB_vs_TE,4137,4993
comp,hwang,2021,RB_vs_TE,4137,4144
comp,hwang,2021,RB_vs_TE,4149,4144
comp,hwang,2021,RB_vs_TE,6130,3214
comp,hwang,2021,RB_vs_TE,5967,6826
comp,hwang,2021,RB_vs_TE,5967,3202
comp,hwang,2021,RB_vs_TE,4985,5001
comp,hwang,2021,RB_vs_TE,2161,6001
comp,hwang,2021,RB_vs_TE,6039,6001
comp,hwang,2021,RB_vs_TE,7045,6001
comp,hwang,2021,RB_vs_TE,5122,6001
comp,hwang,2021,RB_vs_TE,6918,4995
comp,hwang,2021,WR_vs_TE,2133,2505
comp,hwang,2021,WR_vs_TE,2133,4217
comp,hwang,2021,WR_vs_TE,3321,4217
comp,hwang,2021,WR_vs_TE,3321,7553
comp,hwang,2021,WR_vs_TE,2449,7553
comp,hwang,2021,WR_vs_TE,5846,7553
comp,hwang,2021,WR_vs_TE,4981,7553
comp,hwang,2021,WR_vs_TE,4981,5012
comp,hwang,2021,WR_vs_TE,1426,7553
comp,hwang,2021,WR_vs_TE,1426,5012
comp,hwang,2021,WR_vs_TE,5859,5012
comp,hwang,2021,WR_vs_TE,6794,5012
comp,hwang,2021,WR_vs_TE,6794,5844
comp,hwang,2021,WR_vs_TE,1479,5012
comp,hwang,2021,WR_vs_TE,1479,5844
comp,hwang,2021,WR_vs_TE,5927,5844
comp,hwang,2021,WR_vs_TE,7564,5857
comp,hwang,2021,WR_vs_TE,7525,5857
comp,hwang,2021,WR_vs_TE,5872,5857
comp,hwang,2021,WR_vs_TE,5872,5022
comp,hwang,2021,WR_vs_TE,3225,5857
comp,hwang,2021,WR_vs_TE,3225,5022
comp,hwang,2021,WR_vs_TE,2197,5022
comp,hwang,2021,WR_vs_TE,6814,5022
comp,hwang,2021,WR_vs_TE,6819,3271
comp,hwang,2021,WR_vs_TE,4951,3271
comp,hwang,2021,WR_vs_TE,5848,3271
comp,hwang,2021,WR_vs_TE,5848,4993
comp,hwang,2021,WR_vs_TE,7526,3271
comp,hwang,2021,WR_vs_TE,7526,4993
comp,hwang,2021,WR_vs_TE,5038,4993
comp,hwang,2021,WR_vs_TE,5038,4144
comp,hwang,2021,WR_vs_TE,4068,4993
comp,hwang,2021,WR_vs_TE,4068,4144
comp,hwang,2021,WR_vs_TE,4082,3214
comp,hwang,2021,WR_vs_TE,2319,3214
comp,hwang,2021,WR_vs_TE,7090,4066
comp,hwang,2021,WR_vs_TE,5917,4066
comp,hwang,2021,WR_vs_TE,7596,4089
comp,hwang,2021,WR_vs_TE,2325,6826
comp,hwang,2021,WR_vs_TE,5947,1339
comp,hwang,2021,WR_vs_TE,7565,1339
comp,hwang,2021,WR_vs_TE,7547,6869
comp,hwang,2021,WR_vs_TE,5086,6074
comp,hwang,2021,WR_vs_TE,7587,5906
comp,hwang,2021,WR_vs_TE,6805,7002
comp,hwang,2021,WR_vs_TE,6943,7002
comp,hwang,2021,WR_vs_TE,6849,6850
comp,hwang,2021,WR_vs_TE,6849,4033
comp,hwang,2021,WR_vs_TE,6149,6850
comp,hwang,2021,WR_vs_TE,6149,4033
comp,hwang,2021,WR_vs_TE,6149,4054
comp,hwang,2021,WR_vs_TE,7670,6850
comp,hwang,2021,WR_vs_TE,7670,4033
comp,hwang,2021,WR_vs_TE,7670,4054
comp,hwang,2021,WR_vs_TE,5955,4054
comp,hwang,2021,WR_vs_TE,5955,5010
comp,hwang,2021,WR_vs_TE,4171,5010
comp,hwang,2021,WR_vs_TE,6927,5010
comp,hwang,2021,WR_vs_TE,3286,7568
comp,hwang,2021,WR_vs_TE,3286,7694
comp,hwang,2021,WR_vs_TE,3286,7828
comp,hwang,2021,WR_vs_TE,3286,6843
comp,hwang,2021,WR_vs_TE,4351,7568
comp,hwang,2021,WR_vs_TE,4351,7694
comp,hwang,2021,WR_vs_TE,4351,7828
comp,hwang,2021,WR_vs_TE,4351,6843
comp,hwang,2021,WR_vs_TE,6421,7568
comp,hwang,2021,WR_vs_TE,6421,7694
comp,hwang,2021,WR_vs_TE,6421,7828
comp,hwang,2021,WR_vs_TE,6421,6843
comp,hwang,2021,WR_vs_TE,6421,7602
comp,hwang,2021,WR_vs_TE,6421,5985
comp,hwang,2021,WR_vs_TE,7595,7602
comp,hwang,2021,WR_vs_TE,7595,5985
comp,hwang,2021,WR_vs_TE,7595,7535
comp,hwang,2021,WR_vs_TE,6271,5985
comp,hwang,2021,WR_vs_TE,6271,7535
comp,hwang,2021,WR_vs_TE,4454,5985
comp,hwang,2021,WR_vs_TE,4454,7535
comp,hwang,2021,WR_vs_TE,6960,7535
comp,hwang,2021,WR_vs_TE,6290,7535
comp,hwang,2021,WR_vs_TE,7533,6001
comp,hwang,2021,WR_vs_TE,6234,6001
comp,hwang,2021,WR_vs_TE,7559,6001
comp,hwang,2021,WR_vs_TE,6847,6001
comp,hwang,2021,WR_vs_TE,7713,4995
comp,hwang,2022,QB_vs_RB,4984,4034
comp,hwang,2022,QB_vs_RB,6797,4034
comp,hwang,2022,QB_vs_RB,4881,3198
comp,hwang,2022,QB_vs_RB,6904,4018
comp,hwang,2022,QB_vs_RB,6904,4035
comp,hwang,2022,QB_vs_RB,6904,7588
comp,hwang,2022,QB_vs_RB,6904,4866
comp,hwang,2022,QB_vs_RB,5849,4035
comp,hwang,2022,QB_vs_RB,5849,7588
comp,hwang,2022,QB_vs_RB,5849,4866
comp,hwang,2022,QB_vs_RB,5849,6790
comp,hwang,2022,QB_vs_RB,6770,4137
comp,hwang,2022,QB_vs_RB,6770,4199
comp,hwang,2022,QB_vs_RB,6770,7543
comp,hwang,2022,QB_vs_RB,6770,3164
comp,hwang,2022,QB_vs_RB,6770,6938
comp,hwang,2022,QB_vs_RB,1234,6938
comp,hwang,2022,QB_vs_RB,1234,5892
comp,hwang,2022,QB_vs_RB,7610,8129
comp,hwang,2022,QB_vs_RB,7610,8155
comp,hwang,2022,QB_vs_RB,3294,8129
comp,hwang,2022,QB_vs_RB,3294,8155
comp,hwang,2022,QB_vs_RB,3294,6806
comp,hwang,2022,QB_vs_RB,3294,6828
comp,hwang,2022,QB_vs_RB,421,5967
comp,hwang,2022,QB_vs_RB,421,5850
comp,hwang,2022,QB_vs_RB,421,5000
comp,hwang,2022,QB_vs_RB,421,7611
comp,hwang,2022,QB_vs_RB,96,5000
comp,hwang,2022,QB_vs_RB,96,7611
comp,hwang,2022,QB_vs_RB,2028,7611
comp,hwang,2022,QB_vs_RB,2028,6945
comp,hwang,2022,QB_vs_RB,2028,4985
comp,hwang,2022,QB_vs_RB,1166,6945
comp,hwang,2022,QB_vs_RB,1166,4985
comp,hwang,2022,QB_vs_RB,1166,6820
comp,hwang,2022,QB_vs_RB,7591,6945
comp,hwang,2022,QB_vs_RB,7591,4985
comp,hwang,2022,QB_vs_RB,7591,6820
comp,hwang,2022,QB_vs_RB,7591,6130
comp,hwang,2022,QB_vs_RB,6768,6945
comp,hwang,2022,QB_vs_RB,6768,4985
comp,hwang,2022,QB_vs_RB,6768,6820
comp,hwang,2022,QB_vs_RB,6768,6130
comp,hwang,2022,QB_vs_RB,7523,6820
comp,hwang,2022,QB_vs_RB,7523,6130
comp,hwang,2022,QB_vs_RB,2306,1535
comp,hwang,2022,QB_vs_RB,2306,4098
comp,hwang,2022,QB_vs_RB,2306,8138
comp,hwang,2022,QB_vs_RB,5870,8136
comp,hwang,2022,QB_vs_RB,5870,8151
comp,hwang,2022,QB_vs_RB,3163,6151
comp,hwang,2022,QB_vs_RB,1049,7567
comp,hwang,2022,QB_vs_RB,7527,7567
comp,hwang,2022,QB_vs_RB,7585,8132
comp,hwang,2022,QB_vs_RB,7585,7607
comp,hwang,2022,QB_vs_RB,7538,7608
comp,hwang,2022,QB_vs_RB,4017,5987
comp,hwang,2022,QB_vs_RB,2307,5987
comp,hwang,2022,QB_vs_RB,2307,4149
comp,hwang,2022,QB_vs_RB,8161,8205
comp,hwang,2022,QB_vs_RB,8161,2749
comp,hwang,2022,QB_vs_RB,8159,8211
comp,hwang,2022,QB_vs_RB,6011,5980
comp,hwang,2022,QB_vs_RB,6804,6885
comp,hwang,2022,QB_vs_RB,827,8116
comp,hwang,2022,QB_vs_RB,827,8221
comp,hwang,2022,QB_vs_RB,827,5347
comp,hwang,2022,QB_vs_RB,4943,8221
comp,hwang,2022,QB_vs_RB,4943,5347
comp,hwang,2022,QB_vs_RB,4943,6931
comp,hwang,2022,QB_vs_RB,4943,8123
comp,hwang,2022,QB_vs_RB,4943,8143
comp,hwang,2022,QB_vs_WR,6904,6794
comp,hwang,2022,QB_vs_WR,5849,6794
comp,hwang,2022,QB_vs_WR,5849,4039
comp,hwang,2022,QB_vs_WR,6770,7564
comp,hwang,2022,QB_vs_WR,1234,7564
comp,hwang,2022,QB_vs_WR,7610,2449
comp,hwang,2022,QB_vs_WR,7610,2133
comp,hwang,2022,QB_vs_WR,7610,5872
comp,hwang,2022,QB_vs_WR,7610,6786
comp,hwang,2022,QB_vs_WR,3294,2449
comp,hwang,2022,QB_vs_WR,3294,2133
comp,hwang,2022,QB_vs_WR,3294,5872
comp,hwang,2022,QB_vs_WR,3294,6786
comp,hwang,2022,QB_vs_WR,3294,3321
comp,hwang,2022,QB_vs_WR,3294,5859
comp,hwang,2022,QB_vs_WR,3294,2216
comp,hwang,2022,QB_vs_WR,421,6819
comp,hwang,2022,QB_vs_WR,421,6801
comp,hwang,2022,QB_vs_WR,421,5045
comp,hwang,2022,QB_vs_WR,421,4983
comp,hwang,2022,QB_vs_WR,421,4068
comp,hwang,2022,QB_vs_WR,96,6801
comp,hwang,2022,QB_vs_WR,96,5045
comp,hwang,2022,QB_vs_WR,96,4983
comp,hwang,2022,QB_vs_WR,96,4068
comp,hwang,2022,QB_vs_WR,96,7526
comp,hwang,2022,QB_vs_WR,96,5848
comp,hwang,2022,QB_vs_WR,96,7547
comp,hwang,2022,QB_vs_WR,96,5927
comp,hwang,2022,QB_vs_WR,96,4037
comp,hwang,2022,QB_vs_WR,96,7090
comp,hwang,2022,QB_vs_WR,96,5937
comp,hwang,2022,QB_vs_WR,96,2197
comp,hwang,2022,QB_vs_WR,2028,4983
comp,hwang,2022,QB_vs_WR,2028,4068
comp,hwang,2022,QB_vs_WR,2028,7526
comp,hwang,2022,QB_vs_WR,2028,5848
comp,hwang,2022,QB_vs_WR,2028,7547
comp,hwang,2022,QB_vs_WR,2028,5927
comp,hwang,2022,QB_vs_WR,2028,4037
comp,hwang,2022,QB_vs_WR,2028,7090
comp,hwang,2022,QB_vs_WR,2028,5937
comp,hwang,2022,QB_vs_WR,2028,2197
comp,hwang,2022,QB_vs_WR,1166,7526
comp,hwang,2022,QB_vs_WR,1166,5848
comp,hwang,2022,QB_vs_WR,1166,7547
comp,hwang,2022,QB_vs_WR,1166,5927
comp,hwang,2022,QB_vs_WR,1166,4037
comp,hwang,2022,QB_vs_WR,1166,7090
comp,hwang,2022,QB_vs_WR,1166,5937
comp,hwang,2022,QB_vs_WR,1166,2197
comp,hwang,2022,QB_vs_WR,1166,5185
comp,hwang,2022,QB_vs_WR,1166,5846
comp,hwang,2022,QB_vs_WR,1166,3199
comp,hwang,2022,QB_vs_WR,1166,4040
comp,hwang,2022,QB_vs_WR,1166,7571
comp,hwang,2022,QB_vs_WR,1166,6783
comp,hwang,2022,QB_vs_WR,7591,4037
comp,hwang,2022,QB_vs_WR,7591,7090
comp,hwang,2022,QB_vs_WR,7591,5937
comp,hwang,2022,QB_vs_WR,7591,2197
comp,hwang,2022,QB_vs_WR,7591,5185
comp,hwang,2022,QB_vs_WR,7591,5846
comp,hwang,2022,QB_vs_WR,7591,3199
comp,hwang,2022,QB_vs_WR,7591,4040
comp,hwang,2022,QB_vs_WR,7591,7571
comp,hwang,2022,QB_vs_WR,7591,6783
comp,hwang,2022,QB_vs_WR,7591,1689
comp,hwang,2022,QB_vs_WR,7591,7596
comp,hwang,2022,QB_vs_WR,6768,5185
comp,hwang,2022,QB_vs_WR,6768,5846
comp,hwang,2022,QB_vs_WR,6768,3199
comp,hwang,2022,QB_vs_WR,6768,4040
comp,hwang,2022,QB_vs_WR,6768,7571
comp,hwang,2022,QB_vs_WR,6768,6783
comp,hwang,2022,QB_vs_WR,6768,1689
comp,hwang,2022,QB_vs_WR,6768,7596
comp,hwang,2022,QB_vs_WR,6768,6803
comp,hwang,2022,QB_vs_WR,6768,7525
comp,hwang,2022,QB_vs_WR,7523,4040
comp,hwang,2022,QB_vs_WR,7523,7571
comp,hwang,2022,QB_vs_WR,7523,6783
comp,hwang,2022,QB_vs_WR,7523,1689
comp,hwang,2022,QB_vs_WR,7523,7596
comp,hwang,2022,QB_vs_WR,7523,6803
comp,hwang,2022,QB_vs_WR,7523,7525
comp,hwang,2022,QB_vs_WR,2306,7525
comp,hwang,2022,QB_vs_WR,2306,1426
comp,hwang,2022,QB_vs_WR,2306,4950
comp,hwang,2022,QB_vs_WR,2306,2309
comp,hwang,2022,QB_vs_WR,2306,8135
comp,hwang,2022,QB_vs_WR,5870,8144
comp,hwang,2022,QB_vs_WR,5870,5038
comp,hwang,2022,QB_vs_WR,5870,1352
comp,hwang,2022,QB_vs_WR,5870,8168
comp,hwang,2022,QB_vs_WR,5870,5955
comp,hwang,2022,QB_vs_WR,3163,7606
comp,hwang,2022,QB_vs_WR,3163,5947
comp,hwang,2022,QB_vs_WR,3163,2374
comp,hwang,2022,QB_vs_WR,1049,5947
comp,hwang,2022,QB_vs_WR,1049,2374
comp,hwang,2022,QB_vs_WR,1049,4951
comp,hwang,2022,QB_vs_WR,1049,3225
comp,hwang,2022,QB_vs_WR,1049,8137
comp,hwang,2022,QB_vs_WR,7527,2374
comp,hwang,2022,QB_vs_WR,7527,4951
