value_basis,format,year,player_id,name,position,value,season_pts
comp,hwang,2021,4034,Christian McCaffrey,RB,12844,90.5
comp,hwang,2021,4029,Dalvin Cook,RB,9558,164.1
comp,hwang,2021,4046,Patrick Mahomes,QB,9513,335.5
comp,hwang,2021,4984,Josh Allen,QB,9386,378.7
comp,hwang,2021,4035,Alvin Kamara,RB,9380,171.5
comp,hwang,2021,3198,Derrick Henry,RB,8974,175.3
comp,hwang,2021,3164,Ezekiel Elliott,RB,8764,196.1
comp,hwang,2021,6813,Jonathan Taylor,RB,8470,323.6
comp,hwang,2021,5849,Kyler Murray,QB,8275,283.4
comp,hwang,2021,4663,Austin Ekeler,RB,8009,249.9
comp,hwang,2021,4866,Saquon Barkley,RB,7984,102.7
comp,hwang,2021,4199,Aaron Jones,RB,7862,177
comp,hwang,2021,4988,Nick Chubb,RB,7617,189.3
comp,hwang,2021,6945,Antonio Gibson,RB,7417,166
comp,hwang,2021,4881,Lamar Jackson,QB,7402,240
comp,hwang,2021,7528,Najee Harris,RB,7398,221.2
comp,hwang,2021,3294,Dak Prescott,QB,7312,288.8
comp,hwang,2021,4018,Joe Mixon,RB,7117,245.9
comp,hwang,2021,6820,Clyde Edwards-Helaire,RB,7008,98.6
comp,hwang,2021,5892,David Montgomery,RB,6650,145.1
comp,hwang,2021,1466,Travis Kelce,TE,6587,205.4
comp,hwang,2021,1234,Russell Wilson,QB,6571,218.8
comp,hwang,2021,96,Aaron Rodgers,QB,6392,318.1
comp,hwang,2021,2505,Darren Waller,TE,6235,102.8
comp,hwang,2021,2133,Davante Adams,WR,6227,215.8
comp,hwang,2021,6790,D'Andre Swift,RB,6140,136.3
comp,hwang,2021,4217,George Kittle,TE,6050,159
comp,hwang,2021,6797,Justin Herbert,QB,5966,353.3
comp,hwang,2021,3321,Tyreek Hill,WR,5800,185.3
comp,hwang,2021,5850,Josh Jacobs,RB,5704,151.6
comp,hwang,2021,2449,Stefon Diggs,WR,5662,168.4
comp,hwang,2021,7553,Kyle Pitts,TE,5587,140.8
comp,hwang,2021,6151,Miles Sanders,RB,5586,91.2
comp,hwang,2021,6955,James Robinson,RB,5561,142.9
comp,hwang,2021,7588,Javonte Williams,RB,5549,155.5
comp,hwang,2021,421,Matthew Stafford,QB,5547,312.2
comp,hwang,2021,5846,DK Metcalf,WR,5455,163.5
comp,hwang,2021,4981,Calvin Ridley,WR,5382,40.1
comp,hwang,2021,1426,DeAndre Hopkins,WR,5334,105.2
comp,hwang,2021,6904,Jalen Hurts,QB,5304,312.2
comp,hwang,2021,5859,A.J. Brown,WR,5271,105.1
comp,hwang,2021,1049,Ryan Tannehill,QB,5166,241.1
comp,hwang,2021,5012,Mark Andrews,TE,5134,235.1
comp,hwang,2021,6794,Justin Jefferson,WR,5101,205.3
comp,hwang,2021,5844,T.J. Hockenson,TE,5002,114.8
comp,hwang,2021,5980,Myles Gaskin,RB,4964,123.6
comp,hwang,2021,1479,Keenan Allen,WR,4897,146.6
comp,hwang,2021,5927,Terry McLaurin,WR,4836,127.2
comp,hwang,2021,4098,Kareem Hunt,RB,4806,88
comp,hwang,2021,6786,CeeDee Lamb,WR,4659,149.3
comp,hwang,2021,6770,Joe Burrow,QB,4650,314.2
comp,hwang,2021,2216,Mike Evans,WR,4542,167.6
comp,hwang,2021,1352,Robert Woods,WR,4478,92.2
comp,hwang,2021,2309,Amari Cooper,WR,4466,126.6
comp,hwang,2021,7523,Trevor Lawrence,QB,4459,180.4
comp,hwang,2021,4037,Chris Godwin,WR,4455,144.4
comp,hwang,2021,5000,Chase Edmonds,RB,4453,100.3
comp,hwang,2021,2374,Tyler Lockett,WR,4292,146.4
comp,hwang,2021,7591,Justin Fields,QB,4291,126.8
comp,hwang,2021,2749,Raheem Mostert,RB,4248,2
comp,hwang,2021,1166,Kirk Cousins,QB,4203,278.4
comp,hwang,2021,1689,Adam Thielen,WR,4133,132.8
comp,hwang,2021,4039,Cooper Kupp,WR,4132,274.9
comp,hwang,2021,7610,Trey Lance,QB,4128,64.9
comp,hwang,2021,5937,Diontae Johnson,WR,4096,162.3
comp,hwang,2021,7593,Trey Sermon,RB,4095,25.3
comp,hwang,2021,4983,D.J. Moore,WR,4082,134.5
comp,hwang,2021,6803,Brandon Aiyuk,WR,3996,103.6
comp,hwang,2021,6886,Chase Claypool,WR,3994,94.6
comp,hwang,2021,4892,Baker Mayfield,QB,3991,180.9
comp,hwang,2021,4040,JuJu Smith-Schuster,WR,3844,19.8
comp,hwang,2021,6801,Tee Higgins,WR,3797,145.1
comp,hwang,2021,2078,Odell Beckham,WR,3787,83.3
comp,hwang,2021,5045,Courtland Sutton,WR,3709,90.3
comp,hwang,2021,6783,Jerry Jeudy,WR,3688,44
comp,hwang,2021,7564,Ja'Marr Chase,WR,3617,221
comp,hwang,2021,6768,Tua Tagovailoa,QB,3538,168.8
comp,hwang,2021,7525,DeVonta Smith,WR,3533,117.5
comp,hwang,2021,5857,Noah Fant,TE,3508,122.9
comp,hwang,2021,6845,Zack Moss,RB,3434,80.8
comp,hwang,2021,5872,Deebo Samuel,WR,3405,237
comp,hwang,2021,6828,AJ Dillon,RB,3392,144.9
comp,hwang,2021,3225,Tyler Boyd,WR,3342,116.8
comp,hwang,2021,5022,Dallas Goedert,TE,3274,137
comp,hwang,2021,2197,Brandin Cooks,WR,3219,139.2
comp,hwang,2021,6814,Laviska Shenault,WR,3168,57.8
comp,hwang,2021,6819,Michael Pittman,WR,3091,136.2
