value_basis,format,year,archetype_id,archetype_label,build_index,build_total_value,player_id,name,position,pos_rank,value,source_player,season_pts,hvorp,dropped,off_board
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,6826,Cole Kmet,TE,13,2898,George Kittle,84.4,59.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,7567,Kenneth Gainwell,RB,35,2632,Chuba Hubbard,75.7,53.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,6805,KJ Hamler,WR,58,1945,Courtland Sutton,7.4,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,2319,DeVante Parker,WR,57,2162,Chris Godwin,62.3,40.5,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,7535,Hunter Long,TE,32,768,Cade Otton,1.3,1.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,6865,Colby Parkinson,TE,40,0,Michael Mayer,3.4,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,5121,Braxton Berrios,WR,90,0,Keon Coleman,75.1,51.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,5970,Greg Dortch,WR,92,0,Curtis Samuel,3.4,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,6694,D'Ernest Johnson,RB,61,0,Isiah Pacheco,65.8,56.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,7021,Rico Dowdle,RB,65,0,Jaylen Wright,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,1373,Geno Smith,QB,37,0,Geno Smith,54.3,29.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,4080,Zay Jones,WR,104,0,Rashod Bateman,56.2,35.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,5133,Tyler Conklin,TE,45,0,Daniel Bellinger,106.2,80.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,7496,Nick Westbrook-Ikhine,WR,100,0,Cooper Kupp,55.8,39.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,6598,Trenton Irwin,WR,103,0,Devaughn Vele,2.5,1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,5137,Richie James,WR,102,0,Elijah Moore,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,7529,Gary Brightwell,RB,64,0,Devin Singletary,1,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,7083,Tyler Huntley,QB,46,0,Will Levis,75.8,58.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53730,4464,Nick Mullens,QB,45,0,Sam Howell,9.9,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,4034,Christian McCaffrey,RB,1,9608,Bijan Robinson,90.5,83.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,4988,Nick Chubb,RB,8,6441,James Cook,189.3,182.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,4663,Austin Ekeler,RB,13,5923,Breece Hall,249.9,242.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,5045,Courtland Sutton,WR,30,4184,Brian Thomas,90.3,75.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,4017,Deshaun Watson,QB,20,4236,Jared Goff,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,4098,Kareem Hunt,RB,24,3860,Derrick Henry,88,82,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,5870,Daniel Jones,QB,26,3037,Kyler Murray,166.5,151.5,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,7565,Terrace Marshall,WR,29,4245,Christian Watson,15.8,7.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,6826,Cole Kmet,TE,13,2898,George Kittle,84.4,67,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,2749,Raheem Mostert,RB,32,3007,Chuba Hubbard,2,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,7606,Kadarius Toney,WR,52,2522,Courtland Sutton,43.4,34.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,7670,Josh Palmer,WR,55,2346,Chris Godwin,49.4,36.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,7568,Brevin Jordan,TE,30,1074,Cade Otton,45.8,34.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,4054,Mo Alie-Cox,TE,35,578,Michael Mayer,63.9,50.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,7713,Jaelon Darden,WR,79,848,Keon Coleman,5.4,2.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,5374,Justin Watson,WR,96,0,Curtis Samuel,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,7529,Gary Brightwell,RB,64,0,Isiah Pacheco,1,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,7021,Rico Dowdle,RB,65,0,Jaylen Wright,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,827,Tyrod Taylor,QB,32,1280,Geno Smith,81.7,67.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,7757,Ben Skowronek,WR,88,0,Rashod Bateman,13.3,9.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,5133,Tyler Conklin,TE,45,0,Daniel Bellinger,106.2,87.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,4080,Zay Jones,WR,104,0,Cooper Kupp,56.2,43.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,4234,Noah Brown,WR,101,0,Devaughn Vele,18.4,11.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,6598,Trenton Irwin,WR,103,0,Elijah Moore,2.5,2.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,7551,Deon Jackson,RB,63,0,Devin Singletary,9.1,7.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,7083,Tyler Huntley,QB,46,0,Will Levis,75.8,67.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,56087,4464,Nick Mullens,QB,45,0,Sam Howell,9.9,9.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,4029,Dalvin Cook,RB,2,7347,Bijan Robinson,164.1,135,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,6945,Antonio Gibson,RB,7,6789,James Cook,166,132.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,4663,Austin Ekeler,RB,13,5923,Breece Hall,249.9,214.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,1352,Robert Woods,WR,28,4277,Brian Thomas,92.2,72.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,2306,Jameis Winston,QB,21,3589,Jared Goff,117.4,95.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,4098,Kareem Hunt,RB,24,3860,Derrick Henry,88,64.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,5870,Daniel Jones,QB,26,3037,Kyler Murray,166.5,140.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,7571,Rashod Bateman,WR,32,3967,Christian Watson,55.3,41,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,3271,Tyler Higbee,TE,12,2976,George Kittle,96,63.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,6845,Zack Moss,RB,34,2833,Chuba Hubbard,80.8,54.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,5917,Mecole Hardman,WR,54,2437,Courtland Sutton,70.6,43.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,7562,Tutu Atwell,WR,64,1521,Chris Godwin,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,6074,Donald Parham,TE,29,1099,Cade Otton,49,27.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,6001,Drew Sample,TE,37,487,Michael Mayer,12.3,2.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,7757,Ben Skowronek,WR,88,0,Keon Coleman,13.3,4.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,5121,Braxton Berrios,WR,90,0,Curtis Samuel,75.1,47.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,6144,Trayveon Williams,RB,58,223,Isiah Pacheco,1.3,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,4111,D'Onta Foreman,RB,62,0,Jaylen Wright,76.5,62.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,2307,Marcus Mariota,QB,35,933,Geno Smith,12.4,4.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,51298,4080,Zay Jones,WR,104,0,Rashod Bateman,56.2,35.6,0,0
