value_basis,format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,weight_sum,total_hvorp_a,total_hvorp_b,rel_diff_pct
ktc,hwang,archetype,2021,2025_2,WR_vs_TE,WR,TE,1574,851.03,45035.4,43963.9,2.4
ktc,hwang,archetype,2021,2025_3,QB_vs_RB,QB,RB,707,492.89,71112.7,30206.8,80.7
ktc,hwang,archetype,2021,2025_3,QB_vs_WR,QB,WR,117,85.41,15188.1,10497,36.5
ktc,hwang,archetype,2021,2025_3,QB_vs_TE,QB,TE,536,317.9,25931.6,15367,51.2
ktc,hwang,archetype,2021,2025_3,RB_vs_WR,RB,WR,2146,1779.32,158563.2,173239.5,-8.8
ktc,hwang,archetype,2021,2025_3,RB_vs_TE,RB,TE,1014,1004.1,116022,101353.2,13.5
ktc,hwang,archetype,2021,2025_3,WR_vs_TE,WR,TE,572,424.9,40342.7,40307.7,0.1
ktc,hwang,archetype,2021,2025_4,QB_vs_RB,QB,RB,643,525.29,70635,53769.3,27.1
ktc,hwang,archetype,2021,2025_4,QB_vs_WR,QB,WR,0,0,0,0,
ktc,hwang,archetype,2021,2025_4,QB_vs_TE,QB,TE,478,479.19,34920.5,27819.1,22.6
ktc,hwang,archetype,2021,2025_4,RB_vs_WR,RB,WR,1209,993.78,87489.2,65305.7,29
ktc,hwang,archetype,2021,2025_4,RB_vs_TE,RB,TE,1263,1171,146448,90837.7,46.9
ktc,hwang,archetype,2021,2025_4,WR_vs_TE,WR,TE,774,997.07,86950.4,83446.9,4.1
ktc,hwang,archetype,2021,2025_5,QB_vs_RB,QB,RB,1514,1446.87,112980.5,159180.3,-34
ktc,hwang,archetype,2021,2025_5,QB_vs_WR,QB,WR,1124,681.68,54226.8,46430.7,15.5
ktc,hwang,archetype,2021,2025_5,QB_vs_TE,QB,TE,663,455.23,26877.8,26451,1.6
ktc,hwang,archetype,2021,2025_5,RB_vs_WR,RB,WR,1019,537.53,39410.8,28981.6,30.5
ktc,hwang,archetype,2021,2025_5,RB_vs_TE,RB,TE,1645,839.19,86957.7,71448.4,19.6
ktc,hwang,archetype,2021,2025_5,WR_vs_TE,WR,TE,106,16.52,447.4,167.4,91.1
ktc,hwang,archetype,2021,2025_6,QB_vs_RB,QB,RB,349,347.34,48818,45865.4,6.2
ktc,hwang,archetype,2021,2025_6,QB_vs_WR,QB,WR,581,290.06,28594.6,24450,15.6
ktc,hwang,archetype,2021,2025_6,QB_vs_TE,QB,TE,454,209.49,17459.3,7965.1,74.7
ktc,hwang,archetype,2021,2025_6,RB_vs_WR,RB,WR,722,273.45,19767.8,12603.3,44.3
ktc,hwang,archetype,2021,2025_6,RB_vs_TE,RB,TE,80,33.91,2165.4,1890.1,13.6
ktc,hwang,archetype,2021,2025_6,WR_vs_TE,WR,TE,974,438.16,31324.6,20639.2,41.1
ktc,hwang,archetype,2021,2026_1,QB_vs_RB,QB,RB,562,548.53,57062.3,53725.5,6
ktc,hwang,archetype,2021,2026_1,QB_vs_WR,QB,WR,243,58.46,1597,2347.9,-38.1
