value_basis,format,year,archetype_id,player_id,avg_hvorp,avg_hvorp_weighted,build_count,avg_base_total,removal_pairs
ktc,hwang,2021,2024_1,6149,20.2,20,1000,1751,1900
ktc,hwang,2021,2024_1,6151,67.7,67.3,1000,1751,1900
ktc,hwang,2021,2024_1,6271,35.1,34.8,1000,1751,1900
ktc,hwang,2021,2024_1,6290,0.6,0.6,1000,1751,1900
ktc,hwang,2021,2024_1,6598,0.8,0.7,1000,1751,1900
ktc,hwang,2021,2024_1,6659,23.1,23,1000,1751,1900
ktc,hwang,2021,2024_1,6694,53.2,52.8,1000,1751,1900
ktc,hwang,2021,2024_1,6768,126.3,125.4,1000,1751,1900
ktc,hwang,2021,2024_1,6804,9.8,9.7,1000,1751,1900
ktc,hwang,2021,2024_1,6805,2.2,2.1,1000,1751,1900
ktc,hwang,2021,2024_1,6806,0,0,1000,1751,1900
ktc,hwang,2021,2024_1,6814,33.5,33.1,1000,1751,1900
ktc,hwang,2021,2024_1,6820,84.5,84.1,1000,1751,1900
ktc,hwang,2021,2024_1,6824,56.5,56.1,1000,1751,1900
ktc,hwang,2021,2024_1,6826,59.4,58.9,1000,1751,1900
ktc,hwang,2021,2024_1,6843,36.4,36.1,1000,1751,1900
ktc,hwang,2021,2024_1,6845,65.5,64.9,1000,1751,1900
ktc,hwang,2021,2024_1,6847,25.9,25.5,1000,1751,1900
ktc,hwang,2021,2024_1,6849,5.2,5.1,1000,1751,1900
ktc,hwang,2021,2024_1,6853,87.8,87.4,1000,1751,1900
ktc,hwang,2021,2024_1,6865,0.4,0.4,1000,1751,1900
ktc,hwang,2021,2024_1,6904,249.7,248.5,1000,1751,1900
ktc,hwang,2021,2024_1,6920,0,0,1000,1751,1900
ktc,hwang,2021,2024_1,6927,33.5,32.9,1000,1751,1900
ktc,hwang,2021,2024_1,6943,64.5,64.1,1000,1751,1900
ktc,hwang,2021,2024_1,6945,145.3,144.8,1000,1751,1900
ktc,hwang,2021,2024_1,7002,24.7,24.4,1000,1751,1900
ktc,hwang,2021,2024_1,7021,0,0,1000,1751,1900
ktc,hwang,2021,2024_1,7045,5.4,5.3,1000,1751,1900
ktc,hwang,2021,2024_1,7049,24.1,23.8,1000,1751,1900
ktc,hwang,2021,2024_1,7066,73.3,72.8,1000,1751,1900
ktc,hwang,2021,2024_1,7083,58.2,57.6,1000,1751,1900
ktc,hwang,2021,2024_1,7496,35,34.6,1000,1751,1900
ktc,hwang,2021,2024_1,7529,0,0,1000,1751,1900
ktc,hwang,2021,2024_1,7535,0.4,0.4,1000,1751,1900
ktc,hwang,2021,2024_1,7543,0,0,1000,1751,1900
ktc,hwang,2021,2024_1,7547,93,92.4,1000,1751,1900
ktc,hwang,2021,2024_1,7551,7.4,7.3,1000,1751,1900
ktc,hwang,2021,2024_1,7562,0,0,1000,1751,1900
ktc,hwang,2021,2024_1,7565,4.6,4.4,1000,1751,1900
ktc,hwang,2021,2024_1,7567,57.1,56.6,1000,1751,1900
ktc,hwang,2021,2024_1,7568,32.8,32.4,1000,1751,1900
ktc,hwang,2021,2024_1,7569,26.4,26,1000,1751,1900
ktc,hwang,2021,2024_1,7571,38.7,38.5,1000,1751,1900
ktc,hwang,2021,2024_1,7587,5.8,5.5,1000,1751,1900
ktc,hwang,2021,2024_1,7596,82.1,81.8,1000,1751,1900
ktc,hwang,2021,2024_1,7601,34.7,34.4,1000,1751,1900
ktc,hwang,2021,2024_1,7602,4.5,4.3,1000,1751,1900
ktc,hwang,2021,2024_1,7606,30.5,30.1,1000,1751,1900
ktc,hwang,2021,2024_1,7607,97.4,96.9,1000,1751,1900
ktc,hwang,2021,2024_1,7611,85,84.6,1000,1751,1900
ktc,hwang,2021,2024_1,7670,30.1,29.9,1000,1751,1900
ktc,hwang,2021,2024_1,7694,23.6,23.1,1000,1751,1900
ktc,hwang,2021,2024_1,7713,1.9,1.9,1000,1751,1900
ktc,hwang,2021,2024_1,7716,24.5,24.2,1000,1751,1900
ktc,hwang,2021,2024_1,7720,11.9,11.7,1000,1751,1900
ktc,hwang,2021,2024_1,7757,7,6.9,1000,1751,1900
ktc,hwang,2021,2024_2,421,197.3,196.5,1000,2000,3437
ktc,hwang,2021,2024_2,1166,162.5,162.1,1000,2000,3437
ktc,hwang,2021,2024_2,1234,120.6,119.7,1000,2000,3437
ktc,hwang,2021,2024_2,1339,95.9,95.2,1000,2000,3437
ktc,hwang,2021,2024_2,1535,142,141.4,1000,2000,3437
ktc,hwang,2021,2024_2,1689,96,95.4,1000,2000,3437
ktc,hwang,2021,2024_2,1837,119,118.4,1000,2000,3437
ktc,hwang,2021,2024_2,2028,123.9,123.3,1000,2000,3437
ktc,hwang,2021,2024_2,2078,48.8,48.4,1000,2000,3437
ktc,hwang,2021,2024_2,2161,4.4,4.2,1000,2000,3437
