value_basis,format,year,archetype_id,archetype_label,build_count,removal_pairs
ktc,hwang,2025,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,5283
ktc,hwang,2025,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,7206
ktc,hwang,2025,2024_5,2024 #5 — The Boomers (11-7),1000,2690
ktc,hwang,2025,2024_6,2024 #6 — seanjcrow (9-9),1000,9453
ktc,hwang,2025,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,4108
ktc,hwang,2025,2025_2,2025 #2 — seanjcrow (14-4),1000,13440
ktc,hwang,2025,2025_3,2025 #3 — Drake & Bake (13-5),1000,7595
ktc,hwang,2025,2025_4,2025 #4 — The Ladds (12-6),1000,9521
ktc,hwang,2025,2025_5,2025 #5 — House of Hwang (11-7),1000,10445
ktc,hwang,2025,2025_6,2025 #6 — aidsonballs (11-7),1000,5995
ktc,hwang,2025,2026_1,2026 #1 — The Ladds,1000,12182
ktc,hwang,2025,2026_2,2026 #2 — seanjcrow,1000,13630
ktc,hwang,2025,2026_3,2026 #3 — Eat It While She Sleeper,1000,12693
ktc,hwang,2025,2026_4,2026 #4 — Drake & Bake,1000,9677
ktc,hwang,2025,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,9224
ktc,hwang,2025,2026_6,2026 #6 — House of Hwang,1000,10478
ktc,hwang,2025,2026_7,2026 #7 — MrZaccheaus,1000,10936
ktc,regular,2021,2024_1,2024 #1 — Let James Cook (16-2),1000,1900
ktc,regular,2021,2024_2,2024 #2 — Age is just a number (15-3),1000,3437
ktc,regular,2021,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,1937
ktc,regular,2021,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,2017
ktc,regular,2021,2024_5,2024 #5 — The Boomers (11-7),1000,1028
ktc,regular,2021,2024_6,2024 #6 — seanjcrow (9-9),1000,3782
ktc,regular,2021,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,3733
ktc,regular,2021,2025_2,2025 #2 — seanjcrow (14-4),1000,4877
ktc,regular,2021,2025_3,2025 #3 — Drake & Bake (13-5),1000,5092
ktc,regular,2021,2025_4,2025 #4 — The Ladds (12-6),1000,4367
ktc,regular,2021,2025_5,2025 #5 — House of Hwang (11-7),1000,6071
ktc,regular,2021,2025_6,2025 #6 — aidsonballs (11-7),1000,3160
ktc,regular,2021,2026_1,2026 #1 — The Ladds,1000,4154
ktc,regular,2021,2026_2,2026 #2 — seanjcrow,1000,5815
ktc,regular,2021,2026_3,2026 #3 — Eat It While She Sleeper,1000,8293
ktc,regular,2021,2026_4,2026 #4 — Drake & Bake,1000,5839
ktc,regular,2021,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,5498
ktc,regular,2021,2026_6,2026 #6 — House of Hwang,1000,7897
ktc,regular,2021,2026_7,2026 #7 — MrZaccheaus,1000,6562
ktc,regular,2022,2024_1,2024 #1 — Let James Cook (16-2),1000,5920
ktc,regular,2022,2024_2,2024 #2 — Age is just a number (15-3),1000,5209
ktc,regular,2022,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,4695
ktc,regular,2022,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,4012
ktc,regular,2022,2024_5,2024 #5 — The Boomers (11-7),1000,2430
ktc,regular,2022,2024_6,2024 #6 — seanjcrow (9-9),1000,4463
ktc,regular,2022,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,6633
ktc,regular,2022,2025_2,2025 #2 — seanjcrow (14-4),1000,9347
ktc,regular,2022,2025_3,2025 #3 — Drake & Bake (13-5),1000,7562
ktc,regular,2022,2025_4,2025 #4 — The Ladds (12-6),1000,9243
ktc,regular,2022,2025_5,2025 #5 — House of Hwang (11-7),1000,7258
ktc,regular,2022,2025_6,2025 #6 — aidsonballs (11-7),1000,6395
ktc,regular,2022,2026_1,2026 #1 — The Ladds,1000,10996
ktc,regular,2022,2026_2,2026 #2 — seanjcrow,1000,8843
ktc,regular,2022,2026_3,2026 #3 — Eat It While She Sleeper,1000,11870
ktc,regular,2022,2026_4,2026 #4 — Drake & Bake,1000,10715
ktc,regular,2022,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,10439
ktc,regular,2022,2026_6,2026 #6 — House of Hwang,1000,10828
ktc,regular,2022,2026_7,2026 #7 — MrZaccheaus,1000,15946
ktc,regular,2023,2024_1,2024 #1 — Let James Cook (16-2),1000,7663
ktc,regular,2023,2024_2,2024 #2 — Age is just a number (15-3),1000,5798
ktc,regular,2023,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,4595
ktc,regular,2023,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,4917
ktc,regular,2023,2024_5,2024 #5 — The Boomers (11-7),1000,2171
ktc,regular,2023,2024_6,2024 #6 — seanjcrow (9-9),1000,7169
ktc,regular,2023,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,5891
ktc,regular,2023,2025_2,2025 #2 — seanjcrow (14-4),1000,9958
ktc,regular,2023,2025_3,2025 #3 — Drake & Bake (13-5),1000,7866
ktc,regular,2023,2025_4,2025 #4 — The Ladds (12-6),1000,11418
ktc,regular,2023,2025_5,2025 #5 — House of Hwang (11-7),1000,7653
ktc,regular,2023,2025_6,2025 #6 — aidsonballs (11-7),1000,7478
ktc,regular,2023,2026_1,2026 #1 — The Ladds,1000,10872
ktc,regular,2023,2026_2,2026 #2 — seanjcrow,1000,9840
ktc,regular,2023,2026_3,2026 #3 — Eat It While She Sleeper,1000,13146
ktc,regular,2023,2026_4,2026 #4 — Drake & Bake,1000,14877
ktc,regular,2023,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,10107
ktc,regular,2023,2026_6,2026 #6 — House of Hwang,1000,10037
ktc,regular,2023,2026_7,2026 #7 — MrZaccheaus,1000,12768
ktc,regular,2024,2024_1,2024 #1 — Let James Cook (16-2),1000,8083
ktc,regular,2024,2024_2,2024 #2 — Age is just a number (15-3),1000,10697
ktc,regular,2024,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,5992
ktc,regular,2024,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,5566
ktc,regular,2024,2024_5,2024 #5 — The Boomers (11-7),1000,3677
ktc,regular,2024,2024_6,2024 #6 — seanjcrow (9-9),1000,5668
ktc,regular,2024,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,6884
ktc,regular,2024,2025_2,2025 #2 — seanjcrow (14-4),1000,10235
ktc,regular,2024,2025_3,2025 #3 — Drake & Bake (13-5),1000,7335
ktc,regular,2024,2025_4,2025 #4 — The Ladds (12-6),1000,12459
ktc,regular,2024,2025_5,2025 #5 — House of Hwang (11-7),1000,11934
ktc,regular,2024,2025_6,2025 #6 — aidsonballs (11-7),1000,7863
ktc,regular,2024,2026_1,2026 #1 — The Ladds,1000,10466
ktc,regular,2024,2026_2,2026 #2 — seanjcrow,1000,9460
ktc,regular,2024,2026_3,2026 #3 — Eat It While She Sleeper,1000,14284
ktc,regular,2024,2026_4,2026 #4 — Drake & Bake,1000,11186
ktc,regular,2024,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,11295
ktc,regular,2024,2026_6,2026 #6 — House of Hwang,1000,14297
ktc,regular,2024,2026_7,2026 #7 — MrZaccheaus,1000,16037
ktc,regular,2025,2024_1,2024 #1 — Let James Cook (16-2),1000,6445
ktc,regular,2025,2024_2,2024 #2 — Age is just a number (15-3),1000,8240
ktc,regular,2025,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,5283
ktc,regular,2025,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,7206
ktc,regular,2025,2024_5,2024 #5 — The Boomers (11-7),1000,2690
ktc,regular,2025,2024_6,2024 #6 — seanjcrow (9-9),1000,9453
ktc,regular,2025,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,4108
ktc,regular,2025,2025_2,2025 #2 — seanjcrow (14-4),1000,13440
ktc,regular,2025,2025_3,2025 #3 — Drake & Bake (13-5),1000,7595
ktc,regular,2025,2025_4,2025 #4 — The Ladds (12-6),1000,9521
ktc,regular,2025,2025_5,2025 #5 — House of Hwang (11-7),1000,10445
ktc,regular,2025,2025_6,2025 #6 — aidsonballs (11-7),1000,5995
ktc,regular,2025,2026_1,2026 #1 — The Ladds,1000,12182
ktc,regular,2025,2026_2,2026 #2 — seanjcrow,1000,13630
ktc,regular,2025,2026_3,2026 #3 — Eat It While She Sleeper,1000,12693
ktc,regular,2025,2026_4,2026 #4 — Drake & Bake,1000,9677
ktc,regular,2025,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,9224
ktc,regular,2025,2026_6,2026 #6 — House of Hwang,1000,10478
ktc,regular,2025,2026_7,2026 #7 — MrZaccheaus,1000,10936
comp,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1000,2845
comp,hwang,2021,2024_2,2024 #2 — Age is just a number (15-3),1000,4451
comp,hwang,2021,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,4071
comp,hwang,2021,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,2499
comp,hwang,2021,2024_5,2024 #5 — The Boomers (11-7),1000,1382
comp,hwang,2021,2024_6,2024 #6 — seanjcrow (9-9),1000,2607
comp,hwang,2021,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,6691
comp,hwang,2021,2025_2,2025 #2 — seanjcrow (14-4),1000,5395
comp,hwang,2021,2025_3,2025 #3 — Drake & Bake (13-5),1000,3969
comp,hwang,2021,2025_4,2025 #4 — The Ladds (12-6),1000,4373
comp,hwang,2021,2025_5,2025 #5 — House of Hwang (11-7),1000,4205
comp,hwang,2021,2025_6,2025 #6 — aidsonballs (11-7),1000,3188
comp,hwang,2021,2026_1,2026 #1 — The Ladds,1000,7225
comp,hwang,2021,2026_2,2026 #2 — seanjcrow,1000,6269
comp,hwang,2021,2026_3,2026 #3 — Eat It While She Sleeper,1000,6021
comp,hwang,2021,2026_4,2026 #4 — Drake & Bake,1000,6403
comp,hwang,2021,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,8994
comp,hwang,2021,2026_6,2026 #6 — House of Hwang,1000,4253
comp,hwang,2021,2026_7,2026 #7 — MrZaccheaus,1000,4462
comp,hwang,2022,2024_1,2024 #1 — Let James Cook (16-2),1000,6766
comp,hwang,2022,2024_2,2024 #2 — Age is just a number (15-3),1000,5983
comp,hwang,2022,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,3465
comp,hwang,2022,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,4642
comp,hwang,2022,2024_5,2024 #5 — The Boomers (11-7),1000,5069
comp,hwang,2022,2024_6,2024 #6 — seanjcrow (9-9),1000,5631
comp,hwang,2022,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,5182
comp,hwang,2022,2025_2,2025 #2 — seanjcrow (14-4),1000,9354
comp,hwang,2022,2025_3,2025 #3 — Drake & Bake (13-5),1000,5788
comp,hwang,2022,2025_4,2025 #4 — The Ladds (12-6),1000,8073
comp,hwang,2022,2025_5,2025 #5 — House of Hwang (11-7),1000,7810
comp,hwang,2022,2025_6,2025 #6 — aidsonballs (11-7),1000,6337
comp,hwang,2022,2026_1,2026 #1 — The Ladds,1000,10164
comp,hwang,2022,2026_2,2026 #2 — seanjcrow,1000,6710
comp,hwang,2022,2026_3,2026 #3 — Eat It While She Sleeper,1000,9215
comp,hwang,2022,2026_4,2026 #4 — Drake & Bake,1000,7114
comp,hwang,2022,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,6919
comp,hwang,2022,2026_6,2026 #6 — House of Hwang,1000,10216
comp,hwang,2022,2026_7,2026 #7 — MrZaccheaus,1000,7391
comp,hwang,2023,2024_1,2024 #1 — Let James Cook (16-2),1000,6739
comp,hwang,2023,2024_2,2024 #2 — Age is just a number (15-3),1000,5792
comp,hwang,2023,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,3290
comp,hwang,2023,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,5479
comp,hwang,2023,2024_5,2024 #5 — The Boomers (11-7),1000,3883
comp,hwang,2023,2024_6,2024 #6 — seanjcrow (9-9),1000,5305
comp,hwang,2023,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,3852
comp,hwang,2023,2025_2,2025 #2 — seanjcrow (14-4),1000,9061
comp,hwang,2023,2025_3,2025 #3 — Drake & Bake (13-5),1000,6940
comp,hwang,2023,2025_4,2025 #4 — The Ladds (12-6),1000,11128
comp,hwang,2023,2025_5,2025 #5 — House of Hwang (11-7),1000,6583
