year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_rb1_rb2_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_rb1_name,roster_rb2_name,roster_rb2_adp
2021,2024_1,2024 #1 — Let James Cook (16-2),10,natural,none,0,0,2185.6,22.03,56597,,,Christian McCaffrey,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),10,none,none,0,0,2185.6,22.03,56597,,,Christian McCaffrey,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),10,single,single,1,0,1989.7,19.28,56622,GB,Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),10,multi,multi,2,0,2040.6,20.19,57641,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),11,natural,none,0,0,2312.9,22.99,58258,,,Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),11,none,none,0,0,2312.9,22.99,58258,,,Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),11,single,single,1,0,2353,21.53,57642,GB,Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),11,multi,multi,2,0,2377.1,21.06,58656,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),12,natural,none,0,0,2003.4,23.02,54031,,,Alvin Kamara,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),12,none,none,0,0,2003.4,23.02,54031,,,Alvin Kamara,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),12,single,single,1,0,2001.2,22.86,53049,GB,Aaron Jones/AJ Dillon (GB),Aaron Jones,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),13,natural,none,0,0,2273.6,26.84,53574,,,Dalvin Cook,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),13,none,none,0,0,2273.6,26.84,53574,,,Dalvin Cook,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),13,single,single,1,0,2252.7,26.36,51545,IND,Jonathan Taylor/Nyheim Hines (IND),Dalvin Cook,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),13,multi,multi,2,0,2254.9,28.99,54630,CAR|IND,Christian McCaffrey/Chuba Hubbard (CAR); Jonathan Taylor/Nyheim Hines (IND),Christian McCaffrey,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),14,natural,none,0,0,2024.7,29.94,54654,,,Dalvin Cook,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),14,none,none,0,0,2024.7,29.94,54654,,,Dalvin Cook,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),14,single,single,1,0,2011.8,32.95,57647,CAR,Christian McCaffrey/Chuba Hubbard (CAR),Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),14,multi,multi,2,0,2085.7,31.52,56564,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),15,natural,none,0,0,2485.2,24.95,54825,,,Dalvin Cook,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),15,none,none,0,0,2485.2,24.95,54825,,,Dalvin Cook,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),15,single,single,1,0,2287.3,17.55,54850,GB,Aaron Jones/AJ Dillon (GB),Dalvin Cook,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),16,natural,none,0,0,2230.8,24.36,54915,,,Dalvin Cook,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),16,none,none,0,0,2230.8,24.36,54915,,,Dalvin Cook,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),16,single,single,1,0,2095.5,26.27,54519,GB,Aaron Jones/AJ Dillon (GB),Dalvin Cook,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),16,multi,multi,2,0,2089.5,27.84,57627,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),17,natural,none,0,0,1564.4,25.03,56956,,,Christian McCaffrey,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),17,none,none,0,0,1564.4,25.03,56956,,,Christian McCaffrey,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),17,single,single,1,0,1631.9,26.73,57970,CAR,Christian McCaffrey/Chuba Hubbard (CAR),Christian McCaffrey,Najee Harris,10
