year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_wr1_qb_stack,any_qb_wr_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_wr1_name,roster_wr1_team
2021,2024_1,2024 #1 — Let James Cook (16-2),9,natural,single,1,0,1,2232.4,24.8,53981,JAX,Trevor Lawrence/Laviska Shenault (JAX),Deebo Samuel,SF
2021,2024_1,2024 #1 — Let James Cook (16-2),9,none,none,0,0,1,2286.5,24.74,54487,,,DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),9,single,single,1,0,1,2232.4,24.8,53981,JAX,Trevor Lawrence/Laviska Shenault (JAX),Deebo Samuel,SF
2021,2024_1,2024 #1 — Let James Cook (16-2),9,multi,multi,2,1,1,2158.2,25,53884,JAX|HOU,Trevor Lawrence/Laviska Shenault (JAX); Tyrod Taylor/Brandin Cooks (HOU),Brandin Cooks,HOU
2021,2024_1,2024 #1 — Let James Cook (16-2),10,natural,none,0,0,0,2239.1,22.74,57501,,,Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),10,none,none,0,0,0,2239.1,22.74,57501,,,Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),10,single,single,1,0,1,2129.6,26.12,57240,HOU,Tyrod Taylor/Brandin Cooks (HOU),Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),10,multi,multi,2,1,1,2059.9,26.86,56981,JAX|HOU,Trevor Lawrence/Laviska Shenault (JAX); Tyrod Taylor/Brandin Cooks (HOU),Brandin Cooks,HOU
2021,2024_1,2024 #1 — Let James Cook (16-2),11,natural,single,1,1,1,2117.9,27.75,57895,DEN,Drew Lock/Courtland Sutton (DEN),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),11,none,none,0,0,1,2122.1,24.96,58007,,,Odell Beckham,LA
2021,2024_1,2024 #1 — Let James Cook (16-2),11,single,single,1,1,1,2117.9,27.75,57895,DEN,Drew Lock/Courtland Sutton (DEN),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),11,multi,multi,2,1,1,2145.3,24.39,57395,MIA|DEN,Tua Tagovailoa/Jaylen Waddle (MIA); Drew Lock/Courtland Sutton (DEN),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),12,natural,none,0,0,1,2218,28.17,54458,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),12,none,none,0,0,1,2218,28.17,54458,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),12,single,single,1,0,1,2112.7,32.62,54702,JAX,Trevor Lawrence/Laviska Shenault (JAX),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),12,multi,multi,2,0,1,2215,28.16,54927,JAX|CHI,Trevor Lawrence/Laviska Shenault (JAX); Justin Fields/Darnell Mooney (CHI),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),13,natural,none,0,0,1,2151.6,24.89,57126,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),13,none,none,0,0,1,2151.6,24.89,57126,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),13,single,single,1,0,1,2136.9,30.87,57567,CLE,Baker Mayfield/Donovan Peoples-Jones (CLE),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),13,multi,multi,2,0,1,2162.1,31.63,57727,CLE|HOU,Baker Mayfield/Donovan Peoples-Jones (CLE); Tyrod Taylor/Brandin Cooks (HOU),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),14,natural,none,0,0,0,2070.3,19.76,57202,,,Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),14,none,none,0,0,0,2070.3,19.76,57202,,,Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),14,single,single,1,0,1,2105.4,22.94,57362,JAX,Trevor Lawrence/Laviska Shenault (JAX),Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),14,multi,multi,2,0,1,2144.5,23.11,57417,JAX|CLE,Trevor Lawrence/Laviska Shenault (JAX); Baker Mayfield/Donovan Peoples-Jones (CLE),Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),15,natural,single,1,0,1,1932.2,19.41,53707,LV,Derek Carr/Hunter Renfrow (LV),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),15,none,none,0,0,0,1860.9,20.71,53725,,,Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),15,single,single,1,0,1,1932.2,19.41,53707,LV,Derek Carr/Hunter Renfrow (LV),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),15,multi,multi,2,0,1,1865.8,18.56,53811,JAX|LV,Trevor Lawrence/Laviska Shenault (JAX); Derek Carr/Hunter Renfrow (LV),Courtland Sutton,DEN
