year,archetype_id,archetype_label,build_index,variant,stack_class,max_n,n_groups,season_total,weekly_std,roster_value,primary_team,shape,names,all_groups
2021,2024_1,2024 #1 — Let James Cook (16-2),10,natural,none,0,0,1695.4,27.31,55364,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),10,none,none,0,0,1695.4,27.31,55364,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),10,double,double,2,1,1734.8,26.56,55708,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),10,triple,triple,3,1,1627.5,26.19,56868,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),11,natural,none,0,0,2015.8,24.26,55632,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),11,none,none,0,0,2015.8,24.26,55632,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),11,double,double,2,1,2043,24.45,55854,DEN,WR/WR,Jerry Jeudy/Courtland Sutton,DEN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),11,triple,triple,3,1,2039.2,23.62,56568,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),12,natural,none,0,0,2464,27.38,53016,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),12,none,none,0,0,2464,27.38,53016,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),12,double,double,2,1,2355.9,25.87,52928,CIN,WR/WR,Ja'Marr Chase/Tyler Boyd,CIN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),12,triple,triple,3,1,2167.1,30.63,53801,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),13,natural,none,0,0,2218.9,24.07,55171,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),13,none,none,0,0,2218.9,24.07,55171,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),13,double,double,2,1,2291.8,24.36,55174,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),13,triple,triple,3,1,2089.5,23.13,56077,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),14,natural,none,0,0,2136.9,29.05,56190,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),14,none,none,0,0,2136.9,29.05,56190,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),14,double,double,2,1,2022,29.45,56369,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),14,triple,triple,3,1,2045.1,23.34,55298,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),15,natural,none,0,0,2054.4,17.82,54900,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),15,none,none,0,0,2054.4,17.82,54900,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),15,double,double,2,1,1878.4,20.2,55298,DEN,WR/WR,Jerry Jeudy/Courtland Sutton,DEN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),15,triple,triple,3,1,2115.5,19.84,55370,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),16,natural,none,0,0,2132.5,23.87,54917,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),16,none,none,0,0,2132.5,23.87,54917,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),16,double,double,2,1,2198,24.86,54920,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),16,triple,triple,3,1,2154.7,26.95,54489,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),17,natural,double,2,1,2147.1,31.06,53601,CIN,WR/WR,Ja'Marr Chase/Tyler Boyd,CIN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),17,none,none,0,0,2099.5,31.45,53362,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),17,double,double,2,1,2147.1,31.06,53601,CIN,WR/WR,Ja'Marr Chase/Tyler Boyd,CIN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),17,triple,triple,3,1,2156,29.36,53682,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),18,natural,none,0,0,2067.2,27.3,54777,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),18,none,none,0,0,2067.2,27.3,54777,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),18,double,double,2,1,1926.2,26.11,55205,DEN,WR/WR,Jerry Jeudy/Courtland Sutton,DEN:WR/WR
