name,position,ktc_player_id,ktc_slug,sleeper_id,team,rank_basis,history_days,history_start,history_end
Chigoziem Okonkwo,TE,1320,chigoziem-okonkwo-1320,8210,WAS,sf_tep,1509,2022-05-02,2026-06-21
Chimere Dike,WR,1814,chimere-dike-1814,,TEN,sf,415,2025-04-30,2026-06-21
Chris Bell,WR,1968,chris-bell-1968,,MIA,sf,123,2026-02-18,2026-06-21
Chris Brazzell II,WR,1971,chris-brazzell-ii-1971,,CAR,sf,123,2026-02-18,2026-06-21
Chris Brooks,RB,1490,chris-brooks-1490,11370,GBP,sf,1128,2023-05-18,2026-06-21
Chris Godwin,WR,299,chris-godwin-299,4037,TBB,sf,2273,2020-04-01,2026-06-21
Chris Olave,WR,1271,chris-olave-1271,8144,NOS,sf,1573,2022-02-27,2026-06-21
Chris Rodriguez,RB,1389,chris-rodriguez-1389,10219,JAC,sf,1197,2023-03-10,2026-06-21
Christian Kirk,WR,221,christian-kirk-221,4950,SFO,sf,2273,2020-04-01,2026-06-21
Christian McCaffrey,RB,283,christian-mccaffrey-283,4034,SFO,sf,2273,2020-04-01,2026-06-21
Christian Watson,WR,1248,christian-watson-1248,8167,GBP,sf,1573,2022-02-27,2026-06-21
Chuba Hubbard,RB,1014,chuba-hubbard-1014,7594,CAR,sf,1922,2021-03-18,2026-06-21
CJ Daniels,WR,1966,cj-daniels-1966,,LAR,sf,123,2026-02-18,2026-06-21
C.J. Stroud,QB,1403,cj-stroud-1403,9758,HOU,sf,1197,2023-03-10,2026-06-21
Colby Parkinson,TE,565,colby-parkinson-565,6865,LAR,sf_tep,2267,2020-04-01,2026-06-21
Cole Kmet,TE,569,cole-kmet-569,6826,CHI,sf_tep,2267,2020-04-07,2026-06-21
Cole Payton,QB,2027,cole-payton-2027,,PHI,sf,53,2026-04-29,2026-06-21
Colston Loveland,TE,1804,colston-loveland-1804,,CHI,sf_tep,491,2025-02-13,2026-06-21
Cooper Kupp,WR,310,cooper-kupp-310,4039,SEA,sf,2273,2020-04-01,2026-06-21
Courtland Sutton,WR,226,courtland-sutton-226,5045,DEN,sf,2273,2020-04-01,2026-06-21
Cyrus Allen,WR,1980,cyrus-allen-1980,,KCC,sf,47,2026-05-05,2026-06-21
D'Andre Swift,RB,639,d-andre-swift-639,6790,CHI,sf,2267,2020-04-07,2026-06-21
Dak Prescott,QB,371,dak-prescott-371,3294,DAL,sf,2218,2020-05-26,2026-06-21
Dallas Goedert,TE,382,dallas-goedert-382,5022,PHI,sf_tep,2273,2020-04-01,2026-06-21
Dalton Kincaid,TE,1428,dalton-kincaid-1428,10236,BUF,sf_tep,1197,2023-03-10,2026-06-21
Dalton Schultz,TE,487,dalton-schultz-487,5001,HOU,sf_tep,2273,2020-04-01,2026-06-21
Dameon Pierce,RB,1207,dameon-pierce-1207,8129,PHI,sf,1573,2022-02-27,2026-06-21
Damien Martinez,RB,1754,damien-martinez-1754,,GBP,sf,491,2025-02-13,2026-06-21
Daniel Bellinger,TE,1322,daniel-bellinger-1322,8225,TEN,sf_tep,1509,2022-05-02,2026-06-21
Daniel Jones,QB,87,daniel-jones-87,5870,IND,sf,2218,2020-05-26,2026-06-21
Darius Slayton,WR,77,darius-slayton-77,6149,NYG,sf,2273,2020-04-01,2026-06-21
Darnell Mooney,WR,911,darnell-mooney-911,7090,NYG,sf,2217,2020-05-27,2026-06-21
Darnell Washington,TE,1431,darnell-washington-1431,9479,PIT,sf_tep,1197,2023-03-10,2026-06-21
Darren Waller,TE,349,darren-waller-349,2505,FA,sf_tep,2273,2020-04-01,2026-06-21
Davante Adams,WR,277,davante-adams-277,2133,LAR,sf,2273,2020-04-01,2026-06-21
David Bell,WR,1275,david-bell-1275,8118,CLE,sf,1573,2022-02-27,2026-06-21
David Montgomery,RB,288,david-montgomery-288,5892,HOU,sf,2273,2020-04-01,2026-06-21
David Njoku,TE,252,david-njoku-252,4033,LAC,sf_tep,2273,2020-04-01,2026-06-21
Davis Allen,TE,1434,davis-allen-1434,10214,LAR,sf_tep,1197,2023-03-10,2026-06-21
Davis Mills,QB,1029,davis-mills-1029,7585,HOU,sf,1916,2021-03-21,2026-06-21
Dawson Knox,TE,88,dawson-knox-88,5906,BUF,sf_tep,2273,2020-04-01,2026-06-21
De'Von Achane,RB,1398,de-von-achane-1398,9226,MIA,sf,1197,2023-03-10,2026-06-21
De'Zhaun Stribling,WR,1976,de-zhaun-stribling-1976,,SFO,sf,61,2026-04-21,2026-06-21
Deebo Samuel,WR,383,deebo-samuel-383,5872,FA,sf,2273,2020-04-01,2026-06-21
Deion Burks,WR,1972,deion-burks-1972,,IND,sf,123,2026-02-18,2026-06-21
Demarcus Robinson,WR,52,demarcus-robinson-52,3286,SFO,sf,2273,2020-04-01,2026-06-21
Demario Douglas,WR,1468,demario-douglas-1468,9501,NEP,sf,1144,2023-05-02,2026-06-21
Demond Claiborne,RB,1943,demond-claiborne-1943,,MIN,sf,123,2026-02-18,2026-06-21
Denzel Boston,WR,1962,denzel-boston-1962,,CLE,sf,123,2026-02-18,2026-06-21
Derius Davis,WR,1473,derius-davis-1473,10234,LAC,sf,1144,2023-05-02,2026-06-21
Derrick Henry,RB,296,derrick-henry-296,3198,BAL,sf,2273,2020-04-01,2026-06-21
Deshaun Watson,QB,261,deshaun-watson-261,4017,CLE,sf,2218,2020-05-26,2026-06-21
Deuce Vaughn,RB,1391,deuce-vaughn-1391,9505,FA,sf,1197,2023-03-10,2026-06-21
Devaughn Vele,WR,1643,devaughn-vele-1643,,NOS,sf,779,2024-05-01,2026-06-21
Devin Neal,RB,1746,devin-neal-1746,,NOS,sf,491,2025-02-13,2026-06-21
Devin Singletary,RB,238,devin-singletary-238,6130,NYG,sf,2273,2020-04-01,2026-06-21
DeVonta Smith,WR,1005,devonta-smith-1005,7525,PHI,sf,1922,2021-03-18,2026-06-21
Devontez Walker,WR,1592,devontez-walker-1592,11629,BAL,sf,854,2024-02-16,2026-06-21
Dillon Gabriel,QB,1737,dillon-gabriel-1737,,CLE,sf,491,2025-02-13,2026-06-21
DJ Giddens,RB,1760,dj-giddens-1760,,IND,sf,491,2025-02-13,2026-06-21
D.J. Moore,WR,304,dj-moore-304,4983,BUF,sf,2273,2020-04-01,2026-06-21
DK Metcalf,WR,224,dk-metcalf-224,5846,PIT,sf,2273,2020-04-01,2026-06-21
Donovan Edwards,RB,1757,donovan-edwards-1757,,MIA,sf,491,2025-02-13,2026-06-21
Dont'e Thornton,WR,1787,dont-e-thornton-1787,,LVR,sf,417,2025-02-13,2026-06-21
Dontayvion Wicks,WR,1448,dontayvion-wicks-1448,9486,PHI,sf,1197,2023-03-10,2026-06-21
Drake London,WR,1268,drake-london-1268,8112,ATL,sf,1573,2022-02-27,2026-06-21
Drake Maye,QB,1551,drake-maye-1551,11564,NEP,sf,854,2024-02-16,2026-06-21
Drew Allar,QB,1930,drew-allar-1930,,PIT,sf,61,2026-04-21,2026-06-21
