season,pos_a,pos_b,pair_key,player_a,player_b,player_id_a,player_id_b,value_a,value_b,value_gap,hvorp_a,hvorp_b,delta
2021,QB,RB,QB_vs_RB,Tyrod Taylor,Alexander Mattison,827,5987,1104,1224,-120,81.7,91.8,-10.1
2021,QB,RB,QB_vs_RB,Tyrod Taylor,Rhamondre Stevenson,827,7611,1104,1150,-46,81.7,97.3,-15.6
2021,QB,RB,QB_vs_RB,Tyrod Taylor,Rashaad Penny,827,4985,1104,1042,62,81.7,90.7,-9
2021,QB,RB,QB_vs_RB,Tyrod Taylor,Joshua Kelley,827,7045,1104,1035,69,81.7,12,69.7
2021,QB,RB,QB_vs_RB,Tyrod Taylor,Jerick McKinnon,827,2161,1104,1035,69,81.7,11.9,69.8
2021,QB,RB,QB_vs_RB,Tyrod Taylor,Boston Scott,827,5122,1104,1033,71,81.7,85.6,-3.9
2021,QB,RB,QB_vs_RB,Tyrod Taylor,Kenneth Gainwell,827,7567,1104,997,107,81.7,75.7,6
2021,QB,RB,QB_vs_RB,Tyrod Taylor,Ty Johnson,827,6039,1104,961,143,81.7,83.1,-1.4
2021,QB,RB,QB_vs_RB,Gardner Minshew,Alexander Mattison,6011,5987,1043,1224,-181,19.2,91.8,-72.6
2021,QB,RB,QB_vs_RB,Gardner Minshew,Rhamondre Stevenson,6011,7611,1043,1150,-107,19.2,97.3,-78.1
2021,QB,RB,QB_vs_RB,Gardner Minshew,Rashaad Penny,6011,4985,1043,1042,1,19.2,90.7,-71.5
2021,QB,RB,QB_vs_RB,Gardner Minshew,Joshua Kelley,6011,7045,1043,1035,8,19.2,12,7.2
2021,QB,RB,QB_vs_RB,Gardner Minshew,Jerick McKinnon,6011,2161,1043,1035,8,19.2,11.9,7.3
2021,QB,RB,QB_vs_RB,Gardner Minshew,Boston Scott,6011,5122,1043,1033,10,19.2,85.6,-66.4
2021,QB,RB,QB_vs_RB,Gardner Minshew,Kenneth Gainwell,6011,7567,1043,997,46,19.2,75.7,-56.5
2021,QB,RB,QB_vs_RB,Gardner Minshew,Ty Johnson,6011,6039,1043,961,82,19.2,83.1,-63.9
2021,QB,RB,QB_vs_RB,Marcus Mariota,Rhamondre Stevenson,2307,7611,988,1150,-162,12.4,97.3,-84.9
2021,QB,RB,QB_vs_RB,Marcus Mariota,Rashaad Penny,2307,4985,988,1042,-54,12.4,90.7,-78.3
2021,QB,RB,QB_vs_RB,Marcus Mariota,Joshua Kelley,2307,7045,988,1035,-47,12.4,12,0.4
2021,QB,RB,QB_vs_RB,Marcus Mariota,Jerick McKinnon,2307,2161,988,1035,-47,12.4,11.9,0.5
2021,QB,RB,QB_vs_RB,Marcus Mariota,Boston Scott,2307,5122,988,1033,-45,12.4,85.6,-73.2
2021,QB,RB,QB_vs_RB,Marcus Mariota,Kenneth Gainwell,2307,7567,988,997,-9,12.4,75.7,-63.3
2021,QB,RB,QB_vs_RB,Marcus Mariota,Ty Johnson,2307,6039,988,961,27,12.4,83.1,-70.7
2021,QB,RB,QB_vs_RB,Jordan Love,Rashaad Penny,6804,4985,943,1042,-99,13.9,90.7,-76.8
2021,QB,RB,QB_vs_RB,Jordan Love,Joshua Kelley,6804,7045,943,1035,-92,13.9,12,1.9
2021,QB,RB,QB_vs_RB,Jordan Love,Jerick McKinnon,6804,2161,943,1035,-92,13.9,11.9,2
2021,QB,RB,QB_vs_RB,Jordan Love,Boston Scott,6804,5122,943,1033,-90,13.9,85.6,-71.7
2021,QB,RB,QB_vs_RB,Jordan Love,Kenneth Gainwell,6804,7567,943,997,-54,13.9,75.7,-61.8
2021,QB,RB,QB_vs_RB,Jordan Love,Ty Johnson,6804,6039,943,961,-18,13.9,83.1,-69.2
2021,QB,RB,QB_vs_RB,Jordan Love,Salvon Ahmed,6804,6918,943,768,175,13.9,26.6,-12.7
2021,QB,RB,QB_vs_RB,Davis Mills,Ty Johnson,7585,6039,761,961,-200,129.7,83.1,46.6
2021,QB,RB,QB_vs_RB,Davis Mills,Salvon Ahmed,7585,6918,761,768,-7,129.7,26.6,103.1
2021,QB,RB,QB_vs_RB,Davis Mills,Samaje Perine,7585,4147,761,681,80,129.7,56.2,73.5
2021,QB,RB,QB_vs_RB,Taylor Heinicke,Ty Johnson,2711,6039,761,961,-200,216.8,83.1,133.7
2021,QB,RB,QB_vs_RB,Taylor Heinicke,Salvon Ahmed,2711,6918,761,768,-7,216.8,26.6,190.2
2021,QB,RB,QB_vs_RB,Taylor Heinicke,Samaje Perine,2711,4147,761,681,80,216.8,56.2,160.6
2021,QB,RB,QB_vs_RB,Mitchell Trubisky,Ty Johnson,3976,6039,761,961,-200,7.8,83.1,-75.3
2021,QB,RB,QB_vs_RB,Mitchell Trubisky,Salvon Ahmed,3976,6918,761,768,-7,7.8,26.6,-18.8
2021,QB,RB,QB_vs_RB,Mitchell Trubisky,Samaje Perine,3976,4147,761,681,80,7.8,56.2,-48.4
2021,QB,WR,QB_vs_WR,Lamar Jackson,Tyreek Hill,4881,3321,7668,7476,192,240,185.3,54.7
2021,QB,WR,QB_vs_WR,Dak Prescott,Tyreek Hill,3294,3321,7475,7476,-1,288.8,185.3,103.5
2021,QB,WR,QB_vs_WR,Russell Wilson,Stefon Diggs,1234,2449,6889,6960,-71,218.8,168.4,50.4
2021,QB,WR,QB_vs_WR,Aaron Rodgers,DK Metcalf,96,5846,6741,6679,62,318.1,163.5,154.6
2021,QB,WR,QB_vs_WR,Justin Herbert,DeAndre Hopkins,6797,1426,6301,6491,-190,353.3,105.2,248.1
