season,pos_a,pos_b,pair_key,player_a,player_b,player_id_a,player_id_b,value_a,value_b,value_gap,hvorp_a,hvorp_b,delta
2021,QB,RB,QB_vs_RB,Jimmy Garoppolo,Ty Johnson,1837,6039,1763,1593,170,214.8,83.1,131.7
2021,QB,RB,QB_vs_RB,Jimmy Garoppolo,Khalil Herbert,1837,7608,1763,1589,174,214.8,63.8,151
2021,QB,RB,QB_vs_RB,Drew Lock,Elijah Mitchell,5854,7561,1323,1486,-163,28.9,137.5,-108.6
2021,QB,RB,QB_vs_RB,Drew Lock,Rashaad Penny,5854,4985,1323,1426,-103,28.9,90.7,-61.8
2021,QB,RB,QB_vs_RB,Drew Lock,Salvon Ahmed,5854,6918,1323,1411,-88,28.9,26.6,2.3
2021,QB,RB,QB_vs_RB,Drew Lock,Chris Evans,5854,7794,1323,1371,-48,28.9,22.9,6
2021,QB,RB,QB_vs_RB,Davis Mills,Elijah Mitchell,7585,7561,1292,1486,-194,129.7,137.5,-7.8
2021,QB,RB,QB_vs_RB,Davis Mills,Rashaad Penny,7585,4985,1292,1426,-134,129.7,90.7,39
2021,QB,RB,QB_vs_RB,Davis Mills,Salvon Ahmed,7585,6918,1292,1411,-119,129.7,26.6,103.1
2021,QB,RB,QB_vs_RB,Davis Mills,Chris Evans,7585,7794,1292,1371,-79,129.7,22.9,106.8
2021,QB,RB,QB_vs_RB,Davis Mills,Boston Scott,7585,5122,1292,1106,186,129.7,85.6,44.1
2021,QB,RB,QB_vs_RB,Tyrod Taylor,Rashaad Penny,827,4985,1280,1426,-146,81.7,90.7,-9
2021,QB,RB,QB_vs_RB,Tyrod Taylor,Salvon Ahmed,827,6918,1280,1411,-131,81.7,26.6,55.1
2021,QB,RB,QB_vs_RB,Tyrod Taylor,Chris Evans,827,7794,1280,1371,-91,81.7,22.9,58.8
2021,QB,RB,QB_vs_RB,Tyrod Taylor,Boston Scott,827,5122,1280,1106,174,81.7,85.6,-3.9
2021,QB,RB,QB_vs_RB,Gardner Minshew,Boston Scott,6011,5122,1077,1106,-29,19.2,85.6,-66.4
2021,QB,RB,QB_vs_RB,Taylor Heinicke,Boston Scott,2711,5122,1035,1106,-71,216.8,85.6,131.2
2021,QB,RB,QB_vs_RB,Taylor Heinicke,Ke'Shawn Vaughn,2711,6885,1035,867,168,216.8,22.5,194.3
2021,QB,RB,QB_vs_RB,Marcus Mariota,Boston Scott,2307,5122,933,1106,-173,12.4,85.6,-73.2
2021,QB,RB,QB_vs_RB,Marcus Mariota,Ke'Shawn Vaughn,2307,6885,933,867,66,12.4,22.5,-10.1
2021,QB,RB,QB_vs_RB,Marcus Mariota,DeeJay Dallas,2307,6931,933,809,124,12.4,39,-26.6
2021,QB,RB,QB_vs_RB,Marcus Mariota,Jeffery Wilson,2307,5284,933,800,133,12.4,44.5,-32.1
2021,QB,RB,QB_vs_RB,Mitchell Trubisky,Samaje Perine,3976,4147,354,504,-150,7.8,56.2,-48.4
