year,ktc_snapshot_date,name,position,team,ktc_value,ktc_pos_rank,adp_stack_rank,adp_eff_rank,bb_avg_adp,adp_avg,competitor_adjusted_value,redraft_value_index,rebuilder_adjusted_value,rebuild_value_index,adp_synthetic,adp_source
2020,2020-09-10,Josh Allen,QB,,6306,8,8,7.73,89.0,89.0,6020,0.9546,6571,1.042,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Odell Beckham,WR,,6231,17,12,12.3,34.0,37.7,5540,0.8891,6872,1.1029,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Aaron Jones,RB,,6225,15,11,11.27,17.0,14.1,5733,0.921,6682,1.0734,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,D'Andre Swift,RB,,6184,16,30,29.86,59.5,70.8,2093,0.3385,9162,1.4816,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jerry Jeudy,WR,,6177,18,41,40.6,113.5,100.5,3012,0.4876,8263,1.3377,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Cooper Kupp,WR,,6083,19,9,9.4,38.0,30.5,5771,0.9487,6373,1.0477,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Tua Tagovailoa,QB,,6005,9,31,33.35,240.5,240.5,1384,0.2305,9956,1.658,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Zach Ertz,TE,,5840,4,4,3.84,49.5,49.5,5257,0.9002,6381,1.0926,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Daniel Jones,QB,,5783,10,14,13.97,119.0,119.0,4611,0.7973,6824,1.18,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Robert Woods,WR,,5731,20,19,18.8,46.5,44.2,5052,0.8815,6361,1.1099,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Darren Waller,TE,,5698,5,5,4.99,63.5,63.5,4920,0.8635,6420,1.1267,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Keenan Allen,WR,,5669,21,24,23.9,55.5,60.0,4581,0.8081,6620,1.1678,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Cam Akers,RB,,5647,17,24,23.68,49.5,50.0,3261,0.5775,7561,1.3389,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Tyler Lockett,WR,,5471,22,23,23.28,57.0,59.4,4603,0.8413,6266,1.1453,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Marquise Brown,WR,,5450,23,27,26.98,63.5,64.2,4372,0.8022,6353,1.1657,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Adam Thielen,WR,,5439,24,13,13.4,38.0,38.0,5462,1.0042,5433,0.9989,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Baker Mayfield,QB,,5369,11,17,17.4,132.5,132.5,4047,0.7538,6522,1.2148,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Stefon Diggs,WR,,5350,25,22,21.94,65.5,56.1,4657,0.8705,5993,1.1202,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Deebo Samuel,WR,,5313,26,38,38.01,90.0,92.4,3287,0.6187,6726,1.266,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Matthew Stafford,QB,,5259,12,12,12.08,107.5,107.5,4903,0.9323,5589,1.0627,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Michael Gallup,WR,,5210,27,31,31.05,71.5,74.3,3840,0.737,6381,1.2248,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jared Goff,QB,,5121,13,15,15.36,127.5,127.5,4428,0.8647,5747,1.1222,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Evan Engram,TE,,5091,6,6,6.05,78.5,78.5,4484,0.8808,5654,1.1106,,hwang_adjusted_positional_adp_2020
