rank,name,team,position,tier,sleeper_id
1,Trey McBride,ARI,TE,1,8130
2,Colston Loveland,CHI,TE,1,12517
3,Tyler Warren,IND,TE,1,12518
4,Brock Bowers,LV,TE,1,11604
5,Tucker Kraft,GB,TE,2,9484
6,Harold Fannin Jr.,CLE,TE,2,12506
7,Sam LaPorta,DET,TE,2,10859
8,Kyle Pitts Sr.,ATL,TE,2,7553
9,George Kittle,SF,TE,2,4217
10,Travis Kelce,KC,TE,3,1466
11,Dalton Kincaid,BUF,TE,3,10236
12,Dallas Goedert,PHI,TE,3,5022
13,Isaiah Likely,NYG,TE,3,8131
14,Mark Andrews,BAL,TE,3,5012
15,Juwan Johnson,NO,TE,3,7002
16,Jake Ferguson,DAL,TE,3,8110
17,Brenton Strange,JAC,TE,3,9480
18,Hunter Henry,NE,TE,3,3214
19,Dalton Schultz,HOU,TE,4,5001
20,Chig Okonkwo,WAS,TE,4,8210
21,T.J. Hockenson,MIN,TE,4,5844
22,AJ Barner,SEA,TE,4,11603
23,Terrance Ferguson,LAR,TE,4,12487
24,Kenyon Sadiq,NYJ,TE,4,13330
25,Cade Otton,TB,TE,4,8111
26,Pat Freiermuth,PIT,TE,4,7600
27,Gunnar Helm,TEN,TE,4,12502
28,Oronde Gadsden II,LAC,TE,4,12493
29,Evan Engram,DEN,TE,4,4066
30,David Njoku,LAC,TE,4,4033
31,Greg Dulcich,MIA,TE,4,8172
32,Colby Parkinson,LAR,TE,5,6865
33,Mason Taylor,NYJ,TE,5,12498
34,Theo Johnson,NYG,TE,5,11597
35,Eli Stowers,PHI,TE,5,13349
36,Mike Gesicki,CIN,TE,5,4993
37,Darren Waller,CAR,TE,5,2505
38,Michael Mayer,LV,TE,5,9482
39,Jake Tonges,SF,TE,6,8698
40,Charlie Kolar,LAC,TE,6,8127
41,Darnell Washington,PIT,TE,6,9479
42,Elijah Arroyo,SEA,TE,6,12521
43,Oscar Delp,NO,TE,6,13319
44,Cole Kmet,CHI,TE,6,6826
45,Dawson Knox,BUF,TE,6,5906
46,Tyler Higbee,LAR,TE,6,3271
47,Erick All Jr.,CIN,TE,6,11592
48,Eli Raridon,NE,TE,6,13421
49,Noah Gray,KC,TE,6,7828
50,Max Klare,LAR,TE,6,13278
51,Ja'Tavion Sanders,CAR,TE,6,11600
52,Noah Fant,NO,TE,6,5857
53,Daniel Bellinger,TEN,TE,7,8225
54,Ben Sinnott,WAS,TE,7,11596
55,Jonnu Smith,GB,TE,7,4144
56,Tommy Tremble,CAR,TE,7,7694
57,Mitchell Evans,CAR,TE,7,12473
58,Justin Joly,MIA,TE,7,13400
59,Austin Hooper,ATL,TE,7,3202
60,Elijah Higgins,ARI,TE,7,10231
61,Matt Hibner,BAL,TE,7,13324
62,Marlin Klein,HOU,TE,7,13307
63,Luke Musgrave,GB,TE,7,9481
64,Josh Oliver,MIN,TE,7,5973
65,Jackson Hawes,BUF,TE,7,12658
66,John Bates,WAS,TE,7,7716
67,Adam Trautman,DEN,TE,7,6869
68,Nate Boerkircher,JAC,TE,7,13299
69,Will Kacmarek,MIA,TE,7,13434
70,Tanner Koziol,JAC,TE,7,13408
71,Luke Schoonmaker,DAL,TE,7,10871
72,Brock Wright,DET,TE,8,7891
73,Foster Moreau,HOU,TE,8,5985
74,Cade Stover,HOU,TE,8,11599
75,Zach Ertz,FA,TE,8,1339
76,Mo Alie-Cox,IND,TE,8,4054
77,Durham Smythe,BAL,TE,8,5008
78,Sam Roush,CHI,TE,8,13322
79,Jack Endries,CIN,TE,8,13282
80,Tanner Hudson,CIN,TE,8,5409
81,Seydou Traore,MIA,TE,8,13429
82,Jeremy Ruckert,NYJ,TE,8,8145
83,Davis Allen,LAR,TE,8,10214
84,Tyler Conklin,DET,TE,8,5133
85,Drew Sample,CIN,TE,8,6001
86,Luke Farrell,SF,TE,8,7842
87,Joe Royer,CLE,TE,8,13435
88,Payne Durham,TB,TE,8,10227
89,Jared Wiley,KC,TE,8,11595
90,Brevyn Spann-Ford,DAL,TE,8,11593
91,Bauer Sharp,TB,TE,8,13308
92,Josh Whyle,GB,TE,8,10212
93,Drew Ogletree,IND,TE,8,8489
94,Grant Calcaterra,PHI,TE,8,8177
95,Charlie Woerner,ATL,TE,8,7075
96,Nate Adkins,DEN,TE,8,11433
97,Jelani Woods,NYJ,TE,8,8219
98,Josh Cuevas,BAL,TE,9,13273
99,Hunter Long,ARI,TE,9,7535
100,Ian Thomas,LV,TE,9,4995
101,Johnny Mundt,PHI,TE,9,4314
102,Riley Nowakowski,PIT,TE,9,13433
103,Thomas Fidone II,NYG,TE,9,12715
104,Dallen Bentley,DEN,TE,9,13577
105,Carsen Ryan,CLE,TE,9,13580
106,Tommy Myers,FA,TE,9,
107,Blake Whiteheart,CLE,TE,9,11201
108,Will Mallory,IND,TE,9,10220
109,Kylen Granson,TEN,TE,9,7602
110,Jake Briningstool,KC,TE,9,12817
111,Eric Saubert,SEA,TE,9,4189
112,Chris Manhertz,NYG,TE,9,3048
113,Michael Trigg,DAL,TE,9,13401
114,Tip Reiman,ARI,TE,9,11716
115,Ben Sims,FA,TE,9,11082
116,Taysom Hill,FA,TE,9,4381
117,Ben Yurosek,MIN,TE,9,13121
118,Brevin Jordan,HOU,TE,9,7568
119,Julian Hill,NE,TE,9,11371
120,Ko Kieft,TB,TE,9,8484
121,Keleki Latu,BUF,TE,10,12765
122,Colson Yankoff,WAS,TE,10,11942
123,Connor Heyward,LV,TE,10,8181
124,Gavin Bartholomew,MIN,TE,10,12700
125,Robert Tonyan,PIT,TE,10,4602
126,Tanner Arkin,NE,TE,10,13827
127,Quintin Morris,JAC,TE,10,7536
128,Brayden Willis,SF,TE,10,10224
129,Stone Smartt,NO,TE,10,8583
130,Teagan Quitoriano,ARI,TE,10,8227
131,Moliki Matavao,NO,TE,10,12480
132,Cameron Latu,NE,TE,10,10210
133,Will Dissly,FA,TE,10,5010
134,Nick Kallerup,SEA,TE,10,13151
135,Lucas Krull,DEN,TE,10,8249
136,Nick Vannett,BAL,TE,10,3258
137,James Mitchell,DAL,TE,10,8170
138,Hayden Large,CHI,TE,10,13712
139,Drake Dabney,GB,TE,10,13210
140,Albert Okwuegbunam Jr.,FA,TE,10,6843
141,Pharaoh Brown,IND,TE,10,4443
142,Khalil Dinkins,SF,TE,10,13432
143,Mark Redman,GB,TE,10,13013
144,David Martin-Robinson,TEN,TE,10,12357
145,Jack Stoll,FA,TE,10,7946
146,Miles Kitselman,FA,TE,10,13431
147,Cole Turner,MIA,TE,10,8214
148,Devin Culp,FA,TE,10,11820
