format,year,pair_key,player_id_a,player_id_b
hwang,2021,QB_vs_WR,1166,1689
hwang,2021,QB_vs_WR,1166,2197
hwang,2021,QB_vs_WR,2028,6989
hwang,2021,QB_vs_WR,2028,4082
hwang,2021,QB_vs_WR,2028,5947
hwang,2021,QB_vs_WR,2028,2078
hwang,2021,QB_vs_WR,2028,1689
hwang,2021,QB_vs_WR,2028,2197
hwang,2021,QB_vs_WR,6804,2078
hwang,2021,QB_vs_WR,6804,1689
hwang,2021,QB_vs_WR,6804,2197
hwang,2021,QB_vs_WR,6804,4068
hwang,2021,QB_vs_WR,6804,5848
hwang,2021,QB_vs_WR,5870,4068
hwang,2021,QB_vs_WR,5870,5848
hwang,2021,QB_vs_WR,3163,5848
hwang,2021,QB_vs_WR,3163,6943
hwang,2021,QB_vs_WR,3163,7547
hwang,2021,QB_vs_WR,3163,7587
hwang,2021,QB_vs_WR,1837,6824
hwang,2021,QB_vs_WR,1837,6849
hwang,2021,QB_vs_WR,5854,6960
hwang,2021,QB_vs_WR,5854,7595
hwang,2021,QB_vs_WR,5854,5955
hwang,2021,QB_vs_WR,7585,5955
hwang,2021,QB_vs_WR,827,5955
hwang,2021,QB_vs_WR,6011,5185
hwang,2021,QB_vs_WR,6011,6421
hwang,2021,QB_vs_WR,6011,6234
hwang,2021,QB_vs_WR,2711,6421
hwang,2021,QB_vs_WR,2711,6234
hwang,2021,QB_vs_WR,2711,4171
hwang,2021,QB_vs_WR,2711,7533
hwang,2021,QB_vs_TE,3294,1466
hwang,2021,QB_vs_TE,3294,7553
hwang,2021,QB_vs_TE,7523,1466
hwang,2021,QB_vs_TE,7523,7553
hwang,2021,QB_vs_TE,7523,4217
hwang,2021,QB_vs_TE,7523,2505
hwang,2021,QB_vs_TE,1234,2505
hwang,2021,QB_vs_TE,7591,2505
hwang,2021,QB_vs_TE,7610,2505
hwang,2021,QB_vs_TE,6770,5844
hwang,2021,QB_vs_TE,7538,5844
hwang,2021,QB_vs_TE,96,5012
hwang,2021,QB_vs_TE,1049,5012
hwang,2021,QB_vs_TE,2306,7600
hwang,2021,QB_vs_TE,2306,5022
hwang,2021,QB_vs_TE,2306,4993
hwang,2021,QB_vs_TE,4943,5022
hwang,2021,QB_vs_TE,4943,4993
hwang,2021,QB_vs_TE,1166,4144
hwang,2021,QB_vs_TE,2028,4144
hwang,2021,QB_vs_TE,6804,4144
hwang,2021,QB_vs_TE,6804,3271
hwang,2021,QB_vs_TE,5870,4144
hwang,2021,QB_vs_TE,5870,3271
hwang,2021,QB_vs_TE,5870,6826
hwang,2021,QB_vs_TE,3163,3271
hwang,2021,QB_vs_TE,3163,6826
hwang,2021,QB_vs_TE,5854,1339
hwang,2021,QB_vs_TE,5854,5906
hwang,2021,QB_vs_TE,5854,4033
hwang,2021,QB_vs_TE,7585,5906
hwang,2021,QB_vs_TE,7585,4033
hwang,2021,QB_vs_TE,827,5906
hwang,2021,QB_vs_TE,827,4033
hwang,2021,QB_vs_TE,827,7694
hwang,2021,QB_vs_TE,6011,7002
hwang,2021,QB_vs_TE,6011,6074
hwang,2021,QB_vs_TE,6011,7568
hwang,2021,QB_vs_TE,2711,7568
hwang,2021,QB_vs_TE,2307,4973
hwang,2021,RB_vs_WR,4029,3321
hwang,2021,RB_vs_WR,4029,5846
hwang,2021,RB_vs_WR,4035,3321
hwang,2021,RB_vs_WR,4035,5846
hwang,2021,RB_vs_WR,6813,3321
hwang,2021,RB_vs_WR,6813,5846
hwang,2021,RB_vs_WR,6813,5859
hwang,2021,RB_vs_WR,7528,3321
hwang,2021,RB_vs_WR,7528,5846
hwang,2021,RB_vs_WR,7528,5859
hwang,2021,RB_vs_WR,7528,4981
hwang,2021,RB_vs_WR,7528,2133
hwang,2021,RB_vs_WR,7528,6786
hwang,2021,RB_vs_WR,7528,2449
hwang,2021,RB_vs_WR,4866,5859
hwang,2021,RB_vs_WR,4866,4981
hwang,2021,RB_vs_WR,4866,2133
hwang,2021,RB_vs_WR,4866,6786
hwang,2021,RB_vs_WR,4866,2449
hwang,2021,RB_vs_WR,6945,5859
hwang,2021,RB_vs_WR,6945,4981
hwang,2021,RB_vs_WR,6945,2133
hwang,2021,RB_vs_WR,6945,6786
hwang,2021,RB_vs_WR,6945,2449
hwang,2021,RB_vs_WR,4988,2449
hwang,2021,RB_vs_WR,4988,5927
hwang,2021,RB_vs_WR,3198,5927
hwang,2021,RB_vs_WR,4199,5927
hwang,2021,RB_vs_WR,6790,5927
hwang,2021,RB_vs_WR,6790,1426
hwang,2021,RB_vs_WR,6820,5927
hwang,2021,RB_vs_WR,6820,1426
hwang,2021,RB_vs_WR,4663,5927
hwang,2021,RB_vs_WR,4663,1426
hwang,2021,RB_vs_WR,3164,1426
hwang,2021,RB_vs_WR,3164,4983
hwang,2021,RB_vs_WR,3164,7564
hwang,2021,RB_vs_WR,3164,6783
hwang,2021,RB_vs_WR,3164,4037
hwang,2021,RB_vs_WR,7588,1426
hwang,2021,RB_vs_WR,7588,4983
hwang,2021,RB_vs_WR,7588,7564
hwang,2021,RB_vs_WR,7588,6783
hwang,2021,RB_vs_WR,7588,4037
hwang,2021,RB_vs_WR,4018,4983
hwang,2021,RB_vs_WR,4018,7564
hwang,2021,RB_vs_WR,4018,6783
hwang,2021,RB_vs_WR,4018,4037
hwang,2021,RB_vs_WR,4018,6803
