format,year,archetype_id,player_id,avg_hvorp,build_count
hwang,2021,2024_1,19,12.2,10
hwang,2021,2024_1,96,205.1,10
hwang,2021,2024_1,421,193.7,10
hwang,2021,2024_1,827,38.2,10
hwang,2021,2024_1,1049,120.3,10
hwang,2021,2024_1,1166,183.9,10
hwang,2021,2024_1,1234,130.2,10
hwang,2021,2024_1,1339,95.2,10
hwang,2021,2024_1,1352,73.3,10
hwang,2021,2024_1,1373,46.3,10
hwang,2021,2024_1,1426,82.7,10
hwang,2021,2024_1,1466,166.4,10
hwang,2021,2024_1,1479,113.3,10
hwang,2021,2024_1,1535,150.4,10
hwang,2021,2024_1,1689,104.3,10
hwang,2021,2024_1,1837,117,10
hwang,2021,2024_1,2028,141.5,10
hwang,2021,2024_1,2078,62.4,10
hwang,2021,2024_1,2133,182.2,10
hwang,2021,2024_1,2161,5.6,10
hwang,2021,2024_1,2197,108.1,10
hwang,2021,2024_1,2216,141,10
hwang,2021,2024_1,2306,70.8,10
hwang,2021,2024_1,2307,3.2,10
hwang,2021,2024_1,2309,98.2,10
hwang,2021,2024_1,2319,44.9,10
hwang,2021,2024_1,2325,41.1,10
hwang,2021,2024_1,2374,117.3,10
hwang,2021,2024_1,2449,132.8,10
hwang,2021,2024_1,2505,72.1,10
hwang,2021,2024_1,2711,125.9,10
hwang,2021,2024_1,2749,0,10
hwang,2021,2024_1,3163,89.5,10
hwang,2021,2024_1,3164,172.2,10
hwang,2021,2024_1,3198,157.2,10
hwang,2021,2024_1,3199,0,10
hwang,2021,2024_1,3202,44.1,10
hwang,2021,2024_1,3214,90.7,10
hwang,2021,2024_1,3225,89.2,10
hwang,2021,2024_1,3271,64.9,10
hwang,2021,2024_1,3286,27.2,10
hwang,2021,2024_1,3294,189.7,10
hwang,2021,2024_1,3321,152.8,10
hwang,2021,2024_1,3634,37.1,10
hwang,2021,2024_1,3976,2.4,10
hwang,2021,2024_1,4017,0,10
hwang,2021,2024_1,4018,209,10
hwang,2021,2024_1,4029,138.8,10
hwang,2021,2024_1,4033,58.9,10
hwang,2021,2024_1,4034,75.6,10
hwang,2021,2024_1,4035,143.9,10
hwang,2021,2024_1,4037,116.1,10
hwang,2021,2024_1,4039,239.6,10
hwang,2021,2024_1,4040,9.6,10
hwang,2021,2024_1,4046,214.9,10
hwang,2021,2024_1,4054,40.3,10
hwang,2021,2024_1,4066,50.5,10
hwang,2021,2024_1,4068,122.8,10
hwang,2021,2024_1,4080,39.4,10
hwang,2021,2024_1,4082,0.5,10
hwang,2021,2024_1,4089,62.6,10
hwang,2021,2024_1,4098,68.3,10
hwang,2021,2024_1,4111,56.9,10
hwang,2021,2024_1,4137,167.7,10
hwang,2021,2024_1,4144,28.4,10
hwang,2021,2024_1,4147,37.1,10
hwang,2021,2024_1,4149,64.6,10
hwang,2021,2024_1,4171,37.9,10
hwang,2021,2024_1,4179,0,10
hwang,2021,2024_1,4198,52.8,10
hwang,2021,2024_1,4199,144.6,10
hwang,2021,2024_1,4217,127.2,10
hwang,2021,2024_1,4234,5.9,10
hwang,2021,2024_1,4274,0,10
hwang,2021,2024_1,4351,65.9,10
hwang,2021,2024_1,4381,89.8,10
hwang,2021,2024_1,4454,93.6,10
hwang,2021,2024_1,4464,5.5,10
hwang,2021,2024_1,4663,215.9,10
hwang,2021,2024_1,4866,78.2,10
hwang,2021,2024_1,4881,159.9,10
hwang,2021,2024_1,4892,111.2,10
hwang,2021,2024_1,4943,83.6,10
hwang,2021,2024_1,4950,95.6,10
hwang,2021,2024_1,4951,19,10
hwang,2021,2024_1,4973,27.2,10
hwang,2021,2024_1,4981,27.7,10
hwang,2021,2024_1,4983,99.7,10
hwang,2021,2024_1,4984,257.4,10
hwang,2021,2024_1,4985,80.9,10
hwang,2021,2024_1,4988,162.6,10
hwang,2021,2024_1,4993,90.7,10
hwang,2021,2024_1,4995,24.1,10
hwang,2021,2024_1,5000,75.2,10
hwang,2021,2024_1,5001,114.1,10
hwang,2021,2024_1,5008,26.6,10
hwang,2021,2024_1,5010,17.1,10
hwang,2021,2024_1,5012,194.3,10
hwang,2021,2024_1,5022,102.4,10
hwang,2021,2024_1,5026,30.4,10
hwang,2021,2024_1,5038,40.1,10
hwang,2021,2024_1,5045,65.4,10
hwang,2021,2024_1,5089,38.7,10
hwang,2021,2024_1,5121,41.4,10
hwang,2021,2024_1,5122,73.2,10
hwang,2021,2024_1,5133,73.2,10
hwang,2021,2024_1,5137,0,10
hwang,2021,2024_1,5185,61.4,10
hwang,2021,2024_1,5284,34.6,10
hwang,2021,2024_1,5323,5.9,10
hwang,2021,2024_1,5347,45.3,10
hwang,2021,2024_1,5374,0,10
hwang,2021,2024_1,5695,4.6,10
hwang,2021,2024_1,5844,86.3,10
hwang,2021,2024_1,5846,131,10
hwang,2021,2024_1,5848,101.8,10
hwang,2021,2024_1,5850,120.7,10
hwang,2021,2024_1,5854,12.6,10
hwang,2021,2024_1,5857,86.9,10
hwang,2021,2024_1,5859,81,10
hwang,2021,2024_1,5870,106.3,10
hwang,2021,2024_1,5872,205.9,10
hwang,2021,2024_1,5880,11.3,10
hwang,2021,2024_1,5892,115.9,10
hwang,2021,2024_1,5906,97.9,10
hwang,2021,2024_1,5917,43.9,10
hwang,2021,2024_1,5927,96.2,10
hwang,2021,2024_1,5937,130.9,10
hwang,2021,2024_1,5938,15.8,10
hwang,2021,2024_1,5947,67.9,10
hwang,2021,2024_1,5955,110.3,10
hwang,2021,2024_1,5967,89.9,10
hwang,2021,2024_1,5970,0.9,10
hwang,2021,2024_1,5973,9.3,10
hwang,2021,2024_1,5980,92.6,10
hwang,2021,2024_1,5985,39.6,10
hwang,2021,2024_1,5987,70.7,10
hwang,2021,2024_1,6001,4.3,10
hwang,2021,2024_1,6011,18.3,10
hwang,2021,2024_1,6039,59.4,10
hwang,2021,2024_1,6074,30.2,10
hwang,2021,2024_1,6111,0,10
hwang,2021,2024_1,6130,99.7,10
hwang,2021,2024_1,6136,0,10
hwang,2021,2024_1,6144,0,10
hwang,2021,2024_1,6149,19.6,10
hwang,2021,2024_1,6151,67,10
hwang,2021,2024_1,6234,52.1,10
hwang,2021,2024_1,6271,36.1,10
hwang,2021,2024_1,6290,0.6,10
hwang,2021,2024_1,6421,38.9,10
hwang,2021,2024_1,6598,1.2,10
hwang,2021,2024_1,6659,23.7,10
hwang,2021,2024_1,6694,58.1,10
hwang,2021,2024_1,6768,104.5,10
hwang,2021,2024_1,6770,195.9,10
hwang,2021,2024_1,6783,28.1,10
hwang,2021,2024_1,6786,118.1,10
hwang,2021,2024_1,6790,108.2,10
hwang,2021,2024_1,6794,170.5,10
hwang,2021,2024_1,6797,235.6,10
hwang,2021,2024_1,6801,116.7,10
hwang,2021,2024_1,6803,79.5,10
hwang,2021,2024_1,6804,7.9,10
hwang,2021,2024_1,6805,1.7,10
hwang,2021,2024_1,6806,0,10
hwang,2021,2024_1,6813,286.1,10
hwang,2021,2024_1,6814,32.9,10
hwang,2021,2024_1,6819,105.9,10
hwang,2021,2024_1,6820,74,10
hwang,2021,2024_1,6824,56.4,10
hwang,2021,2024_1,6826,55.6,10
hwang,2021,2024_1,6828,113.9,10
hwang,2021,2024_1,6843,35.9,10
hwang,2021,2024_1,6845,59.9,10
hwang,2021,2024_1,6847,27.9,10
hwang,2021,2024_1,6849,4.2,10
hwang,2021,2024_1,6850,29,10
hwang,2021,2024_1,6853,86.8,10
hwang,2021,2024_1,6865,0,10
hwang,2021,2024_1,6869,25.1,10
hwang,2021,2024_1,6885,17.6,10
hwang,2021,2024_1,6886,66.8,10
hwang,2021,2024_1,6904,203,10
hwang,2021,2024_1,6918,12.5,10
hwang,2021,2024_1,6927,33.6,10
hwang,2021,2024_1,6931,22.6,10
hwang,2021,2024_1,6943,64.9,10
hwang,2021,2024_1,6945,134.4,10
hwang,2021,2024_1,6951,10.5,10
hwang,2021,2024_1,6955,110.5,10
hwang,2021,2024_1,6960,18.8,10
hwang,2021,2024_1,6989,79.1,10
hwang,2021,2024_1,7002,25,10
hwang,2021,2024_1,7021,0,10
hwang,2021,2024_1,7045,5,10
hwang,2021,2024_1,7049,25.1,10
hwang,2021,2024_1,7066,70.5,10
hwang,2021,2024_1,7083,58.3,10
hwang,2021,2024_1,7090,95.8,10
hwang,2021,2024_1,7496,26.3,10
hwang,2021,2024_1,7523,85.1,10
hwang,2021,2024_1,7525,87,10
hwang,2021,2024_1,7526,102.2,10
hwang,2021,2024_1,7527,107.4,10
hwang,2021,2024_1,7528,184.7,10
hwang,2021,2024_1,7529,0.1,10
hwang,2021,2024_1,7533,12.3,10
hwang,2021,2024_1,7535,0.5,10
hwang,2021,2024_1,7538,77,10
hwang,2021,2024_1,7543,0,10
hwang,2021,2024_1,7547,93.4,10
hwang,2021,2024_1,7551,8.5,10
hwang,2021,2024_1,7553,103,10
hwang,2021,2024_1,7559,4.6,10
hwang,2021,2024_1,7561,115.7,10
hwang,2021,2024_1,7564,187.7,10
hwang,2021,2024_1,7565,5.2,10
hwang,2021,2024_1,7567,53.7,10
hwang,2021,2024_1,7568,32.5,10
hwang,2021,2024_1,7569,25.8,10
hwang,2021,2024_1,7571,39.8,10
hwang,2021,2024_1,7585,71.7,10
hwang,2021,2024_1,7587,7.4,10
hwang,2021,2024_1,7588,120.5,10
hwang,2021,2024_1,7591,58.6,10
hwang,2021,2024_1,7593,15.7,10
hwang,2021,2024_1,7594,77,10
hwang,2021,2024_1,7595,0.8,10
hwang,2021,2024_1,7596,80.9,10
hwang,2021,2024_1,7600,79.3,10
hwang,2021,2024_1,7601,35.1,10
hwang,2021,2024_1,7602,4.2,10
hwang,2021,2024_1,7606,30,10
hwang,2021,2024_1,7607,93,10
hwang,2021,2024_1,7608,48.9,10
hwang,2021,2024_1,7610,34.6,10
hwang,2021,2024_1,7611,79.9,10
hwang,2021,2024_1,7670,32.6,10
hwang,2021,2024_1,7694,21.1,10
hwang,2021,2024_1,7713,3,10
hwang,2021,2024_1,7716,26.3,10
hwang,2021,2024_1,7720,12.2,10
hwang,2021,2024_1,7757,4.4,10
hwang,2021,2024_1,7794,12.2,10
hwang,2021,2024_1,7828,6.3,10
hwang,2021,2024_2,96,156.9,10
hwang,2021,2024_2,421,148.3,10
hwang,2021,2024_2,827,20.2,10
hwang,2021,2024_2,1049,79.3,10
hwang,2021,2024_2,1166,119.5,10
hwang,2021,2024_2,1234,94.5,10
hwang,2021,2024_2,1339,80,10
hwang,2021,2024_2,1352,63.2,10
hwang,2021,2024_2,1426,75.3,10
hwang,2021,2024_2,1466,151.9,10
hwang,2021,2024_2,1479,86.5,10
hwang,2021,2024_2,1535,134.8,10
hwang,2021,2024_2,1689,90.1,10
hwang,2021,2024_2,1837,87,10
hwang,2021,2024_2,2028,88.7,10
hwang,2021,2024_2,2078,46.8,10
hwang,2021,2024_2,2133,155.8,10
hwang,2021,2024_2,2161,2.6,10
hwang,2021,2024_2,2197,88.4,10
hwang,2021,2024_2,2216,121.8,10
hwang,2021,2024_2,2306,39.3,10
hwang,2021,2024_2,2307,0,10
