value_basis,format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,weight_sum,total_hvorp_a,total_hvorp_b,rel_diff_pct
ktc,hwang,archetype,2021,bb_zero_2qb,RB_vs_TE,RB,TE,4100,1830.21,275503.2,210027.5,27
ktc,hwang,archetype,2021,bb_zero_2qb,WR_vs_TE,WR,TE,5650,2398.17,226938.3,267260.7,-16.3
ktc,hwang,archetype,2021,bb_robust_3qb,QB_vs_RB,QB,RB,3350,2513.93,226867.9,360203,-45.4
ktc,hwang,archetype,2021,bb_robust_3qb,QB_vs_WR,QB,WR,5550,3368.32,300451.3,367483.7,-20.1
ktc,hwang,archetype,2021,bb_robust_3qb,QB_vs_TE,QB,TE,2000,1037.55,69645.5,106845.7,-42.2
ktc,hwang,archetype,2021,bb_robust_3qb,RB_vs_WR,RB,WR,8250,4638.71,618316,481670.9,24.8
ktc,hwang,archetype,2021,bb_robust_3qb,RB_vs_TE,RB,TE,4100,2077.71,292611.1,225871.1,25.7
ktc,hwang,archetype,2021,bb_robust_3qb,WR_vs_TE,WR,TE,5650,2722.47,255952.6,285638.9,-11
ktc,hwang,archetype,2021,bb_robust_2qb,QB_vs_RB,QB,RB,3350,2313.11,268161.2,337549.5,-22.9
ktc,hwang,archetype,2021,bb_robust_2qb,QB_vs_WR,QB,WR,5550,3099.25,358847.2,350942.1,2.2
ktc,hwang,archetype,2021,bb_robust_2qb,QB_vs_TE,QB,TE,2000,954.67,85238,101772.7,-17.7
ktc,hwang,archetype,2021,bb_robust_2qb,RB_vs_WR,RB,WR,8250,4268.15,580280.6,459304,23.3
ktc,hwang,archetype,2021,bb_robust_2qb,RB_vs_TE,RB,TE,4100,1911.74,274089.9,215174.7,24.1
ktc,hwang,archetype,2021,bb_robust_2qb,WR_vs_TE,WR,TE,5650,2504.99,245094.1,272647.9,-10.6
ktc,hwang,year,2022,,QB_vs_RB,QB,RB,50400,22786.43,2123329,2731791.8,-25.1
ktc,hwang,year,2022,,QB_vs_WR,QB,WR,80000,39953.17,3738185.3,3450346.2,8
ktc,hwang,year,2022,,QB_vs_TE,QB,TE,23600,8234.24,637158.4,686457.5,-7.4
ktc,hwang,year,2022,,RB_vs_WR,RB,WR,156400,69098.16,8595436.5,5594004.4,42.3
ktc,hwang,year,2022,,RB_vs_TE,RB,TE,66800,21822.38,2035038.4,1835408.2,10.3
ktc,hwang,year,2022,,WR_vs_TE,WR,TE,74800,26773.38,1856108.5,2303448.5,-21.5
ktc,hwang,archetype,2022,bb_hero_3qb,QB_vs_RB,QB,RB,6300,2840.88,197922.5,346204,-54.5
ktc,hwang,archetype,2022,bb_hero_3qb,QB_vs_WR,QB,WR,10000,4981.12,343849.9,439227,-24.4
ktc,hwang,archetype,2022,bb_hero_3qb,QB_vs_TE,QB,TE,2950,1026.6,58973.4,87088.1,-38.5
ktc,hwang,archetype,2022,bb_hero_3qb,RB_vs_WR,RB,WR,19550,8614.75,1089360.1,711639.4,41.9
ktc,hwang,archetype,2022,bb_hero_3qb,RB_vs_TE,RB,TE,8350,2720.69,259067.3,233199.3,10.5
ktc,hwang,archetype,2022,bb_hero_3qb,WR_vs_TE,WR,TE,9350,3337.95,236445.3,292611,-21.2
ktc,hwang,archetype,2022,bb_hero_2qb,QB_vs_RB,QB,RB,6300,2657.75,289673.1,325603,-11.7
ktc,hwang,archetype,2022,bb_hero_2qb,QB_vs_WR,QB,WR,10000,4660.03,513606,410210.1,22.4
ktc,hwang,archetype,2022,bb_hero_2qb,QB_vs_TE,QB,TE,2950,960.42,88195.2,83600,5.3
ktc,hwang,archetype,2022,bb_hero_2qb,RB_vs_WR,RB,WR,19550,8059.42,1024431.4,666431.8,42.3
ktc,hwang,archetype,2022,bb_hero_2qb,RB_vs_TE,RB,TE,8350,2545.3,243818.7,223870,8.5
ktc,hwang,archetype,2022,bb_hero_2qb,WR_vs_TE,WR,TE,9350,3122.77,221281.9,280928.1,-23.8
ktc,hwang,archetype,2022,bb_double_3qb,QB_vs_RB,QB,RB,6300,3037.9,238117.5,352842.5,-38.8
ktc,hwang,archetype,2022,bb_double_3qb,QB_vs_WR,QB,WR,10000,5326.58,414450.3,460926.2,-10.6
ktc,hwang,archetype,2022,bb_double_3qb,QB_vs_TE,QB,TE,2950,1097.79,69066.8,91848.5,-28.3
ktc,hwang,archetype,2022,bb_double_3qb,RB_vs_WR,RB,WR,19550,9212.2,1109785,746978.2,39.1
ktc,hwang,archetype,2022,bb_double_3qb,RB_vs_TE,RB,TE,8350,2909.37,261210.8,245412.7,6.2
ktc,hwang,archetype,2022,bb_double_3qb,WR_vs_TE,WR,TE,9350,3569.44,248067.5,307944.2,-21.5
ktc,hwang,archetype,2022,bb_double_2qb,QB_vs_RB,QB,RB,6300,2819.98,332922.5,335984.9,-0.9
ktc,hwang,archetype,2022,bb_double_2qb,QB_vs_WR,QB,WR,10000,4944.48,591486.7,436457.9,30.2
ktc,hwang,archetype,2022,bb_double_2qb,QB_vs_TE,QB,TE,2950,1019.04,101554.5,86999.1,15.4
ktc,hwang,archetype,2022,bb_double_2qb,RB_vs_WR,RB,WR,19550,8551.38,1056990.4,708844.5,39.4
ktc,hwang,archetype,2022,bb_double_2qb,RB_vs_TE,RB,TE,8350,2700.67,249648.1,232800.5,7
ktc,hwang,archetype,2022,bb_double_2qb,WR_vs_TE,WR,TE,9350,3313.39,235691.3,291741.6,-21.3
ktc,hwang,archetype,2022,bb_zero_3qb,QB_vs_RB,QB,RB,6300,2902.09,237430.8,348711.9,-38
ktc,hwang,archetype,2022,bb_zero_3qb,QB_vs_WR,QB,WR,10000,5088.46,412004.2,412563.1,-0.1
ktc,hwang,archetype,2022,bb_zero_3qb,QB_vs_TE,QB,TE,2950,1048.72,70432.5,84027.4,-17.6
ktc,hwang,archetype,2022,bb_zero_3qb,RB_vs_WR,RB,WR,19550,8800.38,1097058.8,667084.6,48.7
ktc,hwang,archetype,2022,bb_zero_3qb,RB_vs_TE,RB,TE,8350,2779.31,260136.5,224231.4,14.8
ktc,hwang,archetype,2022,bb_zero_3qb,WR_vs_TE,WR,TE,9350,3409.87,219575.4,281686.8,-24.8
ktc,hwang,archetype,2022,bb_zero_2qb,QB_vs_RB,QB,RB,6300,2705.93,290970.1,332928.1,-13.5
ktc,hwang,archetype,2022,bb_zero_2qb,QB_vs_WR,QB,WR,10000,4744.51,515768.1,398849.5,25.6
ktc,hwang,archetype,2022,bb_zero_2qb,QB_vs_TE,QB,TE,2950,977.83,88493.7,81106.8,8.7
ktc,hwang,archetype,2022,bb_zero_2qb,RB_vs_WR,RB,WR,19550,8205.52,1047325.6,645640.7,47.5
ktc,hwang,archetype,2022,bb_zero_2qb,RB_vs_TE,RB,TE,8350,2591.45,249217,216345.3,14.1
ktc,hwang,archetype,2022,bb_zero_2qb,WR_vs_TE,WR,TE,9350,3179.38,213730.6,271625.9,-23.9
ktc,hwang,archetype,2022,bb_robust_3qb,QB_vs_RB,QB,RB,6300,2959.71,230966.7,349659.5,-40.9
ktc,hwang,archetype,2022,bb_robust_3qb,QB_vs_WR,QB,WR,10000,5189.49,404985.2,450592.7,-10.7
ktc,hwang,archetype,2022,bb_robust_3qb,QB_vs_TE,QB,TE,2950,1069.54,67487.8,86352.9,-24.5
ktc,hwang,archetype,2022,bb_robust_3qb,RB_vs_WR,RB,WR,19550,8975.11,1100931.7,730245.3,40.5
ktc,hwang,archetype,2022,bb_robust_3qb,RB_vs_TE,RB,TE,8350,2834.49,259462.9,230770.7,11.7
ktc,hwang,archetype,2022,bb_robust_3qb,WR_vs_TE,WR,TE,9350,3477.58,242729,289881.3,-17.7
ktc,hwang,archetype,2022,bb_robust_2qb,QB_vs_RB,QB,RB,6300,2862.19,305325.7,339857.7,-10.7
ktc,hwang,archetype,2022,bb_robust_2qb,QB_vs_WR,QB,WR,10000,5018.5,542034.7,441519.7,20.4
ktc,hwang,archetype,2022,bb_robust_2qb,QB_vs_TE,QB,TE,2950,1034.3,92954.6,85434.7,8.4
ktc,hwang,archetype,2022,bb_robust_2qb,RB_vs_WR,RB,WR,19550,8679.39,1069553.6,717139.9,39.4
ktc,hwang,archetype,2022,bb_robust_2qb,RB_vs_TE,RB,TE,8350,2741.1,252477.2,228778.3,9.8
ktc,hwang,archetype,2022,bb_robust_2qb,WR_vs_TE,WR,TE,9350,3362.99,238587.7,287029.6,-18.4
ktc,hwang,year,2023,,QB_vs_RB,QB,RB,62800,26847.99,2136705,2673621.1,-22.3
ktc,hwang,year,2023,,QB_vs_WR,QB,WR,76000,35548.53,2967260.3,2941448.3,0.9
ktc,hwang,year,2023,,QB_vs_TE,QB,TE,27600,9430.29,709814.3,719590.2,-1.4
ktc,hwang,year,2023,,RB_vs_WR,RB,WR,164800,61845.39,5671430.3,4272470.1,28.1
ktc,hwang,year,2023,,RB_vs_TE,RB,TE,66400,23584.53,2186518.9,1730129.6,23.3
ktc,hwang,year,2023,,WR_vs_TE,WR,TE,88800,30736.49,2017808.1,2158580,-6.7
