league,match_id,minute,elapsed,elapsed_plus
England Premier League,1810,24,24,0
England Premier League,1810,40,40,0
England Premier League,1810,47,47,0
England Premier League,1812,17,17,0
England Premier League,1812,25,25,0
England Premier League,1812,40,40,0
England Premier League,1812,67,67,0
England Premier League,1812,78,78,0
England Premier League,1812,86,86,0
England Premier League,1813,17,17,0
England Premier League,1813,29,29,0
England Premier League,1814,92,90,2
England Premier League,1815,52,52,0
England Premier League,1815,77,77,0
England Premier League,1815,89,89,0
England Premier League,1817,10,10,0
England Premier League,1817,12,12,0
England Premier League,1817,77,77,0
England Premier League,1818,33,33,0
England Premier League,1818,51,51,0
England Premier League,1819,1,1,0
England Premier League,1820,24,24,0
England Premier League,1820,42,42,0
England Premier League,1821,78,78,0
England Premier League,1823,12,12,0
England Premier League,1823,29,29,0
England Premier League,1823,90,90,0
England Premier League,1824,9,9,0
England Premier League,1824,18,18,0
England Premier League,1824,27,27,0
England Premier League,1825,41,41,0
England Premier League,1825,54,54,0
England Premier League,1825,59,59,0
England Premier League,1826,1,1,0
England Premier League,1826,3,3,0
England Premier League,1826,20,20,0
England Premier League,1827,69,69,0
England Premier League,1827,84,84,0
England Premier League,1827,93,90,3
England Premier League,1828,10,10,0
England Premier League,1828,19,19,0
England Premier League,1828,78,78,0
England Premier League,1828,84,84,0
England Premier League,1828,91,90,1
England Premier League,1829,26,26,0
England Premier League,1829,53,53,0
England Premier League,1829,58,58,0
England Premier League,1832,40,40,0
England Premier League,1832,49,49,0
England Premier League,1832,64,64,0
England Premier League,1832,91,90,1
England Premier League,1833,51,51,0
England Premier League,1834,15,15,0
England Premier League,1834,27,27,0
England Premier League,1834,28,28,0
England Premier League,1834,36,36,0
England Premier League,1834,80,80,0
England Premier League,1834,82,82,0
England Premier League,1835,8,8,0
England Premier League,1835,20,20,0
England Premier League,1835,67,67,0
England Premier League,1835,70,70,0
England Premier League,1835,83,83,0
England Premier League,1836,83,83,0
England Premier League,1837,29,29,0
England Premier League,1837,73,73,0
England Premier League,1837,88,88,0
England Premier League,1838,3,3,0
England Premier League,1838,47,45,2
England Premier League,1839,70,70,0
England Premier League,1839,85,85,0
England Premier League,1839,95,90,5
England Premier League,1840,56,56,0
England Premier League,1840,74,74,0
England Premier League,1840,83,83,0
England Premier League,1841,72,72,0
England Premier League,1842,65,65,0
England Premier League,1842,71,71,0
England Premier League,1842,76,76,0
England Premier League,1843,39,39,0
England Premier League,1843,40,40,0
England Premier League,1844,21,21,0
England Premier League,1845,65,65,0
England Premier League,1845,76,76,0
England Premier League,1845,89,89,0
England Premier League,1846,33,33,0
England Premier League,1847,29,29,0
England Premier League,1847,63,63,0
England Premier League,1847,81,81,0
England Premier League,1847,84,84,0
England Premier League,1847,95,90,5
England Premier League,1848,4,4,0
England Premier League,1849,69,69,0
England Premier League,1850,81,81,0
England Premier League,1851,4,4,0
England Premier League,1851,51,51,0
